orientation_series_id	relative_coordinate	event_count
orientation_series_2	12.0	0.0
orientation_series_2	13.0	4.0
orientation_series_2	14.0	0.0
orientation_series_2	15.0	4.0
orientation_series_2	16.0	6.0
orientation_series_2	17.0	9.0
orientation_series_2	18.0	0.0
orientation_series_2	19.0	1.0
orientation_series_2	20.0	0.0
orientation_series_3	-33.0	0.0
orientation_series_3	-32.0	0.0
orientation_series_3	-31.0	0.0
orientation_series_3	-30.0	13.0
orientation_series_3	-29.0	16.0
orientation_series_3	-28.0	0.0
orientation_series_3	-27.0	17.0
orientation_series_3	-26.0	6.0
orientation_series_3	-25.0	3.0
orientation_series_3	-24.0	12.0
orientation_series_3	-23.0	7.0
orientation_series_3	-22.0	7.0
orientation_series_3	-21.0	20.0
orientation_series_3	-20.0	6.0
orientation_series_3	-19.0	48.0
orientation_series_3	-18.0	31.0
orientation_series_3	-17.0	58.0
orientation_series_3	-16.0	41.0
orientation_series_3	-15.0	48.0
orientation_series_3	-14.0	6.0
orientation_series_3	-13.0	6.0
orientation_series_3	-12.0	3.0
orientation_series_3	-11.0	8.0
orientation_series_3	-10.0	1.0
orientation_series_3	-8.0	6.0
orientation_series_3	-7.0	0.0
orientation_series_3	-6.0	2.0
orientation_series_3	-5.0	12.0
orientation_series_3	-4.0	92.0
orientation_series_3	-3.0	257.0
orientation_series_3	-2.0	202.0
orientation_series_3	-1.0	0.0
orientation_series_3	0.0	0.0
orientation_series_3	2.0	0.0
orientation_series_3	3.0	147.0
orientation_series_3	4.0	46.0
orientation_series_3	5.0	10.0
orientation_series_3	6.0	2.0
orientation_series_3	7.0	2.0
orientation_series_3	8.0	0.0
orientation_series_3	9.0	0.0
orientation_series_3	10.0	0.0
orientation_series_3	11.0	0.0
orientation_series_3	12.0	0.0
orientation_series_3	13.0	0.0
orientation_series_3	14.0	3.0
orientation_series_3	15.0	0.0
orientation_series_3	16.0	6.0
orientation_series_3	17.0	4.0
orientation_series_3	18.0	0.0
orientation_series_3	19.0	0.0
orientation_series_3	20.0	3.0
orientation_series_4	-33.0	0.0
orientation_series_4	-32.0	0.0
orientation_series_4	-31.0	0.0
orientation_series_4	-30.0	5.0
orientation_series_4	-29.0	9.0
orientation_series_4	-28.0	0.0
orientation_series_4	-27.0	4.0
orientation_series_4	-26.0	7.0
orientation_series_4	-25.0	8.0
orientation_series_4	-24.0	6.0
orientation_series_4	-23.0	0.0
orientation_series_4	-22.0	2.0
orientation_series_4	-21.0	2.0
orientation_series_4	-20.0	3.0
orientation_series_4	-19.0	4.0
orientation_series_4	-18.0	0.0
orientation_series_4	-17.0	0.0
orientation_series_4	-16.0	0.0
orientation_series_4	-15.0	2.0
orientation_series_4	-14.0	0.0
orientation_series_4	-13.0	0.0
orientation_series_4	-12.0	0.0
orientation_series_4	-11.0	0.0
orientation_series_4	-10.0	0.0
orientation_series_4	-8.0	3.0
orientation_series_4	-7.0	7.0
orientation_series_4	-6.0	7.0
orientation_series_4	-5.0	3.0
orientation_series_4	-4.0	13.0
orientation_series_4	-3.0	28.0
orientation_series_4	-2.0	94.0
orientation_series_4	-1.0	0.0
orientation_series_4	0.0	0.0
orientation_series_4	2.0	0.0
orientation_series_4	3.0	163.0
orientation_series_4	4.0	56.0
orientation_series_4	5.0	8.0
orientation_series_4	6.0	0.0
orientation_series_4	7.0	0.0
orientation_series_4	8.0	0.0
orientation_series_4	9.0	0.0
orientation_series_4	10.0	3.0
orientation_series_4	11.0	0.0
orientation_series_4	12.0	0.0
orientation_series_4	13.0	0.0
orientation_series_4	14.0	1.0
orientation_series_4	15.0	0.0
orientation_series_4	16.0	1.0
orientation_series_4	17.0	0.0
orientation_series_4	18.0	0.0
orientation_series_4	19.0	0.0
orientation_series_4	20.0	5.0
orientation_series_5	-33.0	0.0
orientation_series_5	-32.0	0.0
orientation_series_5	-31.0	0.0
orientation_series_5	-30.0	11.0
orientation_series_5	-29.0	19.0
orientation_series_5	-28.0	0.0
orientation_series_5	-27.0	11.0
orientation_series_5	-26.0	20.0
orientation_series_5	-25.0	11.0
orientation_series_5	-24.0	9.0
orientation_series_5	-23.0	9.0
orientation_series_5	-22.0	9.0
orientation_series_5	-21.0	2.0
orientation_series_5	-20.0	2.0
orientation_series_5	-19.0	7.0
orientation_series_5	-18.0	4.0
orientation_series_5	-17.0	20.0
orientation_series_5	-16.0	30.0
orientation_series_5	-15.0	52.0
orientation_series_5	-14.0	28.0
orientation_series_5	-13.0	54.0
orientation_series_5	-12.0	54.0
orientation_series_5	-11.0	40.0
orientation_series_5	-10.0	37.0
orientation_series_5	-8.0	26.0
orientation_series_5	-7.0	10.0
orientation_series_5	-6.0	26.0
orientation_series_5	-5.0	24.0
orientation_series_5	-4.0	67.0
orientation_series_5	-3.0	157.0
orientation_series_5	-2.0	273.0
orientation_series_5	-1.0	0.0
orientation_series_5	0.0	0.0
orientation_series_5	2.0	0.0
orientation_series_5	3.0	297.0
orientation_series_5	4.0	109.0
orientation_series_5	5.0	62.0
orientation_series_5	6.0	13.0
orientation_series_5	7.0	3.0
orientation_series_5	8.0	0.0
orientation_series_5	9.0	0.0
orientation_series_5	10.0	0.0
orientation_series_5	11.0	0.0
orientation_series_5	12.0	0.0
orientation_series_5	13.0	0.0
orientation_series_5	14.0	0.0
orientation_series_5	15.0	0.0
orientation_series_5	16.0	1.0
orientation_series_5	17.0	4.0
orientation_series_5	18.0	0.0
orientation_series_5	19.0	2.0
orientation_series_5	20.0	0.0
orientation_series_6	-33.0	0.0
orientation_series_6	-32.0	0.0
orientation_series_6	-31.0	0.0
orientation_series_6	-30.0	7.0
orientation_series_6	-29.0	1.0
orientation_series_6	-28.0	0.0
orientation_series_6	-27.0	5.0
orientation_series_6	-26.0	10.0
orientation_series_6	-25.0	5.0
orientation_series_6	-24.0	1.0
orientation_series_6	-23.0	3.0
orientation_series_6	-22.0	0.0
orientation_series_6	-21.0	15.0
orientation_series_6	-20.0	2.0
orientation_series_6	-19.0	10.0
orientation_series_6	-18.0	1.0
orientation_series_6	-17.0	20.0
orientation_series_6	-16.0	53.0
orientation_series_6	-15.0	140.0
orientation_series_6	-14.0	112.0
orientation_series_6	-13.0	160.0
orientation_series_6	-12.0	76.0
orientation_series_6	-11.0	31.0
orientation_series_6	-10.0	12.0
orientation_series_6	-8.0	91.0
orientation_series_6	-7.0	100.0
orientation_series_6	-6.0	165.0
orientation_series_6	-5.0	117.0
orientation_series_6	-4.0	177.0
orientation_series_6	-3.0	763.0
orientation_series_6	-2.0	245.0
orientation_series_6	-1.0	0.0
orientation_series_6	0.0	0.0
orientation_series_6	2.0	0.0
orientation_series_6	3.0	243.0
orientation_series_6	4.0	171.0
orientation_series_6	5.0	31.0
orientation_series_6	6.0	19.0
orientation_series_6	7.0	30.0
orientation_series_6	8.0	7.0
orientation_series_6	9.0	1.0
orientation_series_6	10.0	2.0
orientation_series_6	11.0	0.0
orientation_series_6	12.0	0.0
orientation_series_6	13.0	0.0
orientation_series_6	14.0	4.0
orientation_series_6	15.0	0.0
orientation_series_6	16.0	3.0
orientation_series_6	17.0	0.0
orientation_series_6	18.0	2.0
orientation_series_6	19.0	3.0
orientation_series_6	20.0	5.0
