wavelength_nm	response_level_1	response_level_2	response_level_3	response_level_4	response_level_5
434.88	1.795	1.782	1.7713	1.7516	1.7151
439.88	1.8313	1.8105	1.7886	1.7702	1.7514
444.88	1.9294	1.9398	1.9313	1.8954	1.8401
449.87	2.0086	2.0593	2.1145	2.1458	2.1415
454.87	1.9827	2.0264	2.0699	2.0841	2.0657
459.87	2.0057	2.0539	2.1032	2.1283	2.1185
464.87	2.0075	2.0558	2.0965	2.0926	2.0457
469.87	2.0101	2.0598	2.1007	2.0977	2.0497
474.87	2.0082	2.0657	2.1284	2.1701	2.1793
479.87	2.0062	2.0688	2.1438	2.2043	2.2348
484.86	1.9054	1.9494	1.9976	2.0313	2.0454
489.86	1.9474	1.9883	2.0333	2.0662	2.0777
494.86	1.9551	2.009	2.0782	2.1442	2.187
499.86	1.9063	1.9369	1.9623	1.9645	1.9455
504.86	1.9289	1.9727	2.0192	2.0463	2.0467
509.86	1.9214	1.9667	2.0157	2.0404	2.0312
514.86	1.8334	1.8501	1.8548	1.8293	1.7816
519.86	1.8333	1.8562	1.8765	1.8807	1.8716
524.85	1.8419	1.8674	1.8894	1.893	1.8799
529.85	1.885	1.9369	2.0014	2.0596	2.0926
534.85	1.8352	1.8714	1.9137	1.9424	1.9455
539.85	1.8417	1.8852	1.9394	1.9868	2.0104
544.85	1.8361	1.8865	1.9555	2.0281	2.0811
549.85	1.8251	1.8698	1.9184	1.9523	1.9637
554.85	1.8165	1.8637	1.9243	1.981	2.0168
559.84	1.7926	1.8364	1.8937	1.9507	1.9904
564.84	1.7926	1.8382	1.8956	1.949	1.9886
569.84	1.779	1.8248	1.8876	1.9598	2.0256
574.84	1.7761	1.8313	1.911	2.0041	2.0881
579.84	1.7598	1.812	1.8835	1.9633	2.0328
584.84	1.7424	1.7954	1.8757	1.9734	2.0627
589.84	1.7042	1.7482	1.8092	1.8768	1.933
594.84	1.7133	1.7659	1.8445	1.9409	2.0279
599.83	1.6906	1.7371	1.8067	1.8911	1.968
604.83	1.6809	1.7319	1.8107	1.9101	2.0006
609.83	1.6588	1.7031	1.7677	1.8429	1.9103
614.83	1.6214	1.6536	1.6971	1.7459	1.7851
619.83	1.6264	1.6692	1.7339	1.8118	1.8842
624.83	1.5985	1.6341	1.6855	1.7486	1.8076
629.83	1.5926	1.6327	1.6924	1.7632	1.8267
634.82	1.5791	1.618	1.6721	1.726	1.7584
639.82	1.5569	1.5962	1.6556	1.7301	1.8029
644.82	1.5389	1.5769	1.6335	1.7035	1.77
649.82	1.5241	1.5611	1.6176	1.6897	1.7611
654.82	1.4397	1.4776	1.5358	1.6076	1.6771
659.82	1.4967	1.5347	1.5934	1.6713	1.751
664.82	1.4874	1.5247	1.5796	1.6474	1.7139
669.82	1.4716	1.5084	1.5638	1.6349	1.7052
674.81	1.4567	1.493	1.547	1.6158	1.6841
679.81	1.4416	1.4774	1.5292	1.5924	1.6526
684.81	1.4245	1.4579	1.5079	1.5729	1.6399
689.81	1.4117	1.4468	1.499	1.5644	1.6288
694.81	1.3961	1.4298	1.4791	1.5395	1.5981
699.81	1.3788	1.4091	1.4514	1.502	1.5502
704.81	1.365	1.3959	1.44	1.4926	1.5437
709.8	1.3501	1.3805	1.4247	1.478	1.5278
714.8	1.3315	1.3587	1.3978	1.4426	1.4817
719.8	1.3138	1.3376	1.3709	1.4112	1.4515
724.8	1.3057	1.3338	1.3744	1.4251	1.4751
729.8	1.2881	1.3127	1.348	1.3928	1.441
734.8	1.2772	1.304	1.343	1.3917	1.4411
739.8	1.2556	1.2763	1.3065	1.3469	1.391
744.79	1.2474	1.2724	1.3102	1.358	1.4076
749.79	1.2327	1.2571	1.2947	1.3428	1.392
754.79	1.2223	1.2482	1.2872	1.3378	1.3884
759.79	1.2061	1.2297	1.2661	1.3126	1.3597
764.79	1.1916	1.2145	1.2506	1.2992	1.3514
769.79	1.1801	1.2032	1.24	1.2897	1.3431
774.79	1.1664	1.1888	1.224	1.2717	1.323
779.79	1.1561	1.18	1.2177	1.2698	1.3278
784.78	1.1416	1.1639	1.199	1.2477	1.3015
789.78	1.1304	1.1528	1.185	1.2238	1.2607
794.78	1.1134	1.1326	1.1605	1.1924	1.222
799.78	1.1055	1.1276	1.1602	1.2014	1.2444
804.78	1.092	1.1121	1.1414	1.1779	1.2156
809.78	1.0799	1.0996	1.1275	1.1604	1.1912
814.78	1.0695	1.0908	1.1222	1.159	1.1932
819.77	1.0471	1.0632	1.0857	1.1125	1.139
824.77	1.0439	1.0629	1.0913	1.1282	1.1668
829.77	1.0328	1.0515	1.0779	1.1091	1.1385
834.77	1.0178	1.0344	1.0592	1.0889	1.1175
839.77	1.0078	1.0249	1.0509	1.0843	1.1188
844.77	0.99535	1.011	1.034	1.0627	1.0931
849.77	0.97167	0.98417	1.0039	1.0309	1.0602
