candidate_rank	max_velocity_cm_s	min_velocity_cm_s	peak_frequency_microhz	frequency_width_microhz	delta_information_criterion
89	50	0.050000000000000003	1110	300	70.599999999999994
90	20	0.01	1010	325	70.900000000000006
91	20	0.050000000000000003	1110	275	71.900000000000006
92	30	0.0030000000000000001	1210	325	72.099999999999994
93	20	0.02	1160	300	72.400000000000006
94	30	0	960	300	72.5
95	30	0	1060	275	72.5
96	30	0.029999999999999999	1160	275	73.099999999999994
97	50	0.02	1210	300	73.299999999999997
98	50	0.01	1160	275	73.299999999999997
99	30	0.10000000000000001	910	250	73.299999999999997
100	30	0.001	1110	300	73.700000000000003
101	50	0.029999999999999999	1060	275	74.200000000000003
102	30	0.0030000000000000001	1010	250	75.5
103	30	0	1110	300	76
104	20	0.029999999999999999	960	300	76.099999999999994
105	50	0.029999999999999999	1110	300	76.700000000000003
106	20	0	1160	325	76.799999999999997
107	30	0.001	1210	325	77.200000000000003
108	20	0.02	1110	275	78.599999999999994
109	30	0	1210	325	79.299999999999997
110	30	0.01	960	300	79.5
111	50	0	1060	250	80
112	30	0.0030000000000000001	1110	275	80.400000000000006
113	30	0	1160	300	80.5
114	30	0.01	1210	300	81
115	30	0.01	960	275	81.299999999999997
116	10	0.029999999999999999	960	300	81.900000000000006
117	10	0.01	1010	325	82
118	10	0.02	960	300	82.599999999999994
119	20	0.01	1010	275	82.900000000000006
120	30	0.001	1010	250	83
121	10	0.0030000000000000001	1010	325	83.200000000000003
122	10	0.001	1010	325	83.799999999999997
123	50	0.02	1110	300	84.200000000000003
124	10	0	1010	325	84.599999999999994
125	30	0.10000000000000001	1010	250	84.700000000000003
126	20	0	960	275	84.799999999999997
127	20	0.01	1060	275	85
128	50	0.10000000000000001	1060	275	86
129	20	0.10000000000000001	1060	300	87.099999999999994
130	30	0	1010	250	87.700000000000003
131	30	0.001	1110	275	88.099999999999994
132	50	0.01	1210	300	88.200000000000003
133	50	0.050000000000000003	1010	275	88.799999999999997
134	30	0	1060	250	89.200000000000003
135	50	0.02	1210	275	90.099999999999994
136	30	0.01	910	275	90.299999999999997
137	50	0.01	1160	300	91.099999999999994
138	10	0	960	325	91.099999999999994
139	10	0.01	960	300	91.299999999999997
140	50	0.029999999999999999	1210	275	91.400000000000006
141	50	0.10000000000000001	1110	275	91.599999999999994
142	30	0.0030000000000000001	910	275	91.700000000000003
143	30	0.10000000000000001	1110	300	91.900000000000006
144	50	0	1010	250	92.200000000000003
145	30	0.001	910	275	92.599999999999994
146	30	0	910	275	92.900000000000006
147	50	0	1110	275	92.900000000000006
148	20	0	860	275	92.900000000000006
149	30	0	1110	275	93
150	20	0	1110	300	93.5
151	30	0.10000000000000001	1060	300	93.900000000000006
152	3	0.02	1060	275	94.200000000000003
153	30	0	960	275	94.599999999999994
154	50	0.01	1110	300	95.5
155	30	0.01	1160	275	95.799999999999997
156	50	0.029999999999999999	1060	300	96.400000000000006
157	10	0.029999999999999999	1010	325	96.5
158	30	0.029999999999999999	1110	250	96.599999999999994
159	50	0.050000000000000003	1060	300	97.900000000000006
160	50	0.02	1060	300	98.799999999999997
161	50	0.01	1210	275	99.099999999999994
162	20	0.10000000000000001	1010	275	99.900000000000006
163	30	0.01	1110	250	100.2
164	20	0.01	1160	300	100.5
165	50	0.029999999999999999	1010	275	100.7
166	10	0.050000000000000003	1010	300	100.8
167	30	0.029999999999999999	960	300	101
168	50	0.01	1060	275	101.2
169	50	0	1110	250	101.3
170	30	0.01	910	250	101.8
171	10	0.029999999999999999	1010	300	101.90000000000001
172	20	0.10000000000000001	960	275	102.59999999999999
173	50	0	1160	275	103.59999999999999
174	50	0.01	1060	300	104
175	50	0.10000000000000001	1010	275	104
176	50	0.10000000000000001	1110	300	104.90000000000001
177	50	0.10000000000000001	1160	300	106.09999999999999
178	30	0.10000000000000001	960	275	106.09999999999999
179	10	0	960	300	106.2
180	30	0.0030000000000000001	1210	300	106.40000000000001
181	10	0.01	960	325	106.40000000000001
182	50	0	1160	325	106.5
183	30	0.10000000000000001	1160	300	106.5
184	20	0.01	1110	275	107
185	20	0.029999999999999999	1010	325	109.2
186	50	0	1110	300	109.7
187	50	0.02	1310	300	109.90000000000001
188	50	0.02	1010	275	110.09999999999999
189	20	0.10000000000000001	1110	300	110.5
190	50	0	1160	300	110.8
191	50	0	1210	325	111.3
192	30	0	960	250	111.3
193	20	0	1010	275	111.5
194	10	0	910	300	111.5
195	10	0.001	910	300	111.5
196	10	0.0030000000000000001	910	300	112.09999999999999
197	50	0.029999999999999999	1310	300	112.2
198	50	0	1210	300	113.59999999999999
199	3	0.02	1010	300	113.59999999999999
200	20	0	910	300	114.7
201	10	0.01	910	300	115
202	10	0.02	1010	300	115.3
203	30	0.0030000000000000001	910	250	115.59999999999999
204	30	0.001	1210	300	115.7
205	30	0	1260	325	115.7
206	30	0.0030000000000000001	1110	250	116.3
207	1	0.029999999999999999	1010	300	117.2
208	30	0.10000000000000001	1210	325	117.90000000000001
209	50	0.050000000000000003	1210	275	119.7
210	30	0.001	910	250	120.09999999999999
211	50	0	1060	275	120.7
212	30	0	1210	300	120.7
213	50	0.01	1310	300	121.2
214	50	0.01	1010	275	121.8
215	30	0	910	250	122.09999999999999
216	20	0.029999999999999999	1210	300	122.3
217	50	0.029999999999999999	960	275	122.7
218	100	0.029999999999999999	1310	300	123.09999999999999
219	100	0.02	1310	300	123.8
220	50	0	1110	325	124.3
221	20	0	1060	275	125
222	30	0.001	1110	250	125.09999999999999
223	30	0.10000000000000001	1110	275	125.5
224	20	0.10000000000000001	1060	275	126.2
225	1	0.029999999999999999	1010	325	126.40000000000001
226	50	0	1310	325	126.7
227	50	0	1160	250	127.5
228	20	0	1210	325	128.30000000000001
229	3	0.02	1060	300	129.09999999999999
230	20	0	960	250	129.30000000000001
231	20	0.050000000000000003	1210	300	129.59999999999999
232	100	0.029999999999999999	1210	275	130.19999999999999
233	20	0.01	910	300	130.30000000000001
234	50	0	1060	300	130.30000000000001
235	50	0	1210	275	130.80000000000001
236	30	0	1110	250	130.90000000000001
237	50	0.01	960	275	131.30000000000001
238	100	0.02	1210	275	131.80000000000001
239	20	0.10000000000000001	1010	300	132.80000000000001
240	50	0	1260	300	132.90000000000001
241	20	0	910	250	133
242	30	0.029999999999999999	1210	275	133.80000000000001
243	10	0	1060	325	134.09999999999999
244	30	0.10000000000000001	1010	300	134.19999999999999
245	100	0.01	1310	300	134.59999999999999
246	10	0.029999999999999999	960	275	134.59999999999999
247	50	0	1010	275	135.80000000000001
248	20	0	860	250	136.09999999999999
249	10	0.01	1010	300	136.69999999999999
250	20	0.02	1210	300	137.19999999999999
