scan_role	anonymous_rate_setting	state_of_charge_percent	cell_voltage_V
charge_like	rate_setting_2	0.43173	1.33207
charge_like	rate_setting_3	0.53946	1.4581
charge_like	rate_setting_4	0.64741	1.60655
charge_like	rate_setting_5	0.86368	1.80719
charge_like	rate_setting_6	1.08013	1.86052
charge_like	rate_setting_7	1.08013	1.90204
charge_like	rate_setting_1	0.33917	1.22448
charge_like	rate_setting_2	0.49634	1.36346
charge_like	rate_setting_3	0.59319	1.49196
charge_like	rate_setting_4	0.74544	1.64256
charge_like	rate_setting_5	0.95005	1.82319
charge_like	rate_setting_6	1.35003	1.87529
charge_like	rate_setting_7	1.35003	1.91681
charge_like	rate_setting_1	0.37259	1.25064
charge_like	rate_setting_2	0.53983	1.39208
charge_like	rate_setting_3	0.67431	1.52365
charge_like	rate_setting_4	0.80976	1.67487
charge_like	rate_setting_5	1.07973	1.83612
charge_like	rate_setting_6	1.78273	1.88914
charge_like	rate_setting_7	1.78273	1.93066
charge_like	rate_setting_1	0.42065	1.27526
charge_like	rate_setting_2	0.62624	1.41947
charge_like	rate_setting_3	0.75558	1.55381
charge_like	rate_setting_4	0.87465	1.7035
charge_like	rate_setting_5	1.20991	1.84627
charge_like	rate_setting_6	2.3236	1.90052
charge_like	rate_setting_7	2.3236	1.94204
charge_like	rate_setting_1	0.46934	1.29896
charge_like	rate_setting_2	0.66941	1.44533
charge_like	rate_setting_3	0.80907	1.58213
charge_like	rate_setting_4	0.9709	1.72812
charge_like	rate_setting_5	1.42475	1.86166
charge_like	rate_setting_6	3.13486	1.91191
charge_like	rate_setting_7	3.13486	1.95343
charge_like	rate_setting_1	0.5018	1.32112
charge_like	rate_setting_2	0.71272	1.46995
charge_like	rate_setting_3	0.89058	1.6089
charge_like	rate_setting_4	1.06896	1.74997
charge_like	rate_setting_5	1.64158	1.87243
charge_like	rate_setting_6	4.27103	1.92237
charge_like	rate_setting_7	4.27103	1.96389
charge_like	rate_setting_1	0.55034	1.34266
charge_like	rate_setting_2	0.79956	1.49303
charge_like	rate_setting_3	0.94487	1.63352
charge_like	rate_setting_4	1.13435	1.76782
charge_like	rate_setting_5	1.98866	1.88413
charge_like	rate_setting_6	5.62387	1.93315
charge_like	rate_setting_7	5.62387	1.97467
charge_like	rate_setting_1	0.58311	1.36297
charge_like	rate_setting_2	0.84244	1.51549
charge_like	rate_setting_3	1.02563	1.65661
charge_like	rate_setting_4	1.231	1.7832
charge_like	rate_setting_5	2.42111	1.89459
charge_like	rate_setting_6	7.46307	1.9433
charge_like	rate_setting_7	7.46307	1.98482
charge_like	rate_setting_1	0.63141	1.38267
charge_like	rate_setting_2	0.8856	1.53673
charge_like	rate_setting_3	1.10693	1.67815
charge_like	rate_setting_4	1.29599	1.79736
charge_like	rate_setting_5	3.07115	1.90505
charge_like	rate_setting_6	9.51763	1.95346
charge_like	rate_setting_7	9.51763	1.99498
charge_like	rate_setting_1	0.66398	1.40175
charge_like	rate_setting_2	0.92955	1.55735
charge_like	rate_setting_3	1.16087	1.69785
charge_like	rate_setting_4	1.42587	1.80875
charge_like	rate_setting_5	4.06595	1.91583
charge_like	rate_setting_6	12.16792	1.96361
charge_like	rate_setting_7	12.16792	2.00513
charge_like	rate_setting_1	0.71247	1.4196
charge_like	rate_setting_2	0.99336	1.57674
charge_like	rate_setting_3	1.21461	1.71539
charge_like	rate_setting_4	1.45858	1.8189
charge_like	rate_setting_5	5.4073	1.92598
charge_like	rate_setting_6	15.08909	1.97377
charge_like	rate_setting_7	15.08909	2.01529
charge_like	rate_setting_1	0.745	1.43714
charge_like	rate_setting_2	1.05825	1.5952
charge_like	rate_setting_3	1.29597	1.7317
charge_like	rate_setting_4	1.65183	1.83522
charge_like	rate_setting_5	7.18176	1.93614
charge_like	rate_setting_6	18.98399	1.98423
charge_like	rate_setting_7	18.98399	2.02575
charge_like	rate_setting_1	0.7939	1.45314
charge_like	rate_setting_2	1.10188	1.61305
charge_like	rate_setting_3	1.3766	1.74586
charge_like	rate_setting_4	1.81496	1.84753
charge_like	rate_setting_5	9.60474	1.94629
charge_like	rate_setting_6	23.257	1.99439
charge_like	rate_setting_7	23.257	2.03591
charge_like	rate_setting_1	0.84232	1.46946
charge_like	rate_setting_2	1.16702	1.63029
charge_like	rate_setting_3	1.43083	1.75878
charge_like	rate_setting_4	2.04188	1.86107
charge_like	rate_setting_5	12.85069	1.95676
charge_like	rate_setting_6	27.96287	2.00455
charge_like	rate_setting_7	27.96287	2.04607
charge_like	rate_setting_1	0.87482	1.48484
charge_like	rate_setting_2	1.21017	1.64629
charge_like	rate_setting_3	1.51218	1.77017
charge_like	rate_setting_4	2.30138	1.87122
charge_like	rate_setting_5	16.87687	1.96722
charge_like	rate_setting_6	33.26255	2.01501
charge_like	rate_setting_7	33.26255	2.05653
charge_like	rate_setting_1	0.93969	1.49962
charge_like	rate_setting_2	1.27481	1.66137
charge_like	rate_setting_3	1.64796	1.78925
charge_like	rate_setting_4	2.72341	1.88353
charge_like	rate_setting_5	22.06859	1.97738
charge_like	rate_setting_6	38.78009	2.02517
charge_like	rate_setting_7	38.78009	2.06669
charge_like	rate_setting_1	0.95562	1.51377
charge_like	rate_setting_2	1.31782	1.67584
charge_like	rate_setting_3	1.78246	1.80495
charge_like	rate_setting_4	3.30718	1.89461
charge_like	rate_setting_5	27.95481	1.98753
charge_like	rate_setting_6	44.18918	2.03532
charge_like	rate_setting_7	44.18918	2.07684
charge_like	rate_setting_1	1.00432	1.52731
charge_like	rate_setting_2	1.38218	1.68938
charge_like	rate_setting_3	1.91712	1.81756
charge_like	rate_setting_4	4.11831	1.90538
charge_like	rate_setting_5	34.9225	1.99769
charge_like	rate_setting_6	49.49028	2.04548
charge_like	rate_setting_7	49.49028	2.087
charge_like	rate_setting_1	1.03714	1.54085
charge_like	rate_setting_2	1.42623	1.702
charge_like	rate_setting_3	2.13353	1.83203
charge_like	rate_setting_4	5.28638	1.91554
charge_like	rate_setting_5	42.02051	2.00785
charge_like	rate_setting_6	54.62976	2.05563
charge_like	rate_setting_7	54.62976	2.09715
charge_like	rate_setting_1	1.08561	1.55409
charge_like	rate_setting_2	1.4909	1.714
charge_like	rate_setting_3	2.35044	1.8428
charge_like	rate_setting_4	7.13567	1.9257
charge_like	rate_setting_5	49.03172	2.018
charge_like	rate_setting_6	59.06499	2.06579
charge_like	rate_setting_7	59.06499	2.10731
charge_like	rate_setting_1	1.13417	1.5664
charge_like	rate_setting_2	1.55577	1.72477
charge_like	rate_setting_3	2.62069	1.85357
charge_like	rate_setting_4	9.6994	1.93585
charge_like	rate_setting_5	55.43696	2.02816
charge_like	rate_setting_6	63.65945	2.07595
charge_like	rate_setting_7	63.65945	2.11747
charge_like	rate_setting_1	1.167	1.57871
charge_like	rate_setting_2	1.5996	1.73493
charge_like	rate_setting_3	2.97205	1.86373
charge_like	rate_setting_4	13.62499	1.94632
charge_like	rate_setting_5	61.4529	2.03831
charge_like	rate_setting_6	67.39487	2.0861
charge_like	rate_setting_7	67.39487	2.12762
charge_like	rate_setting_1	1.21489	1.5904
charge_like	rate_setting_2	1.70718	1.75339
charge_like	rate_setting_3	3.45879	1.87419
charge_like	rate_setting_4	19.43281	1.95647
charge_like	rate_setting_5	66.60302	2.04847
charge_like	rate_setting_6	70.69451	2.09626
charge_like	rate_setting_7	70.69451	2.13778
charge_like	rate_setting_1	1.248	1.60179
charge_like	rate_setting_2	1.81448	1.76816
charge_like	rate_setting_3	4.13502	1.88435
charge_like	rate_setting_4	27.51168	1.96663
charge_like	rate_setting_5	70.88711	2.05863
charge_like	rate_setting_6	73.72323	2.10672
charge_like	rate_setting_7	73.72323	2.14824
charge_like	rate_setting_1	1.29624	1.61287
charge_like	rate_setting_2	1.94489	1.78109
charge_like	rate_setting_3	5.18801	1.8945
charge_like	rate_setting_4	37.34277	1.97678
charge_like	rate_setting_5	74.78262	2.06878
charge_like	rate_setting_6	76.26504	2.11688
charge_like	rate_setting_7	76.26504	2.1584
charge_like	rate_setting_1	1.37762	1.63349
charge_like	rate_setting_2	2.05318	1.79217
charge_like	rate_setting_3	6.83886	1.90497
charge_like	rate_setting_4	48.05036	1.98694
charge_like	rate_setting_5	77.85523	2.07894
charge_like	rate_setting_6	78.58957	2.12703
charge_like	rate_setting_7	78.58957	2.16855
charge_like	rate_setting_1	1.45873	1.65257
charge_like	rate_setting_2	2.20463	1.8054
charge_like	rate_setting_3	9.40774	1.91512
charge_like	rate_setting_4	57.71962	1.9971
charge_like	rate_setting_5	80.75466	2.0894
charge_like	rate_setting_6	80.75574	2.13719
charge_like	rate_setting_7	80.75574	2.17871
charge_like	rate_setting_1	1.53977	1.67042
charge_like	rate_setting_2	2.37791	1.81617
charge_like	rate_setting_3	13.57189	1.92528
charge_like	rate_setting_4	65.11722	2.00725
charge_like	rate_setting_5	83.22136	2.09956
charge_like	rate_setting_6	82.64788	2.14765
charge_like	rate_setting_7	82.64788	2.18917
charge_like	rate_setting_1	1.62088	1.68673
charge_like	rate_setting_2	2.59445	1.82756
charge_like	rate_setting_3	20.30538	1.93543
charge_like	rate_setting_4	71.18451	2.01741
charge_like	rate_setting_5	85.42882	2.11002
charge_like	rate_setting_6	84.43244	2.15781
charge_like	rate_setting_7	84.43244	2.19933
charge_like	rate_setting_1	1.70219	1.7012
charge_like	rate_setting_2	2.87524	1.83833
charge_like	rate_setting_3	30.98666	1.94559
charge_like	rate_setting_4	75.85676	2.02756
charge_like	rate_setting_5	87.41964	2.12018
charge_like	rate_setting_6	86.11003	2.16827
charge_like	rate_setting_7	86.11003	2.20979
charge_like	rate_setting_1	1.7996	1.71443
charge_like	rate_setting_2	3.26439	1.84972
charge_like	rate_setting_3	44.96714	1.95605
charge_like	rate_setting_4	79.68546	2.03772
charge_like	rate_setting_5	89.32398	2.13033
charge_like	rate_setting_6	87.62446	2.17843
charge_like	rate_setting_7	87.62446	2.21995
charge_like	rate_setting_1	1.88021	1.72643
charge_like	rate_setting_2	3.7617	1.85988
charge_like	rate_setting_3	57.9469	1.96652
charge_like	rate_setting_4	82.99506	2.04818
charge_like	rate_setting_5	91.09823	2.14049
charge_like	rate_setting_6	89.30139	2.18889
charge_like	rate_setting_7	89.30139	2.23041
charge_like	rate_setting_1	1.96177	1.7369
charge_like	rate_setting_2	4.43299	1.87003
charge_like	rate_setting_3	67.33088	1.97667
charge_like	rate_setting_4	85.81865	2.05834
charge_like	rate_setting_5	92.87376	2.15126
charge_like	rate_setting_6	90.81615	2.19936
charge_like	rate_setting_7	90.81615	2.24088
charge_like	rate_setting_1	2.09172	1.75075
charge_like	rate_setting_2	5.42828	1.88019
charge_like	rate_setting_3	73.82006	1.98683
charge_like	rate_setting_4	88.25069	2.0688
charge_like	rate_setting_5	94.73393	2.16172
charge_like	rate_setting_6	92.49263	2.21013
charge_like	rate_setting_7	92.49263	2.25165
charge_like	rate_setting_1	2.20481	1.76275
charge_like	rate_setting_2	7.02967	1.89065
charge_like	rate_setting_3	78.82335	1.99699
charge_like	rate_setting_4	90.49024	2.07896
charge_like	rate_setting_5	96.50812	2.17219
charge_like	rate_setting_6	94.16927	2.22059
charge_like	rate_setting_7	94.16927	2.26211
charge_like	rate_setting_1	2.38373	1.77506
charge_like	rate_setting_2	9.66897	1.90081
charge_like	rate_setting_3	82.82516	2.00714
charge_like	rate_setting_4	92.72866	2.08912
charge_like	rate_setting_5	98.49884	2.18265
charge_like	rate_setting_6	95.9538	2.23106
charge_like	rate_setting_7	95.9538	2.27258
charge_like	rate_setting_1	2.56222	1.78583
charge_like	rate_setting_2	14.36308	1.91096
charge_like	rate_setting_3	86.17811	2.0173
charge_like	rate_setting_4	94.90246	2.09958
charge_like	rate_setting_5	99.88389	2.18912
charge_like	rate_setting_6	97.73972	2.24121
charge_like	rate_setting_7	97.73972	2.28273
charge_like	rate_setting_1	2.77345	1.79629
charge_like	rate_setting_2	23.62393	1.92112
charge_like	rate_setting_3	89.15255	2.02745
charge_like	rate_setting_4	97.14094	2.11004
charge_like	rate_setting_6	99.84835	2.25137
charge_like	rate_setting_7	99.84835	2.29289
charge_like	rate_setting_1	3.01675	1.80676
charge_like	rate_setting_2	41.60292	1.93127
charge_like	rate_setting_3	91.93804	2.03823
charge_like	rate_setting_4	99.47738	2.12051
charge_like	rate_setting_6	99.90269	2.25137
charge_like	rate_setting_7	99.90269	2.29289
charge_like	rate_setting_1	3.32495	1.81722
charge_like	rate_setting_2	59.90666	1.94143
charge_like	rate_setting_3	94.61501	2.04869
charge_like	rate_setting_4	99.86688	2.12205
charge_like	rate_setting_1	3.74711	1.82738
charge_like	rate_setting_2	70.83366	1.95189
charge_like	rate_setting_3	97.26483	2.05885
charge_like	rate_setting_1	4.28281	1.83753
charge_like	rate_setting_2	78.51479	1.96205
charge_like	rate_setting_3	99.69899	2.069
charge_like	rate_setting_1	5.04527	1.848
charge_like	rate_setting_2	83.98848	1.97221
charge_like	rate_setting_3	99.86126	2.06962
charge_like	rate_setting_1	6.16551	1.85815
charge_like	rate_setting_2	88.48896	1.98236
charge_like	rate_setting_1	7.9998	1.86831
charge_like	rate_setting_2	92.36144	1.99252
charge_like	rate_setting_1	11.61907	1.87847
charge_like	rate_setting_2	96.08316	2.00267
charge_like	rate_setting_1	21.6502	1.88862
charge_like	rate_setting_2	99.63144	2.01283
charge_like	rate_setting_1	58.48011	1.89878
charge_like	rate_setting_2	99.84767	2.01345
charge_like	rate_setting_1	75.29636	1.90893
charge_like	rate_setting_1	84.02971	1.91909
charge_like	rate_setting_1	90.70107	1.92925
charge_like	rate_setting_1	96.34976	1.9394
charge_like	rate_setting_1	99.88829	1.9474
discharge_like	rate_setting_1	0.03532	1.90557
discharge_like	rate_setting_2	0.03523	1.88779
discharge_like	rate_setting_3	0.06861	1.87765
discharge_like	rate_setting_4	0.02764	1.90743
discharge_like	rate_setting_5	0.06598	1.84158
discharge_like	rate_setting_6	0.08673	1.84191
discharge_like	rate_setting_7	0.111	1.76123
discharge_like	rate_setting_1	0.05915	1.87603
discharge_like	rate_setting_2	0.08635	1.83485
discharge_like	rate_setting_3	0.13657	1.82379
discharge_like	rate_setting_4	0.11257	1.79818
discharge_like	rate_setting_5	0.13434	1.74895
discharge_like	rate_setting_6	0.17556	1.74989
discharge_like	rate_setting_7	0.22467	1.64767
discharge_like	rate_setting_1	0.09418	1.86156
discharge_like	rate_setting_2	0.13861	1.81393
discharge_like	rate_setting_3	0.18259	1.8044
discharge_like	rate_setting_4	0.19781	1.76217
discharge_like	rate_setting_5	0.23581	1.71479
discharge_like	rate_setting_6	0.30823	1.70865
discharge_like	rate_setting_7	0.33876	1.58796
discharge_like	rate_setting_1	0.1536	1.84741
discharge_like	rate_setting_2	0.22543	1.79946
discharge_like	rate_setting_3	0.29662	1.79178
discharge_like	rate_setting_4	0.25464	1.74709
discharge_like	rate_setting_5	0.33668	1.69909
discharge_like	rate_setting_6	0.44137	1.68834
discharge_like	rate_setting_7	0.50972	1.55534
discharge_like	rate_setting_1	0.24817	1.83694
discharge_like	rate_setting_2	25.48427	1.78931
discharge_like	rate_setting_3	25.34826	1.78162
discharge_like	rate_setting_4	0.39707	1.73693
discharge_like	rate_setting_5	0.50613	1.68709
discharge_like	rate_setting_6	0.53	1.67818
discharge_like	rate_setting_7	0.62312	1.53903
discharge_like	rate_setting_1	0.42562	1.82617
discharge_like	rate_setting_2	34.0715	1.77915
discharge_like	rate_setting_3	32.77283	1.77147
discharge_like	rate_setting_4	19.85486	1.72678
discharge_like	rate_setting_5	15.67695	1.67693
discharge_like	rate_setting_6	0.92955	1.66772
discharge_like	rate_setting_7	0.96585	1.52579
discharge_like	rate_setting_1	0.81612	1.8154
discharge_like	rate_setting_2	41.58341	1.76899
discharge_like	rate_setting_3	39.65021	1.76131
discharge_like	rate_setting_4	27.26833	1.71662
discharge_like	rate_setting_5	22.72134	1.66678
discharge_like	rate_setting_6	9.98275	1.65726
discharge_like	rate_setting_7	3.70558	1.51564
discharge_like	rate_setting_1	1.94032	1.80524
discharge_like	rate_setting_2	48.21096	1.75884
discharge_like	rate_setting_3	45.50453	1.75116
discharge_like	rate_setting_4	33.8294	1.70647
discharge_like	rate_setting_5	29.18956	1.65662
discharge_like	rate_setting_6	15.6636	1.6471
discharge_like	rate_setting_7	7.8152	1.50548
discharge_like	rate_setting_1	34.95654	1.79509
discharge_like	rate_setting_2	53.63979	1.74868
discharge_like	rate_setting_3	50.46899	1.741
discharge_like	rate_setting_4	39.59631	1.69631
discharge_like	rate_setting_5	35.08167	1.64646
discharge_like	rate_setting_6	21.38934	1.63695
discharge_like	rate_setting_7	11.92331	1.49533
discharge_like	rate_setting_1	44.17532	1.78493
discharge_like	rate_setting_2	58.09886	1.73853
discharge_like	rate_setting_3	54.84206	1.73084
discharge_like	rate_setting_4	44.76461	1.68615
discharge_like	rate_setting_5	40.43193	1.63631
discharge_like	rate_setting_6	26.49269	1.62679
discharge_like	rate_setting_7	16.14856	1.48517
discharge_like	rate_setting_1	51.21664	1.77478
discharge_like	rate_setting_2	61.96771	1.72837
discharge_like	rate_setting_3	58.69138	1.72069
discharge_like	rate_setting_4	49.56702	1.676
discharge_like	rate_setting_5	45.13736	1.62615
discharge_like	rate_setting_6	31.59656	1.61633
discharge_like	rate_setting_7	20.43002	1.47501
discharge_like	rate_setting_1	56.684	1.76462
discharge_like	rate_setting_2	65.21163	1.71791
discharge_like	rate_setting_3	61.97032	1.71053
discharge_like	rate_setting_4	53.5152	1.66584
discharge_like	rate_setting_5	49.47434	1.616
discharge_like	rate_setting_6	36.47779	1.60586
discharge_like	rate_setting_7	25.11095	1.46424
discharge_like	rate_setting_1	60.95624	1.75416
discharge_like	rate_setting_2	67.8832	1.70775
discharge_like	rate_setting_3	64.83996	1.70038
discharge_like	rate_setting_4	57.00923	1.65569
discharge_like	rate_setting_5	53.30031	1.60584
discharge_like	rate_setting_6	41.40581	1.59571
discharge_like	rate_setting_7	29.61876	1.45409
discharge_like	rate_setting_1	64.38806	1.744
discharge_like	rate_setting_2	70.15589	1.69759
discharge_like	rate_setting_3	67.27731	1.69022
discharge_like	rate_setting_4	60.36242	1.64553
discharge_like	rate_setting_5	56.85592	1.59507
discharge_like	rate_setting_6	45.48642	1.58555
discharge_like	rate_setting_7	33.72671	1.44393
discharge_like	rate_setting_1	67.02734	1.73384
discharge_like	rate_setting_2	72.15087	1.68713
discharge_like	rate_setting_3	69.50937	1.68006
discharge_like	rate_setting_4	63.25873	1.63537
discharge_like	rate_setting_5	60.00585	1.5846
discharge_like	rate_setting_6	48.99354	1.57539
discharge_like	rate_setting_7	37.66721	1.43377
discharge_like	rate_setting_1	69.18128	1.72338
discharge_like	rate_setting_2	73.83325	1.67698
discharge_like	rate_setting_3	71.37665	1.66991
discharge_like	rate_setting_4	65.73002	1.62522
discharge_like	rate_setting_5	62.74879	1.57445
discharge_like	rate_setting_6	52.54408	1.56493
discharge_like	rate_setting_7	41.49125	1.42362
discharge_like	rate_setting_1	71.03882	1.71322
discharge_like	rate_setting_2	75.35966	1.66682
discharge_like	rate_setting_3	73.06242	1.65975
discharge_like	rate_setting_4	68.14444	1.61506
discharge_like	rate_setting_5	65.1866	1.56429
discharge_like	rate_setting_6	55.73965	1.55477
discharge_like	rate_setting_7	45.14441	1.41316
discharge_like	rate_setting_1	72.45872	1.70307
discharge_like	rate_setting_2	76.67907	1.65666
discharge_like	rate_setting_3	74.58868	1.6496
discharge_like	rate_setting_4	70.04753	1.60491
discharge_like	rate_setting_5	67.45544	1.55414
discharge_like	rate_setting_6	58.44619	1.54462
discharge_like	rate_setting_7	48.68379	1.403
discharge_like	rate_setting_1	73.77268	1.69291
discharge_like	rate_setting_2	77.75398	1.64651
discharge_like	rate_setting_3	75.97756	1.63913
discharge_like	rate_setting_4	71.78047	1.59475
discharge_like	rate_setting_5	69.45309	1.54398
discharge_like	rate_setting_6	60.97641	1.53385
discharge_like	rate_setting_7	51.70848	1.39284
discharge_like	rate_setting_1	74.82598	1.68276
discharge_like	rate_setting_2	78.77786	1.63604
discharge_like	rate_setting_3	77.20719	1.62867
discharge_like	rate_setting_4	73.39973	1.58429
discharge_like	rate_setting_5	71.17989	1.53352
discharge_like	rate_setting_6	63.3286	1.52338
discharge_like	rate_setting_7	54.79021	1.38269
discharge_like	rate_setting_1	75.79644	1.6726
discharge_like	rate_setting_2	79.64525	1.62589
discharge_like	rate_setting_3	78.32332	1.61821
discharge_like	rate_setting_4	74.84812	1.57413
discharge_like	rate_setting_5	72.83989	1.52336
discharge_like	rate_setting_6	65.41437	1.51323
discharge_like	rate_setting_7	57.58577	1.37222
discharge_like	rate_setting_1	76.62473	1.66244
discharge_like	rate_setting_2	80.37397	1.61573
discharge_like	rate_setting_3	79.32495	1.60805
discharge_like	rate_setting_4	76.15462	1.56397
discharge_like	rate_setting_5	74.39588	1.51259
discharge_like	rate_setting_6	67.32244	1.50307
discharge_like	rate_setting_7	60.20813	1.36176
discharge_like	rate_setting_1	77.38217	1.65198
discharge_like	rate_setting_2	81.0505	1.60558
discharge_like	rate_setting_3	80.25893	1.59759
discharge_like	rate_setting_4	77.31946	1.55382
discharge_like	rate_setting_5	75.7855	1.50213
discharge_like	rate_setting_6	69.14228	1.49199
discharge_like	rate_setting_7	62.55352	1.3513
discharge_like	rate_setting_1	78.13937	1.64152
discharge_like	rate_setting_2	81.67493	1.5948
discharge_like	rate_setting_3	81.05496	1.58743
discharge_like	rate_setting_4	78.39715	1.54335
discharge_like	rate_setting_5	77.00495	1.49197
discharge_like	rate_setting_6	70.87233	1.48184
discharge_like	rate_setting_7	64.78048	1.34083
discharge_like	rate_setting_1	78.80233	1.63105
discharge_like	rate_setting_2	82.24767	1.58372
discharge_like	rate_setting_3	81.87613	1.57666
discharge_like	rate_setting_4	79.50627	1.53258
discharge_like	rate_setting_5	78.22421	1.48089
discharge_like	rate_setting_6	72.38235	1.47137
discharge_like	rate_setting_7	66.77712	1.33037
discharge_like	rate_setting_1	79.40572	1.6209
discharge_like	rate_setting_2	82.78519	1.57357
discharge_like	rate_setting_3	82.58184	1.56619
discharge_like	rate_setting_4	80.4441	1.52243
discharge_like	rate_setting_5	79.24004	1.47073
discharge_like	rate_setting_6	73.8018	1.4606
discharge_like	rate_setting_7	68.83193	1.3196
discharge_like	rate_setting_1	79.96162	1.61074
discharge_like	rate_setting_2	83.21906	1.56341
discharge_like	rate_setting_3	83.22009	1.55542
discharge_like	rate_setting_4	81.3246	1.51227
discharge_like	rate_setting_5	80.28973	1.45996
discharge_like	rate_setting_6	75.0892	1.45044
discharge_like	rate_setting_7	70.82962	1.30913
discharge_like	rate_setting_1	80.50629	1.60058
discharge_like	rate_setting_2	83.66975	1.55326
discharge_like	rate_setting_3	83.8125	1.54527
discharge_like	rate_setting_4	82.12003	1.50211
discharge_like	rate_setting_5	81.2378	1.44888
discharge_like	rate_setting_6	76.3321	1.44029
discharge_like	rate_setting_7	72.48148	1.29867
discharge_like	rate_setting_1	81.01502	1.59043
discharge_like	rate_setting_2	84.12116	1.54248
discharge_like	rate_setting_3	84.33546	1.53511
discharge_like	rate_setting_4	82.91605	1.49134
discharge_like	rate_setting_5	82.11808	1.43873
discharge_like	rate_setting_6	77.4428	1.42982
discharge_like	rate_setting_7	74.13933	1.2879
discharge_like	rate_setting_1	81.47669	1.58027
discharge_like	rate_setting_2	84.53764	1.53202
discharge_like	rate_setting_3	84.92802	1.52403
discharge_like	rate_setting_4	83.56881	1.48119
discharge_like	rate_setting_5	82.89684	1.42857
discharge_like	rate_setting_6	78.50666	1.41967
discharge_like	rate_setting_7	75.73606	1.27682
discharge_like	rate_setting_1	81.96172	1.56981
discharge_like	rate_setting_2	84.91921	1.52094
discharge_like	rate_setting_3	85.3836	1.51357
discharge_like	rate_setting_4	84.25038	1.47103
discharge_like	rate_setting_5	83.6761	1.41811
discharge_like	rate_setting_6	79.53413	1.4089
discharge_like	rate_setting_7	77.22205	1.26635
discharge_like	rate_setting_1	82.41153	1.55935
discharge_like	rate_setting_2	85.26607	1.51048
discharge_like	rate_setting_3	85.86136	1.50249
discharge_like	rate_setting_4	84.90356	1.45995
discharge_like	rate_setting_5	84.38722	1.40795
discharge_like	rate_setting_6	80.54811	1.39751
discharge_like	rate_setting_7	78.53517	1.2562
discharge_like	rate_setting_1	82.8732	1.54919
discharge_like	rate_setting_2	85.66523	1.49971
discharge_like	rate_setting_3	86.2719	1.49233
discharge_like	rate_setting_4	85.47205	1.44918
discharge_like	rate_setting_5	85.06453	1.39749
discharge_like	rate_setting_6	81.43569	1.38674
discharge_like	rate_setting_7	79.84717	1.24512
discharge_like	rate_setting_1	83.29916	1.53873
discharge_like	rate_setting_2	86.08154	1.48832
discharge_like	rate_setting_3	86.68167	1.48218
discharge_like	rate_setting_4	86.06835	1.43872
discharge_like	rate_setting_5	85.70835	1.38733
discharge_like	rate_setting_6	82.36742	1.37566
discharge_like	rate_setting_7	80.98924	1.23496
discharge_like	rate_setting_1	83.68956	1.52857
discharge_like	rate_setting_2	86.42797	1.47816
