sample_id	continuous_covariate	coarse_group_id
sample_178	17.0	group_C
sample_179	53.0	group_C
sample_180	25.0	group_C
sample_181	0.03	group_B
sample_182	33.0	group_B
sample_183	46.0	group_C
sample_184	14.0	group_C
sample_185	7.0	group_C
sample_186	16.0	group_C
sample_187	1.0	group_A
sample_188	12.0	group_A
sample_189	1.0	group_A
sample_190	80.0	group_A
sample_191	2.21	group_B
sample_192	55.0	group_C
sample_193	44.0	group_C
sample_194	15.0	group_A
sample_195	33.0	group_C
sample_196	1.0	group_A
sample_197	6.0	group_C
sample_198	15.0	group_C
sample_199	42.0	group_C
sample_200	7.0	group_A
sample_201	8.0	group_C
sample_202	0.67	group_C
sample_203	15.0	group_C
sample_204	14.0	group_C
sample_205	13.0	group_C
sample_206	16.0	group_C
sample_207	26.0	group_B
sample_208	25.0	group_B
sample_209	0.21	group_B
sample_210	42.0	group_C
sample_211	25.0	group_C
sample_212	1.6	group_C
sample_213	3.0	group_C
sample_214	9.0	group_A
sample_215	0.11	group_B
sample_217	0.417	group_A
sample_218	16.0	group_C
sample_219	15.0	group_C
sample_220	4.0	group_A
sample_221	16.0	group_C
sample_222	49.0	group_C
sample_223	3.0	group_C
sample_224	1.0	group_A
sample_225	27.0	group_C
sample_226	0.58	group_C
sample_227	0.67	group_B
sample_228	28.0	group_C
sample_230	0.94	group_B
sample_231	16.0	group_C
sample_233	0.25	group_C
sample_234	13.0	group_C
sample_236	0.42	group_C
sample_237	45.0	group_C
sample_238	15.0	group_C
sample_240	66.0	group_A
sample_241	15.0	group_C
sample_243	23.0	group_C
sample_244	54.0	group_C
sample_245	2.0	group_A
sample_246	41.0	group_C
sample_247	29.0	group_A
sample_248	5.0	group_C
sample_249	13.0	group_C
sample_250	66.0	group_A
sample_251	45.0	group_C
sample_252	74.0	group_A
sample_253	16.0	group_C
sample_254	16.0	group_C
sample_256	50.0	group_C
sample_257	25.0	group_C
sample_258	14.0	group_C
sample_259	0.5	group_C
sample_260	44.0	group_C
sample_261	7.0	group_A
sample_262	33.0	group_C
sample_263	5.0	group_A
sample_264	46.0	group_C
sample_265	0.39	group_B
sample_266	48.0	group_C
sample_267	31.0	group_A
sample_268	6.0	group_C
sample_270	54.0	group_C
sample_271	0.44	group_B
sample_272	0.42	group_C
sample_273	16.0	group_C
sample_274	0.08	group_C
sample_275	57.0	group_C
sample_276	16.0	group_C
sample_277	18.0	group_A
sample_278	13.0	group_C
sample_279	0.25	group_C
sample_280	9.0	group_C
sample_281	0.75	group_C
sample_282	44.0	group_C
sample_283	2.0	group_A
sample_284	1.5	group_A
sample_286	14.0	group_C
sample_287	2.0	group_A
sample_288	27.0	group_C
sample_289	0.05	group_B
sample_290	1.0	group_C
sample_291	0.21	group_B
sample_292	48.0	group_C
sample_293	0.42	group_C
sample_294	14.0	group_C
sample_296	0.19	group_B
sample_298	24.0	group_A
sample_299	60.0	group_A
sample_300	46.0	group_C
sample_302	43.0	group_C
sample_303	15.0	group_C
sample_304	24.0	group_B
sample_305	28.0	group_C
sample_306	35.0	group_C
sample_307	48.0	group_C
sample_308	41.0	group_C
sample_309	6.0	group_C
sample_310	14.0	group_C
sample_311	44.0	group_C
sample_312	0.92	group_C
sample_313	47.0	group_C
sample_314	14.0	group_C
sample_315	4.0	group_A
sample_316	0.58	group_C
sample_317	0.76	group_B
sample_318	5.0	group_A
sample_319	0.83	group_C
sample_320	1.0	group_A
sample_321	11.0	group_A
sample_322	10.0	group_C
sample_323	37.0	group_C
sample_324	33.0	group_A
sample_325	23.0	group_C
sample_326	26.0	group_B
sample_327	0.6	group_B
sample_328	0.33	group_A
sample_329	11.0	group_A
sample_330	1.0	group_A
sample_331	16.0	group_C
sample_332	1.0	group_C
sample_333	14.0	group_C
sample_334	1.53	group_B
sample_335	14.0	group_C
sample_336	35.0	group_A
sample_337	43.0	group_C
sample_338	50.0	group_C
sample_339	15.0	group_C
sample_340	16.0	group_C
sample_341	44.0	group_C
sample_342	14.0	group_C
sample_343	0.42	group_C
sample_344	1.0	group_A
sample_345	26.0	group_C
sample_346	9.0	group_C
sample_347	40.0	group_C
sample_348	16.0	group_C
sample_349	14.0	group_C
sample_350	0.5	group_A
sample_351	47.0	group_C
sample_352	11.0	group_A
sample_353	0.42	group_C
sample_354	7.0	group_C
sample_355	53.0	group_C
sample_356	28.0	group_A
sample_357	1.3	group_B
sample_358	27.0	group_B
sample_359	10.0	group_C
sample_360	14.0	group_C
sample_361	39.0	group_A
sample_362	32.0	group_B
sample_363	16.0	group_C
sample_364	0.19	group_B
sample_365	0.33	group_C
sample_366	21.0	group_A
sample_367	10.0	group_C
sample_368	26.0	group_C
sample_369	15.0	group_C
sample_371	15.0	group_C
sample_372	16.0	group_C
sample_373	44.0	group_B
sample_374	16.0	group_C
sample_375	11.0	group_A
sample_376	49.0	group_C
sample_377	0.5	group_C
sample_378	24.03	group_B
sample_379	0.33	group_C
sample_380	47.0	group_C
sample_381	20.0	group_B
sample_382	50.0	group_C
sample_383	16.72	group_B
sample_384	51.0	group_C
sample_385	39.0	group_C
sample_386	2.05	group_B
sample_387	1.0	group_A
sample_388	0.21	group_B
sample_389	26.0	group_C
sample_390	1.35	group_B
sample_391	2.02	group_B
sample_392	11.0	group_C
sample_393	38.0	group_B
sample_394	2.0	group_A
sample_395	16.0	group_C
sample_396	48.0	group_C
sample_397	53.0	group_A
sample_398	14.0	group_C
sample_399	11.0	group_A
sample_400	0.8	group_B
sample_401	24.0	group_B
sample_402	15.0	group_C
sample_403	49.0	group_C
sample_404	2.02	group_B
sample_405	46.0	group_C
sample_406	3.0	group_A
sample_407	2.65	group_B
sample_408	16.0	group_C
sample_409	2.39	group_B
sample_410	38.0	group_A
sample_411	1.25	group_C
sample_412	15.0	group_C
sample_413	16.0	group_C
sample_414	0.42	group_C
sample_415	46.0	group_C
sample_416	11.0	group_A
sample_418	16.72	group_B
sample_419	15.0	group_C
sample_420	50.0	group_C
sample_421	11.0	group_A
sample_422	46.0	group_C
sample_423	9.0	group_A
sample_424	0.56	group_B
sample_425	1.22	group_B
sample_426	15.0	group_C
sample_427	60.0	group_A
sample_428	1.89	group_B
sample_429	0.17	group_C
sample_430	0.43	group_B
sample_431	0.17	group_C
sample_432	6.0	group_A
sample_433	29.0	group_A
sample_434	0.917	group_A
sample_435	9.0	group_A
sample_436	14.0	group_C
sample_437	10.0	group_A
sample_438	52.0	group_C
sample_439	30.0	group_C
sample_440	0.94	group_B
sample_441	24.0	group_C
sample_443	42.0	group_C
sample_445	26.0	group_C
sample_446	11.0	group_C
sample_447	22.0	group_A
sample_448	0.17	group_C
sample_449	14.0	group_C
sample_450	2.02	group_B
sample_451	14.0	group_C
sample_452	25.0	group_C
sample_453	24.0	group_B
sample_454	1.25	group_B
sample_455	25.0	group_C
sample_456	1.22	group_B
sample_457	49.0	group_C
sample_458	45.0	group_C
sample_459	29.0	group_C
sample_461	0.75	group_C
sample_462	46.0	group_C
sample_463	9.0	group_C
sample_464	7.0	group_C
sample_465	44.0	group_C
sample_466	14.0	group_C
sample_467	51.0	group_C
sample_469	15.0	group_C
sample_470	14.0	group_C
sample_472	3.0	group_A
sample_473	47.0	group_C
sample_474	14.0	group_C
sample_475	1.0	group_A
sample_476	0.25	group_C
sample_477	10.0	group_C
sample_478	20.0	group_A
sample_479	14.0	group_C
sample_482	0.5	group_C
sample_483	16.0	group_C
sample_484	0.95	group_B
sample_486	14.0	group_C
sample_487	0.25	group_A
sample_488	52.0	group_C
sample_489	28.0	group_C
sample_490	34.0	group_B
sample_491	14.0	group_C
sample_492	23.0	group_C
sample_493	21.0	group_B
sample_495	15.0	group_C
sample_496	1.67	group_A
sample_497	7.0	group_A
sample_499	16.0	group_C
sample_500	60.0	group_A
sample_501	49.0	group_C
sample_502	46.0	group_C
sample_503	38.0	group_A
sample_504	14.0	group_C
sample_505	13.0	group_C
sample_506	40.0	group_A
sample_508	43.0	group_C
sample_509	14.0	group_C
sample_510	34.0	group_C
sample_513	47.0	group_C
sample_514	15.0	group_C
sample_515	15.0	group_C
sample_517	15.0	group_C
sample_518	14.0	group_C
sample_519	13.0	group_C
sample_520	0.92	group_C
sample_521	47.0	group_C
sample_523	5.0	group_A
sample_524	16.0	group_C
sample_525	56.0	group_C
sample_526	17.0	group_C
sample_527	32.0	group_B
sample_528	24.0	group_A
sample_529	16.0	group_C
sample_530	5.0	group_C
sample_531	1.0	group_C
