feature_id	sample_id	relative_count
feature_0003	sample_184	5.0
feature_0003	sample_462	26.0
feature_0003	sample_436	1.0
feature_0003	sample_477	17.0
feature_0003	sample_125	1.0
feature_0003	sample_072	3.0
feature_0003	sample_491	1.0
feature_0003	sample_254	12.0
feature_0003	sample_426	4.0
feature_0003	sample_046	57.0
feature_0003	sample_376	4.0
feature_0003	sample_338	4.0
feature_0003	sample_347	97.0
feature_0003	sample_154	2.0
feature_0003	sample_199	2.0
feature_0003	sample_092	22.0
feature_0003	sample_262	7.0
feature_0003	sample_144	4.0
feature_0003	sample_290	1.0
feature_0003	sample_195	5.0
feature_0003	sample_212	4.0
feature_0003	sample_248	37.0
feature_0003	sample_213	17.0
feature_0003	sample_059	2.0
feature_0003	sample_197	13.0
feature_0003	sample_280	1.0
feature_0003	sample_287	6.0
feature_0003	sample_150	3.0
feature_0003	sample_464	19.0
feature_0003	sample_012	1.0
feature_0003	sample_126	1.0
feature_0003	sample_149	1.0
feature_0003	sample_084	1.0
feature_0003	sample_151	1.0
feature_0003	sample_243	2.0
feature_0003	sample_389	1.0
feature_0003	sample_492	5.0
feature_0003	sample_306	1.0
feature_0003	sample_407	1.0
feature_0003	sample_400	2.0
feature_0003	sample_285	1.0
feature_0003	sample_067	2.0
feature_0003	sample_507	3.0
feature_0003	sample_177	2.0
feature_0003	sample_113	1.0
feature_0003	sample_527	1.0
feature_0003	sample_490	2.0
feature_0003	sample_386	3.0
feature_0003	sample_362	1.0
feature_0003	sample_377	16.0
feature_0003	sample_355	6.0
feature_0003	sample_441	8.0
feature_0003	sample_025	5.0
feature_0003	sample_343	6.0
feature_0003	sample_063	9.0
feature_0003	sample_471	4.0
feature_0003	sample_033	2.0
feature_0003	sample_455	2.0
feature_0003	sample_439	11.0
feature_0003	sample_105	3.0
feature_0003	sample_257	42.0
feature_0003	sample_228	7.0
feature_0003	sample_180	2.0
feature_0003	sample_305	22.0
feature_0003	sample_013	23.0
feature_0003	sample_008	5.0
feature_0003	sample_071	8.0
feature_0003	sample_211	7.0
feature_0003	sample_452	3.0
feature_0003	sample_030	31.0
feature_0003	sample_525	37.0
feature_0003	sample_047	19.0
feature_0003	sample_445	12.0
feature_0003	sample_444	3.0
feature_0003	sample_341	6.0
feature_0003	sample_360	1.0
feature_0003	sample_465	12.0
feature_0003	sample_178	1.0
feature_0003	sample_266	14.0
feature_0003	sample_171	2.0
feature_0003	sample_186	1.0
feature_0003	sample_192	2.0
feature_0003	sample_517	7.0
feature_0003	sample_094	10.0
feature_0003	sample_346	7.0
feature_0003	sample_198	1.0
feature_0003	sample_022	25.0
feature_0003	sample_050	2.0
feature_0003	sample_276	8.0
feature_0003	sample_371	1.0
feature_0003	sample_384	1.0
feature_0003	sample_023	1.0
feature_0003	sample_237	2.0
feature_0003	sample_501	2.0
feature_0003	sample_238	4.0
feature_0003	sample_124	9.0
feature_0003	sample_322	3.0
feature_0003	sample_521	3.0
feature_0003	sample_231	2.0
feature_0003	sample_111	5.0
feature_0003	sample_311	2.0
feature_0003	sample_420	1.0
feature_0003	sample_463	2.0
feature_0003	sample_156	3.0
feature_0003	sample_514	1.0
feature_0003	sample_090	5.0
feature_0003	sample_310	1.0
feature_0003	sample_183	5.0
feature_0003	sample_164	1.0
feature_0003	sample_223	10.0
feature_0003	sample_395	1.0
feature_0003	sample_085	1.0
feature_0003	sample_470	12.0
feature_0003	sample_088	6.0
feature_0003	sample_323	3.0
feature_0003	sample_103	1.0
feature_0003	sample_246	2.0
feature_0003	sample_024	2.0
feature_0003	sample_078	2.0
feature_0003	sample_337	3.0
feature_0003	sample_351	57.0
feature_0003	sample_159	3.0
feature_0003	sample_121	1.0
feature_0003	sample_339	13.0
feature_0003	sample_155	1.0
feature_0003	sample_064	6.0
feature_0003	sample_133	1.0
feature_0003	sample_422	2.0
feature_0003	sample_302	2.0
feature_0003	sample_256	7.0
feature_0003	sample_035	1.0
feature_0003	sample_222	8.0
feature_0003	sample_241	11.0
feature_0003	sample_493	1.0
feature_0003	sample_148	1.0
feature_0003	sample_401	2.0
feature_0003	sample_122	1.0
feature_0003	sample_516	1.0
feature_0003	sample_129	2.0
feature_0003	sample_229	2.0
feature_0003	sample_074	1.0
feature_0003	sample_383	1.0
feature_0003	sample_295	1.0
feature_0003	sample_418	1.0
feature_0003	sample_391	1.0
feature_0003	sample_264	1.0
feature_0003	sample_166	1.0
feature_0003	sample_412	1.0
feature_0003	sample_415	1.0
feature_0003	sample_331	5.0
feature_0003	sample_028	5.0
feature_0003	sample_413	2.0
feature_0003	sample_438	2.0
feature_0003	sample_175	19.0
feature_0003	sample_170	1.0
feature_0003	sample_457	1.0
feature_0003	sample_127	1.0
feature_0003	sample_203	9.0
feature_0003	sample_469	2.0
feature_0003	sample_234	1.0
feature_0003	sample_292	251.0
feature_0003	sample_408	26.0
feature_0003	sample_086	7.0
feature_0003	sample_218	1.0
feature_0003	sample_402	3.0
feature_0003	sample_179	1.0
feature_0003	sample_027	5.0
feature_0003	sample_107	1.0
feature_0003	sample_374	1.0
feature_0003	sample_515	13.0
feature_0003	sample_139	3.0
feature_0003	sample_101	11.0
feature_0003	sample_419	2.0
feature_0003	sample_210	4.0
feature_0003	sample_483	1.0
feature_0003	sample_115	4.0
feature_0003	sample_219	1.0
feature_0003	sample_387	1.0
feature_0003	sample_169	4.0
feature_0003	sample_120	1.0
feature_0003	sample_032	1.0
feature_0003	sample_093	1.0
feature_0003	sample_277	1.0
feature_0003	sample_468	1.0
feature_0003	sample_352	1.0
feature_0003	sample_214	1.0
feature_0003	sample_378	1.0
feature_0003	sample_054	5.0
feature_0003	sample_017	6.0
feature_0003	sample_354	1.0
feature_0003	sample_058	11.0
feature_0003	sample_349	9.0
feature_0003	sample_065	1.0
feature_0003	sample_119	1.0
feature_0003	sample_359	3.0
feature_0003	sample_251	4.0
feature_0003	sample_038	1.0
feature_0003	sample_270	2.0
feature_0003	sample_097	3.0
feature_0003	sample_313	1.0
feature_0003	sample_037	4.0
feature_0003	sample_045	1.0
feature_0003	sample_163	34.0
feature_0003	sample_004	15.0
feature_0003	sample_258	9.0
feature_0003	sample_333	83.0
feature_0003	sample_405	1.0
feature_0003	sample_385	3.0
feature_0003	sample_003	1.0
feature_0003	sample_099	3.0
feature_0003	sample_029	3.0
feature_0003	sample_529	1.0
feature_0003	sample_443	1.0
feature_0003	sample_508	1.0
feature_0003	sample_201	1.0
feature_0003	sample_143	27.0
feature_0003	sample_312	6.0
feature_0003	sample_520	2.0
feature_0003	sample_460	1.0
feature_0003	sample_332	13.0
feature_0003	sample_481	7.0
feature_0003	sample_309	13.0
feature_0003	sample_530	3.0
feature_0003	sample_459	4.0
feature_0003	sample_489	1.0
feature_0003	sample_345	6.0
feature_0003	sample_288	1.0
feature_0003	sample_368	7.0
feature_0003	sample_225	1.0
feature_0003	sample_153	2.0
feature_0003	sample_269	1.0
feature_0003	sample_235	1.0
feature_0003	sample_294	4.0
feature_0003	sample_396	1.0
feature_0003	sample_011	4.0
feature_0003	sample_449	13.0
feature_0003	sample_135	2.0
feature_0003	sample_509	6.0
feature_0003	sample_367	2.0
feature_0003	sample_308	10.0
feature_0003	sample_303	3.0
feature_0003	sample_204	10.0
feature_0003	sample_275	4.0
feature_0003	sample_286	5.0
feature_0003	sample_495	5.0
feature_0003	sample_205	1.0
feature_0003	sample_458	1.0
feature_0003	sample_380	1.0
feature_0003	sample_252	1.0
feature_0003	sample_189	1.0
feature_0003	sample_315	1.0
feature_0003	sample_081	2.0
feature_0003	sample_053	1.0
feature_0003	sample_141	2.0
feature_0003	sample_110	2.0
feature_0003	sample_329	1.0
feature_0003	sample_361	2.0
feature_0003	sample_041	1.0
feature_0003	sample_497	1.0
feature_0003	sample_190	3.0
feature_0003	sample_321	2.0
feature_0003	sample_188	1.0
feature_0003	sample_523	1.0
feature_0003	sample_194	2.0
feature_0003	sample_069	1.0
feature_0004	sample_390	40.0
feature_0004	sample_136	4.0
feature_0004	sample_031	132.0
feature_0004	sample_447	109.0
feature_0004	sample_020	1.0
feature_0004	sample_522	17.0
feature_0004	sample_240	13.0
feature_0004	sample_410	1.0
feature_0004	sample_187	243.0
feature_0004	sample_366	2.0
feature_0004	sample_116	1.0
feature_0004	sample_500	5.0
feature_0004	sample_375	166.0
feature_0004	sample_131	103.0
feature_0004	sample_327	32.0
feature_0004	sample_299	4.0
feature_0004	sample_528	76.0
feature_0004	sample_478	4.0
feature_0004	sample_298	40.0
feature_0004	sample_007	8.0
feature_0004	sample_267	2.0
feature_0004	sample_145	9.0
feature_0004	sample_283	6.0
feature_0004	sample_161	1.0
feature_0004	sample_344	13.0
feature_0004	sample_002	4.0
feature_0004	sample_318	1.0
feature_0004	sample_324	4.0
feature_0004	sample_249	115.0
feature_0004	sample_451	5.0
feature_0004	sample_089	44.0
feature_0004	sample_524	14.0
feature_0004	sample_392	32.0
feature_0004	sample_513	2.0
feature_0004	sample_060	7.0
feature_0004	sample_185	7.0
feature_0004	sample_106	7.0
feature_0004	sample_221	1.0
feature_0004	sample_467	4.0
feature_0004	sample_056	7.0
feature_0004	sample_253	16.0
feature_0004	sample_300	3.0
feature_0004	sample_193	1.0
feature_0004	sample_474	1.0
feature_0004	sample_446	3.0
feature_0004	sample_307	1.0
feature_0004	sample_466	3.0
feature_0004	sample_518	3.0
feature_0004	sample_044	2.0
feature_0004	sample_184	1.0
feature_0004	sample_462	1.0
feature_0004	sample_436	1.0
feature_0004	sample_477	2.0
feature_0004	sample_125	1.0
feature_0004	sample_072	2.0
feature_0004	sample_491	1.0
feature_0004	sample_254	1.0
feature_0004	sample_092	3.0
feature_0004	sample_319	4.0
feature_0004	sample_262	1.0
feature_0004	sample_144	11.0
feature_0004	sample_411	1.0
feature_0004	sample_207	7.0
feature_0004	sample_290	2.0
feature_0004	sample_195	2.0
feature_0004	sample_196	3.0
feature_0004	sample_325	1.0
feature_0004	sample_018	1.0
feature_0004	sample_040	1.0
feature_0004	sample_212	1.0
feature_0004	sample_456	136.0
feature_0004	sample_407	9.0
feature_0004	sample_215	439.0
feature_0004	sample_400	30.0
feature_0004	sample_388	122.0
feature_0004	sample_373	41.0
feature_0004	sample_317	58.0
feature_0004	sample_291	352.0
feature_0004	sample_130	100.0
feature_0004	sample_425	91.0
feature_0004	sample_009	33.0
feature_0004	sample_209	86.0
feature_0004	sample_142	156.0
feature_0004	sample_271	117.0
feature_0004	sample_162	1.0
feature_0004	sample_285	1.0
feature_0004	sample_494	2.0
feature_0004	sample_409	1.0
feature_0004	sample_067	5.0
feature_0004	sample_082	3.0
feature_0004	sample_381	1.0
feature_0004	sample_511	2.0
feature_0004	sample_417	1.0
feature_0004	sample_128	10716.0
feature_0004	sample_048	5296.0
feature_0004	sample_138	386.0
feature_0004	sample_066	6476.0
feature_0004	sample_274	3412.0
feature_0004	sample_431	397.0
feature_0004	sample_259	619.0
feature_0004	sample_377	1443.0
feature_0004	sample_087	153.0
feature_0004	sample_355	11.0
feature_0004	sample_441	35.0
feature_0004	sample_025	7.0
feature_0004	sample_482	168.0
feature_0004	sample_343	121.0
feature_0004	sample_063	52.0
feature_0004	sample_083	51.0
feature_0004	sample_293	7.0
feature_0004	sample_236	8.0
feature_0004	sample_531	3.0
feature_0004	sample_471	1.0
feature_0004	sample_033	9.0
feature_0004	sample_455	2.0
feature_0004	sample_439	2.0
feature_0004	sample_105	9.0
feature_0004	sample_257	1.0
feature_0004	sample_228	5.0
feature_0004	sample_180	1.0
feature_0004	sample_305	1.0
feature_0004	sample_013	3.0
feature_0004	sample_008	3.0
feature_0004	sample_071	4.0
feature_0004	sample_211	1.0
feature_0004	sample_452	1.0
feature_0004	sample_030	1.0
feature_0004	sample_341	1.0
feature_0004	sample_465	28.0
feature_0004	sample_178	1.0
feature_0004	sample_266	13.0
feature_0004	sample_171	2.0
feature_0004	sample_186	4.0
feature_0004	sample_192	4.0
feature_0004	sample_517	2.0
feature_0004	sample_094	1.0
feature_0004	sample_346	3.0
feature_0004	sample_363	1.0
feature_0004	sample_019	1.0
feature_0004	sample_198	2.0
feature_0004	sample_114	1.0
feature_0004	sample_382	1.0
feature_0004	sample_022	1.0
feature_0004	sample_273	2.0
feature_0004	sample_050	1.0
feature_0004	sample_463	9.0
feature_0004	sample_156	7.0
feature_0004	sample_157	5.0
feature_0004	sample_486	3.0
feature_0004	sample_514	3.0
feature_0004	sample_090	3.0
feature_0004	sample_310	1.0
feature_0004	sample_183	2.0
feature_0004	sample_176	6.0
feature_0004	sample_164	1.0
feature_0004	sample_348	2.0
feature_0004	sample_223	2.0
feature_0004	sample_395	4.0
feature_0004	sample_085	1.0
feature_0004	sample_470	2.0
feature_0004	sample_088	1.0
feature_0004	sample_323	2.0
feature_0004	sample_103	1.0
feature_0004	sample_372	2.0
feature_0004	sample_246	1.0
feature_0004	sample_505	1.0
feature_0004	sample_024	2.0
feature_0004	sample_181	10461.0
feature_0004	sample_424	53.0
feature_0004	sample_227	185.0
feature_0004	sample_079	106.0
feature_0004	sample_098	10.0
feature_0004	sample_430	4.0
feature_0004	sample_493	4.0
feature_0004	sample_364	24.0
feature_0004	sample_118	10.0
feature_0004	sample_216	1.0
feature_0004	sample_148	1.0
feature_0004	sample_165	16.0
feature_0004	sample_450	5.0
feature_0004	sample_117	3.0
feature_0004	sample_401	1.0
feature_0004	sample_014	1.0
feature_0004	sample_334	1.0
feature_0004	sample_123	1.0
feature_0004	sample_480	3.0
feature_0004	sample_122	1.0
feature_0004	sample_516	1.0
feature_0004	sample_296	4.0
feature_0004	sample_484	1.0
feature_0004	sample_264	8.0
feature_0004	sample_473	11.0
feature_0004	sample_166	62.0
feature_0004	sample_412	28.0
feature_0004	sample_415	2.0
feature_0004	sample_104	15.0
feature_0004	sample_331	8.0
feature_0004	sample_488	2.0
feature_0004	sample_028	4.0
feature_0004	sample_413	3.0
feature_0004	sample_438	3.0
feature_0004	sample_175	3.0
feature_0004	sample_170	1.0
feature_0004	sample_457	1.0
feature_0004	sample_127	1.0
feature_0004	sample_203	1.0
feature_0004	sample_469	2.0
feature_0004	sample_234	1.0
feature_0004	sample_292	1.0
feature_0004	sample_387	320.0
feature_0004	sample_272	159.0
feature_0004	sample_397	29.0
feature_0004	sample_169	12.0
feature_0004	sample_016	12.0
feature_0004	sample_350	15.0
feature_0004	sample_140	12.0
feature_0004	sample_220	1.0
feature_0004	sample_432	7.0
feature_0004	sample_454	12.0
feature_0004	sample_404	1.0
feature_0004	sample_120	3.0
feature_0004	sample_137	2.0
feature_0004	sample_356	1.0
feature_0004	sample_032	2.0
feature_0004	sample_416	1.0
feature_0004	sample_093	1.0
feature_0004	sample_263	1.0
feature_0004	sample_284	1.0
feature_0004	sample_487	2.0
feature_0004	sample_054	2.0
feature_0004	sample_349	2.0
feature_0004	sample_282	4.0
feature_0004	sample_359	3.0
feature_0004	sample_038	1.0
feature_0004	sample_270	4.0
feature_0004	sample_313	2.0
feature_0004	sample_504	1.0
feature_0004	sample_258	11.0
feature_0004	sample_333	4.0
feature_0004	sample_385	10.0
feature_0004	sample_099	1.0
feature_0004	sample_029	2.0
feature_0004	sample_201	1.0
feature_0004	sample_100	22658.0
feature_0004	sample_077	7933.0
feature_0004	sample_068	80.0
feature_0004	sample_353	422.0
feature_0004	sample_448	3247.0
feature_0004	sample_365	584.0
feature_0004	sample_096	338.0
feature_0004	sample_414	934.0
feature_0004	sample_429	448.0
feature_0004	sample_233	354.0
feature_0004	sample_061	35.0
feature_0004	sample_202	3.0
feature_0004	sample_312	21.0
feature_0004	sample_520	5.0
feature_0004	sample_460	1.0
feature_0004	sample_461	1.0
feature_0004	sample_332	31.0
feature_0004	sample_108	33.0
feature_0004	sample_049	10.0
feature_0004	sample_281	4.0
feature_0004	sample_481	3.0
feature_0004	sample_379	56.0
feature_0004	sample_279	25.0
feature_0004	sample_309	26.0
feature_0004	sample_036	56.0
feature_0004	sample_226	19.0
feature_0004	sample_530	14.0
feature_0004	sample_476	21.0
feature_0004	sample_459	1.0
feature_0004	sample_489	5.0
feature_0004	sample_316	7.0
feature_0004	sample_073	3.0
feature_0004	sample_345	1.0
feature_0004	sample_091	3932.0
feature_0004	sample_289	1285.0
feature_0004	sample_232	2.0
feature_0004	sample_057	1.0
feature_0004	sample_235	14.0
feature_0004	sample_519	1.0
feature_0004	sample_265	24.0
feature_0004	sample_440	1.0
feature_0004	sample_340	5.0
feature_0004	sample_294	1.0
feature_0004	sample_396	2.0
feature_0004	sample_011	1.0
feature_0004	sample_449	1.0
feature_0004	sample_326	1.0
feature_0004	sample_135	1.0
feature_0004	sample_314	1.0
feature_0004	sample_052	2536.0
feature_0004	sample_005	1918.0
feature_0004	sample_252	295.0
feature_0004	sample_496	669.0
feature_0004	sample_189	35.0
feature_0004	sample_434	22.0
feature_0004	sample_102	3.0
feature_0004	sample_315	3.0
feature_0004	sample_167	7.0
feature_0004	sample_081	8.0
feature_0004	sample_053	1.0
feature_0004	sample_141	3.0
feature_0004	sample_110	3.0
feature_0004	sample_329	6.0
feature_0004	sample_330	1.0
feature_0004	sample_320	2.0
feature_0004	sample_361	2.0
feature_0004	sample_041	1.0
feature_0004	sample_399	5.0
feature_0004	sample_497	1.0
feature_0004	sample_190	1.0
feature_0005	sample_390	36.0
feature_0005	sample_433	141.0
feature_0005	sample_136	140.0
feature_0005	sample_447	1158.0
feature_0005	sample_020	515.0
feature_0005	sample_472	205.0
feature_0005	sample_506	538.0
feature_0005	sample_522	25.0
feature_0005	sample_240	23.0
feature_0005	sample_410	160.0
feature_0005	sample_187	213.0
feature_0005	sample_042	277.0
feature_0005	sample_366	90.0
feature_0005	sample_116	36.0
feature_0005	sample_500	6.0
feature_0005	sample_375	177.0
feature_0005	sample_131	4.0
feature_0005	sample_299	49.0
feature_0005	sample_528	830.0
feature_0005	sample_478	302.0
feature_0005	sample_298	140.0
feature_0005	sample_007	195.0
feature_0005	sample_267	454.0
feature_0005	sample_145	3.0
feature_0005	sample_283	3.0
feature_0005	sample_161	55.0
feature_0005	sample_344	2.0
feature_0005	sample_002	21.0
feature_0005	sample_318	14.0
feature_0005	sample_324	59.0
feature_0005	sample_109	411.0
feature_0005	sample_134	376.0
feature_0005	sample_026	234.0
feature_0005	sample_394	129.0
feature_0005	sample_421	175.0
feature_0005	sample_503	76.0
feature_0005	sample_249	26.0
feature_0005	sample_451	309.0
feature_0005	sample_089	776.0
feature_0005	sample_524	234.0
feature_0005	sample_392	83.0
feature_0005	sample_513	969.0
feature_0005	sample_060	394.0
feature_0005	sample_185	877.0
feature_0005	sample_106	101.0
feature_0005	sample_221	542.0
feature_0005	sample_467	78.0
feature_0005	sample_056	767.0
feature_0005	sample_253	530.0
feature_0005	sample_300	897.0
feature_0005	sample_193	999.0
feature_0005	sample_474	471.0
feature_0005	sample_446	771.0
feature_0005	sample_307	529.0
feature_0005	sample_466	660.0
feature_0005	sample_518	691.0
feature_0005	sample_044	828.0
feature_0005	sample_184	2069.0
feature_0005	sample_462	151.0
feature_0005	sample_436	1219.0
feature_0005	sample_477	857.0
feature_0005	sample_125	757.0
feature_0005	sample_072	968.0
feature_0005	sample_491	431.0
feature_0005	sample_254	273.0
feature_0005	sample_426	1150.0
feature_0005	sample_046	854.0
feature_0005	sample_376	524.0
feature_0005	sample_338	680.0
feature_0005	sample_347	1389.0
feature_0005	sample_154	1028.0
feature_0005	sample_199	552.0
feature_0005	sample_070	329.0
feature_0005	sample_092	325.0
feature_0005	sample_319	15.0
feature_0005	sample_262	194.0
feature_0005	sample_144	263.0
feature_0005	sample_411	10.0
feature_0005	sample_207	130.0
feature_0005	sample_290	594.0
feature_0005	sample_195	2428.0
feature_0005	sample_196	1280.0
feature_0005	sample_325	53.0
feature_0005	sample_018	3.0
feature_0005	sample_040	1.0
feature_0005	sample_212	1645.0
feature_0005	sample_268	156.0
feature_0005	sample_248	622.0
feature_0005	sample_213	154.0
feature_0005	sample_059	221.0
feature_0005	sample_197	38.0
feature_0005	sample_280	839.0
feature_0005	sample_287	275.0
feature_0005	sample_150	454.0
feature_0005	sample_464	291.0
feature_0005	sample_012	259.0
feature_0005	sample_126	264.0
feature_0005	sample_084	5.0
feature_0005	sample_151	885.0
feature_0005	sample_243	1008.0
feature_0005	sample_492	104.0
feature_0005	sample_306	434.0
feature_0005	sample_510	542.0
feature_0005	sample_475	301.0
feature_0005	sample_245	374.0
feature_0005	sample_173	246.0
feature_0005	sample_039	163.0
feature_0005	sample_428	3.0
feature_0005	sample_407	156.0
feature_0005	sample_215	1.0
feature_0005	sample_400	26.0
feature_0005	sample_373	125.0
feature_0005	sample_130	13.0
feature_0005	sample_425	4.0
feature_0005	sample_271	3.0
feature_0005	sample_162	822.0
feature_0005	sample_285	624.0
feature_0005	sample_494	131.0
feature_0005	sample_409	729.0
feature_0005	sample_067	453.0
feature_0005	sample_082	1.0
feature_0005	sample_381	398.0
feature_0005	sample_511	46.0
feature_0005	sample_417	1139.0
feature_0005	sample_076	13.0
feature_0005	sample_507	590.0
feature_0005	sample_177	292.0
feature_0005	sample_113	432.0
feature_0005	sample_527	222.0
feature_0005	sample_490	439.0
feature_0005	sample_386	367.0
feature_0005	sample_362	232.0
feature_0005	sample_255	580.0
feature_0005	sample_191	596.0
feature_0005	sample_370	369.0
feature_0005	sample_442	216.0
feature_0005	sample_512	100.0
feature_0005	sample_168	134.0
feature_0005	sample_132	71.0
feature_0005	sample_128	1.0
feature_0005	sample_048	1.0
feature_0005	sample_138	1.0
feature_0005	sample_066	2.0
feature_0005	sample_274	1.0
feature_0005	sample_431	1.0
feature_0005	sample_259	2.0
feature_0005	sample_377	3.0
feature_0005	sample_087	2.0
feature_0005	sample_355	3799.0
feature_0005	sample_441	5371.0
feature_0005	sample_025	3806.0
feature_0005	sample_482	1174.0
feature_0005	sample_343	1.0
feature_0005	sample_063	3136.0
feature_0005	sample_083	5.0
feature_0005	sample_293	4.0
feature_0005	sample_531	889.0
feature_0005	sample_471	11.0
feature_0005	sample_033	175.0
feature_0005	sample_455	2439.0
feature_0005	sample_439	3328.0
feature_0005	sample_105	1900.0
feature_0005	sample_257	879.0
feature_0005	sample_228	270.0
feature_0005	sample_180	866.0
feature_0005	sample_305	23.0
feature_0005	sample_013	1560.0
feature_0005	sample_008	2558.0
feature_0005	sample_071	114.0
feature_0005	sample_211	1555.0
feature_0005	sample_452	1680.0
feature_0005	sample_030	1655.0
feature_0005	sample_525	2994.0
feature_0005	sample_047	1155.0
feature_0005	sample_445	1868.0
feature_0005	sample_444	1932.0
feature_0005	sample_341	517.0
feature_0005	sample_360	207.0
feature_0005	sample_465	108.0
feature_0005	sample_178	567.0
feature_0005	sample_266	38.0
feature_0005	sample_171	608.0
feature_0005	sample_186	648.0
feature_0005	sample_192	874.0
feature_0005	sample_517	1.0
feature_0005	sample_094	337.0
feature_0005	sample_346	37.0
feature_0005	sample_363	1381.0
feature_0005	sample_019	284.0
feature_0005	sample_198	274.0
feature_0005	sample_114	742.0
feature_0005	sample_382	1.0
feature_0005	sample_022	35.0
feature_0005	sample_273	276.0
feature_0005	sample_050	456.0
feature_0005	sample_276	423.0
feature_0005	sample_055	803.0
feature_0005	sample_371	556.0
feature_0005	sample_384	570.0
feature_0005	sample_023	501.0
feature_0005	sample_526	767.0
feature_0005	sample_237	184.0
feature_0005	sample_501	1182.0
feature_0005	sample_238	27.0
feature_0005	sample_479	6.0
feature_0005	sample_124	2220.0
feature_0005	sample_322	717.0
feature_0005	sample_521	141.0
feature_0005	sample_231	2008.0
feature_0005	sample_111	653.0
feature_0005	sample_311	1038.0
feature_0005	sample_420	1351.0
feature_0005	sample_463	35.0
feature_0005	sample_156	344.0
feature_0005	sample_157	250.0
feature_0005	sample_486	765.0
feature_0005	sample_514	728.0
feature_0005	sample_090	1332.0
feature_0005	sample_310	977.0
feature_0005	sample_183	1108.0
feature_0005	sample_176	163.0
feature_0005	sample_164	929.0
feature_0005	sample_348	75.0
feature_0005	sample_223	371.0
feature_0005	sample_395	976.0
feature_0005	sample_085	1204.0
feature_0005	sample_470	542.0
feature_0005	sample_088	1635.0
feature_0005	sample_323	13.0
feature_0005	sample_103	20.0
feature_0005	sample_372	719.0
feature_0005	sample_246	901.0
feature_0005	sample_505	8.0
feature_0005	sample_024	567.0
feature_0005	sample_078	573.0
feature_0005	sample_337	223.0
feature_0005	sample_351	628.0
feature_0005	sample_159	152.0
feature_0005	sample_121	409.0
feature_0005	sample_339	809.0
feature_0005	sample_155	646.0
feature_0005	sample_133	590.0
feature_0005	sample_422	1398.0
feature_0005	sample_302	1287.0
feature_0005	sample_256	647.0
feature_0005	sample_035	637.0
feature_0005	sample_222	518.0
feature_0005	sample_241	1146.0
feature_0005	sample_021	1.0
feature_0005	sample_079	2.0
feature_0005	sample_098	49.0
feature_0005	sample_430	134.0
feature_0005	sample_493	283.0
feature_0005	sample_118	242.0
feature_0005	sample_216	239.0
feature_0005	sample_148	219.0
feature_0005	sample_450	1817.0
feature_0005	sample_117	14.0
feature_0005	sample_401	52.0
feature_0005	sample_334	143.0
feature_0005	sample_123	125.0
feature_0005	sample_480	413.0
feature_0005	sample_122	385.0
feature_0005	sample_516	5.0
feature_0005	sample_129	690.0
feature_0005	sample_229	616.0
feature_0005	sample_074	349.0
feature_0005	sample_383	675.0
feature_0005	sample_295	481.0
feature_0005	sample_418	452.0
feature_0005	sample_391	71.0
feature_0005	sample_485	645.0
feature_0005	sample_112	301.0
feature_0005	sample_015	175.0
feature_0005	sample_010	470.0
feature_0005	sample_182	177.0
feature_0005	sample_172	493.0
feature_0005	sample_297	154.0
feature_0005	sample_453	183.0
feature_0005	sample_264	501.0
feature_0005	sample_473	740.0
feature_0005	sample_166	971.0
