c01_depth_sed_m_merged	c02_age_ka_bp_1_see_reference_s	c03_age_ka_bp_2_see_reference_s	c04_c_wuellerstorfi_18o_pdb_vs_vpdb_analytical_error_0
0.78	47.61	47.61	3.49
0.79	48.02	48.02	3.63
0.80	48.42	48.42	3.65
0.81	48.83	48.83	3.54
0.82	49.23	49.23	3.59
0.83	49.61	49.61	3.60
0.84	49.97	49.97	3.54
0.85	50.34	50.34	3.60
0.86	50.70	50.70	3.61
0.87	51.07	51.07	3.45
0.88	51.43	51.43	3.35
0.89	51.79	51.79	3.62
0.90	52.16	52.16	3.50
0.91	52.52	52.52	3.46
0.92	52.88	52.88	3.60
0.93	53.25	53.25	3.50
0.94	53.61	53.61	3.55
0.95	53.97	53.97	3.60
0.96	54.34	54.34	3.56
0.97	54.70	54.70	3.47
0.98	55.07	55.07	3.46
0.99	55.43	55.43	3.42
1.00	55.79	55.79	3.49
1.01	56.16	56.16	3.50
1.02	56.52	56.52	3.61
1.03	56.88	56.88	3.58
1.04	57.41	57.41	3.63
1.05	58.02	58.02	3.33
1.06	58.62	58.62	3.63
1.07	59.23	59.23	3.40
1.08	60.04	60.04	3.64
1.09	61.05	61.05	3.56
1.10	62.06	62.06	3.60
1.11	63.07	63.07	3.44
1.12	64.08	64.08	3.17
1.13	65.09	65.09	3.40
1.14	66.10	66.10	3.46
1.15	67.11	67.11	3.58
1.16	68.12	68.12	3.56
1.17	69.13	69.13	3.61
1.18	70.14	70.14	3.32
1.19	71.15	71.15	3.35
1.20	72.16	72.16	3.50
1.21	72.78	72.78	3.35
1.22	73.39	73.39	3.44
1.23	73.78	73.78	3.41
1.24	74.15	74.15	3.31
1.25	74.51	74.51	3.30
1.26	74.87	74.87	3.23
1.27	75.24	75.24	3.12
1.28	75.60	75.60	3.25
1.29	75.96	75.96	3.45
1.30	76.33	76.33	3.39
1.31	76.69	76.69	3.33
1.32	77.06	77.06	3.31
1.33	77.42	77.42	3.57
1.34	77.78	77.78	3.39
1.35	78.15	78.15	3.44
1.36	78.51	78.51	3.41
1.37	78.87	78.87	3.04
1.38	79.24	79.24	3.38
1.39	79.60	79.60	3.04
1.40	79.96	79.96	3.12
1.41	80.33	80.33	3.24
1.42	80.69	80.69	2.87
1.43	81.06	81.06	3.07
1.44	81.30	81.30	3.02
1.45	81.54	81.54	3.03
1.46	81.79	81.79	2.78
1.47	82.03	82.03	2.98
1.48	82.27	82.27	2.87
1.49	82.51	82.51	2.91
1.50	82.76	82.76	2.96
1.51	83.00	83.00	3.08
1.52	83.24	83.24	2.80
1.53	83.48	83.48	3.03
1.54	83.73	83.73	2.78
1.55	83.97	83.97	3.16
1.56	84.21	84.21	2.96
1.57	84.45	84.45	2.82
1.58	84.70	84.70	2.93
1.59	84.94	84.94	3.19
1.60	85.18	85.18	2.98
1.61	85.42	85.42	3.13
1.62	85.67	85.67	3.05
1.63	85.91	85.91	2.83
1.64	86.19	86.19	3.22
1.65	86.94	86.94	
1.66	87.70	87.70	3.18
1.67	88.46	88.46	
1.68	89.22	89.22	
1.69	89.97	89.97	3.01
1.70	90.73	90.73	
1.71	91.49	91.49	
1.72	92.25	92.25	3.09
1.73	92.90	92.90	3.00
1.74	93.50	93.50	2.98
1.75	93.98	93.98	3.05
1.76	94.39	94.39	2.88
1.77	94.79	94.79	2.94
1.78	95.20	95.20	2.83
1.79	95.60	95.60	2.78
1.80	96.00	96.00	2.71
1.81	96.48	96.48	2.89
1.82	97.08	97.08	2.74
1.83	97.69	97.69	2.77
1.84	98.30	98.30	2.98
1.85	98.95	98.95	2.97
1.86	99.86	99.86	2.79
1.87	100.77	100.77	
1.88	101.68	101.68	2.90
1.89	102.89	102.89	
1.90	104.10	104.10	3.25
1.91	105.62	105.62	
1.92	107.13	107.13	3.12
1.93	108.65	108.65	2.95
1.94	110.16	110.16	3.23
1.95	111.68	111.68	3.12
1.96	113.19	113.19	3.25
1.97	114.71	114.71	3.04
1.98	115.48	115.48	
1.99	116.26	116.26	3.02
2.00	116.73	116.73	3.05
2.01	117.09	117.09	2.78
2.02	117.46	117.46	2.83
2.03	117.82	117.82	3.02
2.04	118.18	118.18	3.16
2.05	118.55	118.55	2.91
2.06	118.91	118.91	
2.07	119.28	119.28	2.89
2.08	119.64	119.64	3.03
2.09	120.00	120.00	2.95
2.10	120.36	120.36	2.77
2.11	120.60	120.60	2.79
2.12	120.84	120.84	2.68
2.13	121.08	121.08	2.49
2.14	121.33	121.33	2.55
2.15	121.57	121.57	2.50
2.16	121.81	121.81	2.40
2.17	122.05	122.05	2.41
2.18	122.30	122.30	2.37
2.19	122.54	122.54	2.89
2.20	122.78	122.78	2.82
2.21	123.16	123.16	2.13
2.22	123.61	123.61	2.93
2.23	124.07	124.07	2.64
2.24	124.52	124.52	2.56
2.25	124.98	124.98	
2.26	125.43	125.43	2.70
2.27	125.89	125.89	3.25
2.28	126.34	126.34	2.25
2.29	126.79	126.79	2.69
2.30	127.25	127.25	3.98
2.31	127.70	127.70	
2.32	128.16	128.16	3.35
2.33	128.61	128.61	3.23
2.34	129.07	129.07	3.29
2.35	129.52	129.52	3.42
2.36	129.98	129.98	3.07
2.37	130.43	130.43	3.55
2.38	130.84	130.84	
2.39	131.24	131.24	3.83
2.40	131.65	131.65	3.68
2.41	132.05	132.05	3.73
2.42	132.46	132.46	3.89
2.43	132.86	132.86	3.87
2.44	133.39	133.39	3.03
2.45	134.00	134.00	3.91
2.46	134.95	134.95	3.82
2.47	136.16	136.16	3.65
2.48	137.51	137.51	3.67
2.49	139.03	139.03	3.89
2.50	140.54	140.54	3.73
2.51	142.06	142.06	3.67
2.52	143.57	143.57	3.68
2.53	145.09	145.09	3.73
2.54	146.60	146.60	3.67
2.55	148.12	148.12	3.77
2.56	149.58	149.58	3.73
2.57	150.59	150.59	3.49
2.58	151.60	151.60	3.71
2.59	152.61	152.61	3.69
2.60	153.62	153.62	
2.61	154.63	154.63	3.55
2.62	155.64	155.64	3.66
2.63	156.56	156.56	3.80
2.64	157.47	157.47	3.67
2.65	158.38	158.38	3.73
2.66	159.29	159.29	3.70
2.67	160.13	160.13	3.68
2.68	160.94	160.94	3.76
2.69	161.75	161.75	3.62
2.70	162.56	162.56	3.71
2.71	163.37	163.37	3.75
2.72	164.17	164.17	3.59
2.73	164.90	164.90	3.59
2.74	165.51	165.51	3.51
2.75	166.06	166.06	3.70
2.76	166.46	166.46	3.65
2.77	166.86	166.86	3.62
2.78	167.27	167.27	3.46
2.79	167.67	167.67	3.53
2.80	168.08	168.08	3.55
2.81	168.48	168.48	3.44
2.82	168.88	168.88	3.70
2.83	169.29	169.29	3.33
2.84	169.69	169.69	3.48
2.85	170.10	170.10	3.60
2.86	170.50	170.50	3.47
2.87	170.90	170.90	3.40
2.88	171.27	171.27	
2.89	171.64	171.64	3.21
2.90	172.00	172.00	3.60
2.91	172.37	172.37	3.58
2.92	172.73	172.73	3.42
2.93	173.10	173.10	3.41
2.94	173.46	173.46	3.30
2.95	173.82	173.82	3.42
2.96	174.19	174.19	3.18
2.97	174.55	174.55	3.28
2.98	174.95	174.95	3.47
2.99	175.44	175.44	3.43
3.00	175.92	175.92	3.51
3.01	176.41	176.41	3.42
3.02	176.89	176.89	3.40
3.03	177.38	177.38	3.31
3.04	177.86	177.86	3.38
3.05	178.34	178.34	3.42
3.06	178.83	178.83	3.53
3.07	179.31	179.31	3.43
3.08	179.80	179.80	3.44
3.09	180.39	180.39	3.43
3.10	180.99	180.99	3.47
3.11	181.72	181.72	3.47
3.12	182.47	182.47	3.49
3.13	183.23	183.23	3.24
3.14	183.99	183.99	3.37
3.15	184.75	184.75	3.41
3.16	185.51	185.51	3.51
3.17	186.26	186.26	3.60
3.18	187.02	187.02	3.51
3.19	187.72	187.72	3.59
3.21	188.88	188.88	3.44
3.22	189.33	189.33	3.37
3.23	189.79	189.79	3.53
3.24	190.24	190.24	
3.25	190.70	190.70	3.22
3.26	191.15	191.15	2.96
3.27	191.61	191.61	3.42
3.28	192.06	192.06	3.29
3.29	192.52	192.52	3.17
3.30	193.26	193.26	3.19
3.31	194.02	194.02	3.05
3.32	194.78	194.78	3.08
3.33	195.53	195.53	3.18
3.34	196.29	196.29	3.22
3.35	197.05	197.05	
3.36	197.81	197.81	3.88
3.37	198.56	198.56	2.87
3.38	199.23	199.23	2.72
3.39	199.84	199.84	2.68
3.40	200.44	200.44	2.90
3.41	201.05	201.05	2.58
3.42	201.74	201.74	2.98
3.43	202.55	202.55	2.81
3.44	203.36	203.36	
3.45	204.16	204.16	3.03
3.46	204.97	204.97	3.64
3.47	205.78	205.78	2.91
3.48	206.56	206.56	2.72
3.49	207.16	207.16	2.77
3.50	207.76	207.76	2.67
3.51	208.16	208.16	2.82
3.52	208.57	208.57	2.80
3.53	208.97	208.97	2.75
3.54	209.37	209.37	2.75
3.55	209.78	209.78	2.83
3.56	210.18	210.18	3.34
3.57	210.59	210.59	3.06
3.58	210.99	210.99	3.04
3.59	211.39	211.39	2.94
3.60	211.80	211.80	2.68
3.61	212.20	212.20	3.04
3.62	212.61	212.61	2.84
3.63	212.99	212.99	3.05
3.64	213.35	213.35	2.60
3.65	213.72	213.72	2.75
3.66	214.08	214.08	2.92
3.67	214.44	214.44	3.06
3.68	214.81	214.81	2.97
3.69	215.17	215.17	
3.70	215.54	215.54	2.96
3.71	215.90	215.90	3.54
3.72	216.26	216.26	2.68
3.73	216.62	216.62	2.69
3.74	216.86	216.86	2.59
3.75	217.10	217.10	3.07
3.76	217.34	217.34	2.76
3.77	217.59	217.59	3.48
3.78	217.83	217.83	2.67
3.80	218.31	218.31	2.68
3.81	218.56	218.56	3.17
3.82	218.80	218.80	3.18
3.83	219.04	219.04	3.29
3.84	219.38	219.38	3.22
3.85	219.79	219.79	2.97
3.86	220.19	220.19	3.02
3.87	220.60	220.60	3.33
3.88	221.00	221.00	3.35
3.89	221.40	221.40	3.03
3.90	221.88	221.88	3.24
3.91	222.49	222.49	3.42
3.92	223.25	223.25	3.61
3.93	224.46	224.46	3.06
3.94	225.72	225.72	3.46
3.95	227.24	227.24	3.57
3.96	228.76	228.76	3.32
3.97	230.27	230.27	3.53
3.98	231.79	231.79	3.42
3.99	233.00	233.00	3.29
4.00	234.21	234.21	3.35
4.01	234.88	234.88	3.37
4.02	235.49	235.49	3.38
4.03	235.85	235.85	2.98
4.04	236.15	236.15	3.09
4.05	236.45	236.45	2.81
4.06	236.76	236.76	2.98
4.07	237.06	237.06	3.05
4.08	237.36	237.36	3.02
4.09	237.66	237.66	3.03
4.10	237.97	237.97	3.08
4.11	238.24	238.24	2.76
4.12	238.49	238.49	3.02
4.13	238.73	238.73	3.16
4.14	238.97	238.97	2.79
4.15	239.21	239.21	2.80
4.16	239.45	239.45	
4.17	239.70	239.70	2.46
4.18	239.94	239.94	2.65
4.19	240.18	240.18	2.78
4.20	240.41	240.41	
4.22	240.87	240.87	2.76
4.23	241.07	241.07	2.97
4.24	241.27	241.27	3.21
4.25	241.48	241.48	2.81
4.26	241.68	241.68	2.65
4.27	241.88	241.88	3.42
4.28	242.11	242.11	3.04
4.29	242.35	242.35	3.51
4.30	242.60	242.60	2.90
4.31	242.84	242.84	3.41
4.32	243.08	243.08	2.74
4.33	243.69	243.69	3.51
4.34	244.30	244.30	3.43
4.35	244.90	244.90	3.66
4.36	245.51	245.51	3.55
4.37	246.12	246.12	3.65
4.38	246.98	246.98	3.67
4.39	248.50	248.50	3.71
4.40	250.10	250.10	3.74
4.41	252.00	252.00	3.86
4.42	252.51	252.51	3.70
4.43	253.03	253.03	3.60
4.44	253.54	253.54	3.82
4.45	254.06	254.06	3.45
4.46	254.57	254.57	3.69
4.47	255.08	255.08	3.69
4.48	255.60	255.60	3.77
4.49	256.20	256.20	3.59
4.50	256.82	256.82	3.69
4.51	257.43	257.43	3.56
4.52	258.05	258.05	3.21
4.53	258.71	258.71	3.60
4.54	259.40	259.40	3.63
4.55	260.08	260.08	3.68
4.56	260.77	260.77	3.56
4.57	261.45	261.45	3.54
4.58	262.14	262.14	3.63
4.59	262.82	262.82	3.66
4.60	263.51	263.51	3.71
4.61	264.20	264.20	3.48
4.62	264.88	264.88	3.76
4.63	265.57	265.57	3.62
4.64	266.25	266.25	3.52
4.65	266.94	266.94	3.62
4.66	267.62	267.62	3.64
4.67	268.31	268.31	3.73
4.68	269.00	269.00	3.77
4.69	269.68	269.68	3.73
4.70	270.37	270.37	3.74
4.71	271.05	271.05	3.60
4.72	271.74	271.74	3.88
4.73	272.42	272.42	3.79
4.74	273.11	273.11	3.77
4.75	273.79	273.79	3.69
4.76	274.48	274.48	3.82
4.77	275.17	275.17	3.77
4.78	275.69	275.69	3.86
4.79	276.11	276.11	3.83
4.80	276.45	276.45	3.35
4.81	276.73	276.73	3.58
4.82	277.00	277.00	3.94
4.83	278.17	278.17	3.50
4.84	279.34	279.34	3.36
4.85	280.51	280.51	3.45
4.86	281.59	281.59	3.41
4.87	282.29	282.29	3.04
4.88	282.99	282.99	3.15
4.89	283.69	283.69	2.90
4.90	284.40	284.40	3.19
4.91	285.10	285.10	3.08
4.92	286.51	286.51	3.04
4.93	286.75	286.75	
4.94	286.99	286.99	3.11
4.95	287.23	287.23	3.27
4.96	287.48	287.48	3.65
4.97	287.76	287.76	3.32
4.98	288.07	288.07	3.17
4.99	288.37	288.37	2.99
5.00	288.67	288.67	3.21
5.01	289.06	289.06	3.34
5.02	289.52	289.52	3.07
5.03	289.97	289.97	3.40
5.04	290.43	290.43	3.17
5.05	290.88	290.88	3.37
5.06	291.34	291.34	3.09
5.07	291.79	291.79	3.45
5.08	292.25	292.25	3.40
5.09	292.70	292.70	3.40
5.10	293.16	293.16	3.42
5.11	293.61	293.61	3.57
5.12	294.06	294.06	3.42
5.13	294.52	294.52	3.40
5.14	294.97	294.97	3.47
5.15	295.43	295.43	2.98
5.16	295.88	295.88	3.40
5.17	296.34	296.34	3.21
5.18	296.79	296.79	3.50
5.19	297.25	297.25	3.38
5.20	297.70	297.70	3.47
5.21	298.16	298.16	3.68
5.22	298.61	298.61	3.26
5.23	299.06	299.06	3.15
5.24	299.52	299.52	3.20
5.25	299.97	299.97	3.15
5.26	300.50	300.50	3.13
5.27	301.11	301.11	3.11
5.28	301.88	301.88	3.09
5.29	302.89	302.89	3.28
5.30	303.90	303.90	3.25
5.31	304.91	304.91	3.28
5.32	305.92	305.92	3.34
5.33	306.93	306.93	3.17
5.34	307.89	307.89	3.15
5.35	308.49	308.49	3.10
5.36	309.09	309.09	3.13
5.37	309.54	309.54	3.02
5.38	310.00	310.00	3.14
5.39	310.45	310.45	3.01
5.40	310.91	310.91	2.99
5.41	311.36	311.36	2.92
5.42	311.82	311.82	2.99
5.43	312.27	312.27	2.90
5.44	312.73	312.73	2.96
5.45	313.15	313.15	2.87
5.46	313.55	313.55	2.87
5.47	313.95	313.95	3.00
5.48	314.36	314.36	2.94
5.49	314.76	314.76	2.97
5.50	315.17	315.17	2.89
5.51	315.66	315.66	2.68
5.52	316.26	316.26	2.73
5.53	317.17	317.17	3.53
5.54	318.68	318.68	2.82
5.55	320.20	320.20	2.79
5.56	321.71	321.71	2.85
5.57	323.09	323.09	2.96
5.58	323.70	323.70	2.72
5.59	324.29	324.29	2.69
5.60	324.70	324.70	2.63
5.61	325.10	325.10	2.71
5.62	325.50	325.50	2.32
5.63	325.91	325.91	2.62
5.64	326.31	326.31	2.62
5.65	326.72	326.72	2.39
5.66	327.12	327.12	3.24
5.67	327.52	327.52	2.40
5.68	327.93	327.93	
5.69	328.33	328.33	2.38
5.70	328.74	328.74	2.67
5.71	329.14	329.14	2.88
5.72	329.57	329.57	2.36
5.73	330.02	330.02	3.02
5.74	330.48	330.48	2.41
5.75	330.93	330.93	2.86
5.76	331.39	331.39	2.43
5.77	331.84	331.84	
5.78	332.15	332.15	
5.79	332.75	332.75	2.73
5.80	333.23	333.23	3.12
5.81	333.84	333.84	3.39
5.82	334.44	334.44	3.20
5.83	335.05	335.05	3.63
5.84	335.66	335.66	3.39
5.85	336.14	336.14	3.93
5.86	336.63	336.63	3.00
5.87	337.11	337.11	3.76
5.88	337.60	337.60	3.85
5.89	338.08	338.08	3.91
5.90	338.57	338.57	3.55
5.91	339.05	339.05	3.76
5.92	339.54	339.54	3.93
5.93	340.02	340.02	3.97
5.94	340.51	340.51	3.69
5.95	341.06	341.06	3.96
5.96	341.66	341.66	3.83
5.97	342.20	342.20	3.73
5.98	342.66	342.66	3.78
5.99	343.11	343.11	3.87
6.00	343.56	343.56	3.90
6.01	344.02	344.02	3.85
6.02	344.47	344.47	3.68
6.03	344.93	344.93	3.81
6.04	345.38	345.38	3.82
6.05	345.83	345.83	3.89
6.06	346.19	346.19	3.80
6.07	346.56	346.56	3.79
6.08	346.92	346.92	3.61
6.09	347.28	347.28	3.61
6.10	347.65	347.65	3.76
6.11	348.01	348.01	3.74
6.12	348.38	348.38	3.84
6.13	348.74	348.74	
6.14	349.10	349.10	3.78
6.15	349.47	349.47	3.83
6.16	349.83	349.83	3.80
6.17	350.19	350.19	3.89
6.18	350.56	350.56	3.76
6.19	350.92	350.92	3.88
6.20	351.28	351.28	3.88
6.21	351.65	351.65	3.91
6.22	352.01	352.01	3.82
6.23	352.38	352.38	3.79
6.24	352.74	352.74	3.62
6.25	353.12	353.12	
6.26	353.51	353.51	3.44
6.27	354.12	354.12	3.56
6.28	354.83	354.83	3.33
6.29	356.65	356.65	3.72
6.30	359.18	359.18	3.54
