tracked_unit_id	animal_id	condition	repeated_environment_stability_1	repeated_environment_stability_2	new_environment_stability_1	new_environment_stability_2	new_environment_stability_3	between_repeated_environment_stability	repeated_environment_change	novel_vs_repeated_change
tracked_unit_027	animal_06	reference	0.7938293631936204	0.6498247603447271	0.5312299378581467	0.7353306908913108	0.7371223595167196	0.23306866929609726	-0.14400460284889327	-0.26259942533547376
tracked_unit_029	animal_06	reference	0.6880417892663132	0.5693503907682073	0.4834070213113089	0.5708155072246731	0.6724964939014586	0.0393898653880873	-0.11869139849810595	-0.2046347679550043
tracked_unit_031	animal_06	reference	0.7773131282462049	0.8004800165227791	0.7212866109096379	0.7734207326200989	0.7663242967587925	0.030817211556856364	0.023166888276574205	-0.05602651733656705
tracked_unit_033	animal_06	reference	0.8545364751544224	0.7235448478175573	0.7049960432187732	0.6092600957307134	0.6327619460227828	-0.19464490092377296	-0.1309916273368651	-0.14954043193564925
tracked_unit_035	animal_07	matrix_perturbed	0.4740014425113203	0.4974713265301883	0.2136801916381832	0.1536504513097504	0.17292257239587921	0.5815722897849548	0.02346988401886796	-0.2603212508731371
tracked_unit_037	animal_08	matrix_perturbed	0.6902819671214457	0.3113098465607929	0.12870122983417703	0.49901022667513706	0.2459232756135596	-0.04379522257069763	-0.3789721205606528	-0.5615807372872688
tracked_unit_039	animal_08	matrix_perturbed	0.7739389845550907	0.6486105134906419	0.4375118253143548	0.37268482082501647	0.5746937572991105	0.8428061648857306	-0.12532847106444878	-0.3364271592407359
tracked_unit_041	animal_08	matrix_perturbed	0.6130006784308271	0.316938937881237	0.24749061001929037	0.35763574954842997	0.36237689804391277	0.6920786578853797	-0.29606174054959006	-0.36551006841153666
tracked_unit_043	animal_08	matrix_perturbed	0.5249488271091631	0.5943408428237112	0.35913825977103636	0.4824671227486566	0.41934945099943444	0.7036469280644954	0.06939201571454812	-0.16581056733812677
tracked_unit_045	animal_09	matrix_perturbed	0.5615070451812769	0.6608571221668378	0.8768492810795122	0.6028660981027819	0.649282261132419	0.6412435196084544	0.09935007698556086	0.3153422358982353
tracked_unit_047	animal_09	matrix_perturbed	0.6895655480415864	0.5859762919908453	0.4086965459474523	0.6198505374113354	0.3331580988518908	-0.10804304895483384	-0.1035892560507411	-0.2808690020941341
tracked_unit_049	animal_09	matrix_perturbed	0.7148445427359953	0.5647437411927574	0.8266092891810071	0.6333249819365233	0.7249208676335551	0.6803193095220061	-0.1501008015432379	0.11176474644501178
tracked_unit_051	animal_10	matrix_perturbed	0.762821006123598	0.7574395069013717	0.4545487796692874	0.654750521934575	0.5256263216123654	0.8280828256136364	-0.005381499222226305	-0.3082722264543106
tracked_unit_053	animal_13	reference	0.39412250698470275	0.5398652705523803	0.38625293959520995	0.45773670017117407	0.2699542370028326	0.2962298739413349	0.14574276356767757	-0.007869567389492793
tracked_unit_055	animal_13	reference	0.706899295092462	0.9003061233508327	0.7674306620012952	0.8609944289488124	0.9043395411565934	0.9146668170913167	0.19340682825837074	0.060531366908833206
tracked_unit_057	animal_13	reference	0.6669582521364563	0.7258632370339319	0.5281456285239663	0.6371647991940097	0.6002622649942067	0.8280365487535315	0.05890498489747553	-0.13881262361249003
tracked_unit_059	animal_13	reference	0.7541140461273951	0.766730961159607	0.7612746399228912	0.7720804472324061	0.8812664736752915	0.8362478046418441	0.012616915032211962	0.007160593795496162
tracked_unit_061	animal_13	reference	0.6124425439361071	0.8669389894578153	0.5426168276966902	0.7891068599813899	0.8685213546907795	0.8644183666524645	0.25449644552170825	-0.06982571623941691
tracked_unit_063	animal_13	reference	0.6707817058022274	0.7887405726037623	0.4622158979397684	0.3543472085001455	0.7113003342353804	0.8455989365404188	0.11795886680153489	-0.20856580786245899
