formulation_id	delay_ps	normalized_transient_signal
formulation_1	1.96835	0.53339
formulation_2	1.96835	0.70815
formulation_1	2.10166	0.59828
formulation_2	2.10166	0.70305
formulation_1	2.24169	0.67048
formulation_2	2.24169	1.00077
formulation_1	2.38964	0.59128
formulation_2	2.38964	0.9398
formulation_1	2.54701	0.50519
formulation_2	2.54701	0.80985
formulation_1	2.71232	0.46468
formulation_2	2.71232	0.91716
formulation_1	2.88835	0.53658
formulation_2	2.88835	0.79159
formulation_1	3.07365	0.41734
formulation_2	3.07365	0.75557
formulation_1	3.26967	0.41704
formulation_2	3.26967	0.72382
formulation_1	3.47632	0.50049
formulation_2	3.47632	0.71407
formulation_1	3.69498	0.37498
formulation_2	3.69498	0.8281
formulation_1	3.92702	0.32182
formulation_2	3.92702	0.75405
formulation_1	4.17101	0.31155
formulation_2	4.17101	0.90143
formulation_1	4.42964	0.29299
formulation_2	4.42964	0.64257
formulation_1	4.70298	0.38531
formulation_2	4.70298	0.85465
formulation_1	4.99234	0.22727
formulation_2	4.99234	0.52371
formulation_1	5.29899	0.3219
formulation_2	5.29899	0.60278
formulation_1	5.62166	0.31058
formulation_2	5.62166	0.61428
formulation_1	5.963	0.24628
formulation_2	5.963	0.83739
formulation_1	6.32433	0.20825
formulation_2	6.32433	0.60034
formulation_1	6.70702	0.24807
formulation_2	6.70702	0.6307
formulation_1	7.11102	0.23316
formulation_2	7.11102	0.43873
formulation_1	7.53765	0.24856
formulation_2	7.53765	0.64249
formulation_1	7.98835	0.18833
formulation_2	7.98835	0.57577
formulation_1	8.46564	0.16615
formulation_2	8.46564	0.454
formulation_1	8.97101	0.14464
formulation_2	8.97101	0.51746
formulation_1	9.50431	0.20564
formulation_2	9.50431	0.53162
formulation_1	10.0683	0.18521
formulation_2	10.0683	0.46002
formulation_1	10.6643	0.20388
formulation_2	10.6643	0.54453
formulation_1	11.2937	0.2072
formulation_2	11.2937	0.5034
formulation_1	11.9603	0.06887
formulation_2	11.9603	0.296
formulation_1	12.6657	0.13898
formulation_2	12.6657	0.3744
formulation_1	13.4096	0.20644
formulation_2	13.4096	0.62226
formulation_1	14.1977	0.17013
formulation_2	14.1977	0.45463
formulation_1	15.0297	0.09123
formulation_2	15.0297	0.56591
formulation_1	15.9096	0.15248
formulation_2	15.9096	0.3803
formulation_1	16.8403	0.11352
formulation_2	16.8403	0.27096
formulation_1	17.8243	0.04549
formulation_2	17.8243	0.5205
formulation_1	18.8644	0.17465
formulation_2	18.8644	0.43257
formulation_1	19.9643	0.17251
formulation_2	19.9643	0.58508
formulation_1	21.127	0.03909
formulation_2	21.127	0.35559
formulation_1	22.3563	0.05042
formulation_2	22.3563	0.28058
formulation_1	23.655	0.10245
formulation_2	23.655	0.33273
formulation_1	25.0297	0.07525
formulation_2	25.0297	0.24405
formulation_1	26.4816	0.01462
formulation_2	26.4816	0.18307
formulation_1	28.0176	0.04329
formulation_2	28.0176	0.30642
formulation_1	29.6403	-0.06111
formulation_2	29.6403	0.18811
formulation_1	31.3576	-0.12039
formulation_2	31.3576	0.37964
formulation_1	33.171	-0.00272
formulation_2	33.171	0.32101
formulation_1	35.0897	-0.1165
formulation_2	35.0897	0.21314
formulation_1	37.1177	-0.10938
formulation_2	37.1177	0.39669
formulation_1	39.263	-0.20972
formulation_2	39.263	0.17292
formulation_1	41.5297	-0.12233
formulation_2	41.5297	0.16266
formulation_1	43.9256	-0.28045
formulation_2	43.9256	0.24567
formulation_1	46.4603	-0.1997
formulation_2	46.4603	0.13056
formulation_1	49.139	-0.25424
formulation_2	49.139	0.11369
formulation_1	51.971	-0.22993
formulation_2	51.971	0.20574
formulation_1	54.9657	-0.29697
formulation_2	54.9657	0.23865
formulation_1	58.131	-0.30461
formulation_2	58.131	-0.01764
formulation_1	61.479	-0.41984
formulation_2	61.479	0.23052
formulation_1	65.015	-0.29874
formulation_2	65.015	0.04767
formulation_1	68.7576	-0.46059
formulation_2	68.7576	0.05592
formulation_1	72.7123	-0.45157
formulation_2	72.7123	0.1616
formulation_1	76.8937	-0.37602
formulation_2	76.8937	0.1403
