measurement_role	wavelength_nm	response_au_or_percent
absorption	398.5	0.881
absorption	399.0	0.882
absorption	399.5	0.885
absorption	400.0	0.887
absorption	400.5	0.89
absorption	401.0	0.892
absorption	401.5	0.89
absorption	402.0	0.888
absorption	402.5	0.884
absorption	403.0	0.879
absorption	403.5	0.878
absorption	404.0	0.877
absorption	404.5	0.879
absorption	405.0	0.88
absorption	405.5	0.882
absorption	406.0	0.882
absorption	406.5	0.883
absorption	407.0	0.886
absorption	407.5	0.89
absorption	408.0	0.893
absorption	408.5	0.891
absorption	409.0	0.888
absorption	409.5	0.881
absorption	410.0	0.878
absorption	410.5	0.875
absorption	411.0	0.874
absorption	411.5	0.875
absorption	412.0	0.877
absorption	412.5	0.88
absorption	413.0	0.883
absorption	413.5	0.883
absorption	414.0	0.882
absorption	414.5	0.881
absorption	415.0	0.879
absorption	415.5	0.877
absorption	416.0	0.876
absorption	416.5	0.873
absorption	417.0	0.873
absorption	417.5	0.873
absorption	418.0	0.873
absorption	418.5	0.873
absorption	419.0	0.874
absorption	419.5	0.876
absorption	420.0	0.876
absorption	420.5	0.877
absorption	421.0	0.876
absorption	421.5	0.874
absorption	422.0	0.872
absorption	422.5	0.871
absorption	423.0	0.87
absorption	423.5	0.87
absorption	424.0	0.869
absorption	424.5	0.869
absorption	425.0	0.867
absorption	425.5	0.868
absorption	426.0	0.871
absorption	426.5	0.873
absorption	427.0	0.875
absorption	427.5	0.875
absorption	428.0	0.874
absorption	428.5	0.873
absorption	429.0	0.872
absorption	429.5	0.872
absorption	430.0	0.873
absorption	430.5	0.872
absorption	431.0	0.872
absorption	431.5	0.87
absorption	432.0	0.868
absorption	432.5	0.867
absorption	433.0	0.867
absorption	433.5	0.867
absorption	434.0	0.867
absorption	434.5	0.868
absorption	435.0	0.868
absorption	435.5	0.867
absorption	436.0	0.868
absorption	436.5	0.867
absorption	437.0	0.867
absorption	437.5	0.866
absorption	438.0	0.865
absorption	438.5	0.865
absorption	439.0	0.866
absorption	439.5	0.868
absorption	440.0	0.87
absorption	440.5	0.87
absorption	441.0	0.868
absorption	441.5	0.864
absorption	442.0	0.863
absorption	442.5	0.862
absorption	443.0	0.863
absorption	443.5	0.864
absorption	444.0	0.865
absorption	444.5	0.865
absorption	445.0	0.867
absorption	445.5	0.868
absorption	446.0	0.87
absorption	446.5	0.87
absorption	447.0	0.868
absorption	447.5	0.865
absorption	448.0	0.863
absorption	448.5	0.862
absorption	449.0	0.862
absorption	449.5	0.862
absorption	450.0	0.861
absorption	450.5	0.86
absorption	451.0	0.858
absorption	451.5	0.86
absorption	452.0	0.86
absorption	452.5	0.86
absorption	453.0	0.86
absorption	453.5	0.86
absorption	454.0	0.86
absorption	454.5	0.861
absorption	455.0	0.859
absorption	455.5	0.856
absorption	456.0	0.854
absorption	456.5	0.854
absorption	457.0	0.856
absorption	457.5	0.859
absorption	458.0	0.861
absorption	458.5	0.86
absorption	459.0	0.86
absorption	459.5	0.859
absorption	460.0	0.858
absorption	460.5	0.859
absorption	461.0	0.859
absorption	461.5	0.858
absorption	462.0	0.86
absorption	462.5	0.86
absorption	463.0	0.861
absorption	463.5	0.861
absorption	464.0	0.862
absorption	464.5	0.861
absorption	465.0	0.861
absorption	465.5	0.861
absorption	466.0	0.86
absorption	466.5	0.859
absorption	467.0	0.859
absorption	467.5	0.858
absorption	468.0	0.858
absorption	468.5	0.861
absorption	469.0	0.861
absorption	469.5	0.863
absorption	470.0	0.863
absorption	470.5	0.863
absorption	471.0	0.863
absorption	471.5	0.863
absorption	472.0	0.863
absorption	472.5	0.862
absorption	473.0	0.863
absorption	473.5	0.863
absorption	474.0	0.864
absorption	474.5	0.865
absorption	475.0	0.864
absorption	475.5	0.864
absorption	476.0	0.861
absorption	476.5	0.861
absorption	477.0	0.859
absorption	477.5	0.859
absorption	478.0	0.859
absorption	478.5	0.859
absorption	479.0	0.859
absorption	479.5	0.86
absorption	480.0	0.861
absorption	480.5	0.862
absorption	481.0	0.862
absorption	481.5	0.861
absorption	482.0	0.861
absorption	482.5	0.859
absorption	483.0	0.858
absorption	483.5	0.857
absorption	484.0	0.857
absorption	484.5	0.86
absorption	485.0	0.862
absorption	485.5	0.865
absorption	486.0	0.865
absorption	486.5	0.864
absorption	487.0	0.861
absorption	487.5	0.858
absorption	488.0	0.856
absorption	488.5	0.856
absorption	489.0	0.856
absorption	489.5	0.857
absorption	490.0	0.856
absorption	490.5	0.856
absorption	491.0	0.854
absorption	491.5	0.854
absorption	492.0	0.855
absorption	492.5	0.854
absorption	493.0	0.854
absorption	493.5	0.854
absorption	494.0	0.853
absorption	494.5	0.854
absorption	495.0	0.854
absorption	495.5	0.852
absorption	496.0	0.851
absorption	496.5	0.85
absorption	497.0	0.849
absorption	497.5	0.851
absorption	498.0	0.851
absorption	498.5	0.852
absorption	499.0	0.851
absorption	499.5	0.85
absorption	500.0	0.85
absorption	500.5	0.85
absorption	501.0	0.851
absorption	501.5	0.851
absorption	502.0	0.851
absorption	502.5	0.851
absorption	503.0	0.851
absorption	503.5	0.851
absorption	504.0	0.85
absorption	504.5	0.849
absorption	505.0	0.849
absorption	505.5	0.849
absorption	506.0	0.849
absorption	506.5	0.849
absorption	507.0	0.848
absorption	507.5	0.848
absorption	508.0	0.849
absorption	508.5	0.85
absorption	509.0	0.85
absorption	509.5	0.85
absorption	510.0	0.848
absorption	510.5	0.847
absorption	511.0	0.847
absorption	511.5	0.848
absorption	512.0	0.848
absorption	512.5	0.847
absorption	513.0	0.845
absorption	513.5	0.843
absorption	514.0	0.842
absorption	514.5	0.841
absorption	515.0	0.84
absorption	515.5	0.838
absorption	516.0	0.836
absorption	516.5	0.835
absorption	517.0	0.834
absorption	517.5	0.832
absorption	518.0	0.831
absorption	518.5	0.829
absorption	519.0	0.827
absorption	519.5	0.827
absorption	520.0	0.826
absorption	520.5	0.824
absorption	521.0	0.821
absorption	521.5	0.817
absorption	522.0	0.814
absorption	522.5	0.809
absorption	523.0	0.806
absorption	523.5	0.804
absorption	524.0	0.803
absorption	524.5	0.802
absorption	525.0	0.8
absorption	525.5	0.796
absorption	526.0	0.793
absorption	526.5	0.79
absorption	527.0	0.784
absorption	527.5	0.779
absorption	528.0	0.775
absorption	528.5	0.77
absorption	529.0	0.767
absorption	529.5	0.763
absorption	530.0	0.758
absorption	530.5	0.754
absorption	531.0	0.748
absorption	531.5	0.742
absorption	532.0	0.737
absorption	532.5	0.731
absorption	533.0	0.727
absorption	533.5	0.723
absorption	534.0	0.719
absorption	534.5	0.715
absorption	535.0	0.711
absorption	535.5	0.705
absorption	536.0	0.701
absorption	536.5	0.697
absorption	537.0	0.693
absorption	537.5	0.689
absorption	538.0	0.685
absorption	538.5	0.68
absorption	539.0	0.674
absorption	539.5	0.669
absorption	540.0	0.665
absorption	540.5	0.661
absorption	541.0	0.658
absorption	541.5	0.654
absorption	542.0	0.651
absorption	542.5	0.646
absorption	543.0	0.641
absorption	543.5	0.636
absorption	544.0	0.63
absorption	544.5	0.626
absorption	545.0	0.623
absorption	545.5	0.62
absorption	546.0	0.616
absorption	546.5	0.612
absorption	547.0	0.607
absorption	547.5	0.603
absorption	548.0	0.6
absorption	548.5	0.597
absorption	549.0	0.594
absorption	549.5	0.59
absorption	550.0	0.585
absorption	550.5	0.582
absorption	551.0	0.578
absorption	551.5	0.575
absorption	552.0	0.572
absorption	552.5	0.569
absorption	553.0	0.566
absorption	553.5	0.563
absorption	554.0	0.561
absorption	554.5	0.558
absorption	555.0	0.556
absorption	555.5	0.554
absorption	556.0	0.551
absorption	556.5	0.549
absorption	557.0	0.548
absorption	557.5	0.546
absorption	558.0	0.544
absorption	558.5	0.541
absorption	559.0	0.539
absorption	559.5	0.535
absorption	560.0	0.532
absorption	560.5	0.53
absorption	561.0	0.527
absorption	561.5	0.525
absorption	562.0	0.523
absorption	562.5	0.521
absorption	563.0	0.519
absorption	563.5	0.516
absorption	564.0	0.514
absorption	564.5	0.511
absorption	565.0	0.509
absorption	565.5	0.507
absorption	566.0	0.505
absorption	566.5	0.503
absorption	567.0	0.502
absorption	567.5	0.5
absorption	568.0	0.498
absorption	568.5	0.497
absorption	569.0	0.495
absorption	569.5	0.492
absorption	570.0	0.489
absorption	570.5	0.487
absorption	571.0	0.485
absorption	571.5	0.483
absorption	572.0	0.48
absorption	572.5	0.477
absorption	573.0	0.474
absorption	573.5	0.472
absorption	574.0	0.471
absorption	574.5	0.47
absorption	575.0	0.469
absorption	575.5	0.467
absorption	576.0	0.465
absorption	576.5	0.462
absorption	577.0	0.46
absorption	577.5	0.458
absorption	578.0	0.457
absorption	578.5	0.455
absorption	579.0	0.453
absorption	579.5	0.45
absorption	580.0	0.448
absorption	580.5	0.447
absorption	581.0	0.446
absorption	581.5	0.445
absorption	582.0	0.444
absorption	582.5	0.443
absorption	583.0	0.441
absorption	583.5	0.437
absorption	584.0	0.434
absorption	584.5	0.43
absorption	585.0	0.427
absorption	585.5	0.425
absorption	586.0	0.423
absorption	586.5	0.422
absorption	587.0	0.421
absorption	587.5	0.419
absorption	588.0	0.418
absorption	588.5	0.416
absorption	589.0	0.415
absorption	589.5	0.412
absorption	590.0	0.41
absorption	590.5	0.406
absorption	591.0	0.403
absorption	591.5	0.399
absorption	592.0	0.396
absorption	592.5	0.394
absorption	593.0	0.391
absorption	593.5	0.39
absorption	594.0	0.389
absorption	594.5	0.388
absorption	595.0	0.388
absorption	595.5	0.387
absorption	596.0	0.386
absorption	596.5	0.384
absorption	597.0	0.382
absorption	597.5	0.378
absorption	598.0	0.373
absorption	598.5	0.37
absorption	599.0	0.367
absorption	599.5	0.365
absorption	600.0	0.364
absorption	600.5	0.363
absorption	601.0	0.361
absorption	601.5	0.359
absorption	602.0	0.357
absorption	602.5	0.354
absorption	603.0	0.352
absorption	603.5	0.35
absorption	604.0	0.349
absorption	604.5	0.347
absorption	605.0	0.345
absorption	605.5	0.343
absorption	606.0	0.342
absorption	606.5	0.341
absorption	607.0	0.339
absorption	607.5	0.337
absorption	608.0	0.335
absorption	608.5	0.333
absorption	609.0	0.331
absorption	609.5	0.329
absorption	610.0	0.328
absorption	610.5	0.327
absorption	611.0	0.325
absorption	611.5	0.324
absorption	612.0	0.322
absorption	612.5	0.32
absorption	613.0	0.318
absorption	613.5	0.316
absorption	614.0	0.314
absorption	614.5	0.312
absorption	615.0	0.31
absorption	615.5	0.308
absorption	616.0	0.306
absorption	616.5	0.306
absorption	617.0	0.305
absorption	617.5	0.304
absorption	618.0	0.303
absorption	618.5	0.3
absorption	619.0	0.298
absorption	619.5	0.295
absorption	620.0	0.293
absorption	620.5	0.29
absorption	621.0	0.289
absorption	621.5	0.286
absorption	622.0	0.285
absorption	622.5	0.283
absorption	623.0	0.281
absorption	623.5	0.279
absorption	624.0	0.277
absorption	624.5	0.274
absorption	625.0	0.273
absorption	625.5	0.272
absorption	626.0	0.27
absorption	626.5	0.269
absorption	627.0	0.267
absorption	627.5	0.266
absorption	628.0	0.265
absorption	628.5	0.264
absorption	629.0	0.263
absorption	629.5	0.261
absorption	630.0	0.259
absorption	630.5	0.257
absorption	631.0	0.255
absorption	631.5	0.255
absorption	632.0	0.254
absorption	632.5	0.254
absorption	633.0	0.252
absorption	633.5	0.251
absorption	634.0	0.249
absorption	634.5	0.248
absorption	635.0	0.245
absorption	635.5	0.244
absorption	636.0	0.242
absorption	636.5	0.24
absorption	637.0	0.239
absorption	637.5	0.237
absorption	638.0	0.235
absorption	638.5	0.233
absorption	639.0	0.231
absorption	639.5	0.23
absorption	640.0	0.228
absorption	640.5	0.227
absorption	641.0	0.226
absorption	641.5	0.226
absorption	642.0	0.225
absorption	642.5	0.224
absorption	643.0	0.223
absorption	643.5	0.221
absorption	644.0	0.219
absorption	644.5	0.216
absorption	645.0	0.214
absorption	645.5	0.212
absorption	646.0	0.21
absorption	646.5	0.209
absorption	647.0	0.207
absorption	647.5	0.206
absorption	648.0	0.205
absorption	648.5	0.205
absorption	649.0	0.203
absorption	649.5	0.202
absorption	650.0	0.201
absorption	650.5	0.2
absorption	651.0	0.199
absorption	651.5	0.197
absorption	652.0	0.196
absorption	652.5	0.194
absorption	653.0	0.192
absorption	653.5	0.19
absorption	654.0	0.189
absorption	654.5	0.187
absorption	655.0	0.186
absorption	655.5	0.184
absorption	656.0	0.182
absorption	656.5	0.181
absorption	657.0	0.179
absorption	657.5	0.178
absorption	658.0	0.177
absorption	658.5	0.176
absorption	659.0	0.177
absorption	659.5	0.177
absorption	660.0	0.178
absorption	660.5	0.177
absorption	661.0	0.175
absorption	661.5	0.174
absorption	662.0	0.172
absorption	662.5	0.17
absorption	663.0	0.168
absorption	663.5	0.165
absorption	664.0	0.164
absorption	664.5	0.163
absorption	665.0	0.162
absorption	665.5	0.161
absorption	666.0	0.16
absorption	666.5	0.159
absorption	667.0	0.158
absorption	667.5	0.156
absorption	668.0	0.155
absorption	668.5	0.153
absorption	669.0	0.151
absorption	669.5	0.15
absorption	670.0	0.15
absorption	670.5	0.15
absorption	671.0	0.149
absorption	671.5	0.148
absorption	672.0	0.147
absorption	672.5	0.147
absorption	673.0	0.146
absorption	673.5	0.146
absorption	674.0	0.145
absorption	674.5	0.144
absorption	675.0	0.143
absorption	675.5	0.142
absorption	676.0	0.142
absorption	676.5	0.142
absorption	677.0	0.143
absorption	677.5	0.142
absorption	678.0	0.142
absorption	678.5	0.14
absorption	679.0	0.137
absorption	679.5	0.133
absorption	680.0	0.129
absorption	680.5	0.126
absorption	681.0	0.125
absorption	681.5	0.125
absorption	682.0	0.125
absorption	682.5	0.125
absorption	683.0	0.124
absorption	683.5	0.124
absorption	684.0	0.123
absorption	684.5	0.123
absorption	685.0	0.123
absorption	685.5	0.122
absorption	686.0	0.122
absorption	686.5	0.121
absorption	687.0	0.12
absorption	687.5	0.118
absorption	688.0	0.116
absorption	688.5	0.113
absorption	689.0	0.112
absorption	689.5	0.111
absorption	690.0	0.11
absorption	690.5	0.11
absorption	691.0	0.11
absorption	691.5	0.109
absorption	692.0	0.109
absorption	692.5	0.108
absorption	693.0	0.106
absorption	693.5	0.105
absorption	694.0	0.104
absorption	694.5	0.103
absorption	695.0	0.102
absorption	695.5	0.103
absorption	696.0	0.103
absorption	696.5	0.104
absorption	697.0	0.104
absorption	697.5	0.103
absorption	698.0	0.101
absorption	698.5	0.098
absorption	699.0	0.096
absorption	699.5	0.094
absorption	700.0	0.094
absorption	700.5	0.093
absorption	701.0	0.093
absorption	701.5	0.093
absorption	702.0	0.093
absorption	702.5	0.093
absorption	703.0	0.094
absorption	703.5	0.094
absorption	704.0	0.093
absorption	704.5	0.092
absorption	705.0	0.091
absorption	705.5	0.088
absorption	706.0	0.087
absorption	706.5	0.087
absorption	707.0	0.088
absorption	707.5	0.088
absorption	708.0	0.088
absorption	708.5	0.087
absorption	709.0	0.086
absorption	709.5	0.086
absorption	710.0	0.085
absorption	710.5	0.085
absorption	711.0	0.084
absorption	711.5	0.082
absorption	712.0	0.081
absorption	712.5	0.08
absorption	713.0	0.08
absorption	713.5	0.08
absorption	714.0	0.08
absorption	714.5	0.08
absorption	715.0	0.08
absorption	715.5	0.08
absorption	716.0	0.08
absorption	716.5	0.079
absorption	717.0	0.078
absorption	717.5	0.076
absorption	718.0	0.074
absorption	718.5	0.071
absorption	719.0	0.07
absorption	719.5	0.069
absorption	720.0	0.069
absorption	720.5	0.069
absorption	721.0	0.069
absorption	721.5	0.069
absorption	722.0	0.069
absorption	722.5	0.068
absorption	723.0	0.066
absorption	723.5	0.064
absorption	724.0	0.062
absorption	724.5	0.06
absorption	725.0	0.06
absorption	725.5	0.061
absorption	726.0	0.062
absorption	726.5	0.064
absorption	727.0	0.064
absorption	727.5	0.065
absorption	728.0	0.065
absorption	728.5	0.065
absorption	729.0	0.063
absorption	729.5	0.061
absorption	730.0	0.059
absorption	730.5	0.057
absorption	731.0	0.055
absorption	731.5	0.052
absorption	732.0	0.051
absorption	732.5	0.048
absorption	733.0	0.047
absorption	733.5	0.047
absorption	734.0	0.047
absorption	734.5	0.049
absorption	735.0	0.05
absorption	735.5	0.051
absorption	736.0	0.052
absorption	736.5	0.051
absorption	737.0	0.051
absorption	737.5	0.05
absorption	738.0	0.049
absorption	738.5	0.048
absorption	739.0	0.047
absorption	739.5	0.046
absorption	740.0	0.045
absorption	740.5	0.042
absorption	741.0	0.04
absorption	741.5	0.038
absorption	742.0	0.038
absorption	742.5	0.04
absorption	743.0	0.041
absorption	743.5	0.042
absorption	744.0	0.041
absorption	744.5	0.04
absorption	745.0	0.038
absorption	745.5	0.036
absorption	746.0	0.035
absorption	746.5	0.036
absorption	747.0	0.038
absorption	747.5	0.038
absorption	748.0	0.038
absorption	748.5	0.037
absorption	749.0	0.035
absorption	749.5	0.034
absorption	750.0	0.034
absorption	750.5	0.035
absorption	751.0	0.036
absorption	751.5	0.036
absorption	752.0	0.037
absorption	752.5	0.036
absorption	753.0	0.035
absorption	753.5	0.035
absorption	754.0	0.033
absorption	754.5	0.033
absorption	755.0	0.031
absorption	755.5	0.029
absorption	756.0	0.028
absorption	756.5	0.026
absorption	757.0	0.026
absorption	757.5	0.027
absorption	758.0	0.028
absorption	758.5	0.03
absorption	759.0	0.03
absorption	759.5	0.031
absorption	760.0	0.031
absorption	760.5	0.032
absorption	761.0	0.033
absorption	761.5	0.034
absorption	762.0	0.034
absorption	762.5	0.033
absorption	763.0	0.032
absorption	763.5	0.031
absorption	764.0	0.029
absorption	764.5	0.028
absorption	765.0	0.027
absorption	765.5	0.025
absorption	766.0	0.024
absorption	766.5	0.024
absorption	767.0	0.024
absorption	767.5	0.024
absorption	768.0	0.024
absorption	768.5	0.022
absorption	769.0	0.02
absorption	769.5	0.018
absorption	770.0	0.017
absorption	770.5	0.017
absorption	771.0	0.018
absorption	771.5	0.018
absorption	772.0	0.017
absorption	772.5	0.017
absorption	773.0	0.017
absorption	773.5	0.018
absorption	774.0	0.019
absorption	774.5	0.019
absorption	775.0	0.018
absorption	775.5	0.014
absorption	776.0	0.012
absorption	776.5	0.011
absorption	777.0	0.012
absorption	777.5	0.013
absorption	778.0	0.014
absorption	778.5	0.013
absorption	779.0	0.011
absorption	779.5	0.01
absorption	780.0	0.011
absorption	780.5	0.013
absorption	781.0	0.015
absorption	781.5	0.015
absorption	782.0	0.013
absorption	782.5	0.011
absorption	783.0	0.01
absorption	783.5	0.01
absorption	784.0	0.01
absorption	784.5	0.01
absorption	785.0	0.008
absorption	785.5	0.006
absorption	786.0	0.004
absorption	786.5	0.002
absorption	787.0	0.001
absorption	787.5	0.001
absorption	788.0	0.002
absorption	788.5	0.005
absorption	789.0	0.006
absorption	789.5	0.006
absorption	790.0	0.005
absorption	790.5	0.002
absorption	791.0	0.0
absorption	791.5	-0.001
absorption	792.0	-0.004
absorption	792.5	-0.005
absorption	793.0	-0.007
absorption	793.5	-0.009
absorption	794.0	-0.008
absorption	794.5	-0.007
absorption	795.0	-0.003
absorption	795.5	0.001
absorption	796.0	0.004
absorption	796.5	0.006
absorption	797.0	0.007
absorption	797.5	0.006
absorption	798.0	0.005
absorption	798.5	0.003
absorption	799.0	0.001
absorption	799.5	0.0
absorption	800.0	0.0
