sample_id	collection_group_id	depth_min_m	depth_max_m	particle_total_per_L	polymer_count_PE_per_L	polymer_PE_percent	polymer_count_varnish_per_L	polymer_varnish_percent	polymer_count_PA_per_L	polymer_PA_percent	polymer_count_EVA_per_L	polymer_EVA_percent	polymer_count_CE_alkylated_per_L	polymer_CE_alkylated_percent	polymer_count_PES_per_L	polymer_PES_percent	polymer_count_PP_per_L	polymer_PP_percent	polymer_count_PE_Cl_per_L	polymer_PE_Cl_percent	polymer_count_PS_per_L	polymer_PS_percent	polymer_count_PC_per_L	polymer_PC_percent	polymer_count_PVC_per_L	polymer_PVC_percent	polymer_count_nitrile_rubber_per_L	polymer_nitrile_rubber_percent	polymer_count_PCL_per_L	polymer_PCL_percent	polymer_count_rubber_per_L	polymer_rubber_percent	polymer_count_AB_per_L	polymer_AB_percent	polymer_count_PLA_per_L	polymer_PLA_percent	polymer_count_PI_per_L	polymer_PI_percent	particle_size_11um_per_L	particle_size_11um_percent	particle_size_11_25um_per_L	particle_size_11_25um_percent	particle_size_25_50um_per_L	particle_size_25_50um_percent	particle_size_50_75um_per_L	particle_size_50_75um_percent	particle_size_75_100um_per_L	particle_size_75_100um_percent	particle_size_100_125um_per_L	particle_size_100_125um_percent	particle_size_125_150um_per_L	particle_size_125_150um_percent	particle_size_150_175um_per_L	particle_size_150_175um_percent	particle_size_175_200um_per_L	particle_size_175_200um_percent	particle_size_200_225um_per_L	particle_size_200_225um_percent	particle_size_225_250um_per_L	particle_size_225_250um_percent	particle_size_250_275um_per_L	particle_size_250_275um_percent	particle_size_275_300um_per_L	particle_size_275_300um_percent	particle_size_300_325um_per_L	particle_size_300_325um_percent	particle_size_325_350um_per_L	particle_size_325_350um_percent	particle_size_350_375um_per_L	particle_size_350_375um_percent	particle_size_375_400um_per_L	particle_size_375_400um_percent	particle_size_400_425um_per_L	particle_size_400_425um_percent	particle_size_425_450um_per_L	particle_size_425_450um_percent	particle_size_450_475um_per_L	particle_size_450_475um_percent	particle_size_475_500um_per_L	particle_size_475_500um_percent	particle_size_gt_500um_per_L	particle_size_gt_500um_percent
sample_011	group_02	1.050	1.390	41	3.86	9.38	7.07	17.19	1.93	4.69	0.00	0.00	9.64	23.44	5.14	12.50	5.784	14.06	0.00	0.00	3.86	9.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.86	9.38	0.00	0.00	15.42	37.50	12.85	31.25	10.93	26.56	1.928	4.69	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_012	group_02	1.400	1.660	67	7.22	10.79	47.14	70.50	2.89	4.32	8.66	12.95	0.00	0.00	0.00	0.00	0.960	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.51	75.54	12.51	18.71	3.85	5.76	0.000	0.00	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_013	group_04	0.000	0.230	992	918.58	92.61	15.43	1.56	20.05	2.02	0.00	0.00	0.00	0.00	27.77	2.80	7.710	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.31	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	715.73	72.16	203.61	20.53	47.05	4.74	18.510	1.87	4.63	0.47	0.00	0.000	2.31	0.23	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_014	group_04	0.240	0.420	186	33.13	17.81	81.55	43.84	16.14	8.68	20.39	10.96	7.65	4.11	22.94	12.33	1.700	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.55	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	106.19	57.08	56.92	30.59	7.65	4.11	7.650	4.11	5.10	2.74	0.00	0.000	0.00	0.00	2.55	1.370	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_015	group_04	0.430	0.610	4159	3920.65	94.26	111.77	2.69	31.53	0.76	2.87	0.07	14.33	0.34	40.12	0.96	21.020	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.73	0.14	8.60	0.21	2.87	0.07	0.00	0.00	0.00	0.00	3167.86	76.16	765.22	18.40	186.29	4.48	17.200	0.41	14.33	0.34	0.00	0.000	2.87	0.07	0.00	0.000	0.00	0.00	2.87	0.07	2.87	0.07	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_016	group_04	0.620	0.865	430	180.87	42.10	79.00	18.39	97.02	22.58	35.34	8.23	2.08	0.48	20.79	4.84	8.320	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.16	0.97	0.00	0.00	0.00	0.00	2.08	0.48	0.00	0.00	0.00	0.00	270.26	62.90	124.04	28.87	24.95	5.81	8.320	1.94	0.00	0.00	2.08	0.480	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_017	group_04	0.875	1.130	456	124.76	27.35	67.75	14.85	167.02	36.62	60.37	13.24	10.06	2.21	22.13	4.85	0.000	0.00	2.01	0.44	0.00	0.00	0.00	0.00	2.01	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	279.70	61.32	132.81	29.12	31.53	6.91	8.050	1.76	4.02	0.88	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_018	group_03	0.000	0.260	144	34.01	23.65	75.81	52.71	0.00	0.00	4.25	2.96	0.00	0.00	8.50	5.91	12.750	8.87	0.00	0.00	0.00	0.00	0.00	0.00	2.13	1.48	0.00	0.00	6.38	4.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.89	57.64	36.13	25.12	14.17	9.85	6.380	4.43	4.25	2.96	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_019	group_03	0.255	0.470	13794	10175.94	73.77	69.79	0.51	3484.77	25.26	29.91	0.22	2.30	0.02	2.30	0.02	3.830	0.03	9.20	0.07	0.00	0.00	0.00	0.00	0.00	0.00	6.90	0.05	2.30	0.02	6.90	0.05	0.00	0.00	0.00	0.00	0.00	0.00	9710.43	70.40	2858.99	20.73	994.66	7.21	167.950	1.22	48.31	0.35	13.80	0.100	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_020	group_03	0.475	0.640	90	17.75	19.74	54.42	60.53	3.55	3.95	0.00	0.00	3.55	3.95	3.55	3.95	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.10	7.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.54	82.89	9.46	10.53	2.37	2.63	3.550	3.95	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_021	group_03	0.650	0.830	2303	584.15	25.37	817.62	35.51	146.51	6.36	623.85	27.09	102.08	4.43	2.84	0.12	17.010	0.74	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.12	2.84	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.12	1378.14	59.85	557.69	24.22	281.68	12.23	62.390	2.71	19.85	0.86	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	2.84	0.123152709	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_022	group_03	0.835	0.980	423	170.75	40.36	155.46	36.75	24.64	5.82	15.29	3.61	2.55	0.60	33.13	7.83	5.950	1.41	0.00	0.00	0.00	0.00	0.00	0.00	5.10	1.20	7.65	1.81	2.55	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	237.86	56.22	121.48	28.71	43.33	10.24	20.390	4.82	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_023	group_03	0.990	1.210	270	192.01	71.20	41.81	15.51	4.27	1.58	2.56	0.95	5.12	1.90	7.68	2.85	8.530	3.16	0.00	0.00	0.00	0.00	2.56	0.95	0.00	0.00	5.12	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	159.58	59.18	88.75	32.91	18.77	6.96	0.000	0.00	2.56	0.95	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_024	group_03	1.220	1.320	33	5.90	17.65	13.76	41.18	3.93	11.76	0.00	0.00	0.00	0.00	5.90	17.65	3.930	11.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.62	64.71	5.90	17.65	0.00	0.00	5.900	17.65	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_025	group_05	0.000	0.290	6421	0.00	0.00	6155.45	95.87	8.34	0.13	0.00	0.00	233.43	3.64	10.42	0.16	6.950	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.03	4.17	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4819.45	75.06	1265.13	19.70	296.66	4.62	37.520	0.58	2.08	0.03	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_026	group_05	0.300	0.500	557	63.03	11.32	255.00	45.80	24.83	4.46	51.57	9.26	108.88	19.55	22.92	4.12	4.780	0.86	5.73	1.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.06	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	385.84	69.30	119.38	21.44	42.98	7.72	5.730	1.03	2.87	0.51	0.00	0.000	0.00	0.00	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_027	group_05	0.510	0.840	1454	154.48	10.62	756.26	52.00	64.67	4.45	168.86	11.61	299.99	20.63	7.19	0.49	1.200	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	960.44	66.04	319.75	21.98	111.37	7.66	44.910	3.09	5.39	0.37	5.39	0.370	1.80	0.12	3.59	0.250	0.00	0.00	0.00	0.00	1.80	0.12	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_028	group_05	0.850	1.120	791	119.71	15.14	204.69	25.89	41.38	5.23	93.11	11.78	312.57	39.53	13.30	1.68	1.480	0.19	2.22	0.28	0.00	0.00	2.22	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	593.37	75.05	147.79	18.69	31.77	4.02	8.870	1.12	4.43	0.56	2.22	0.280	2.22	0.28	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_029	group_05	1.130	1.400	351	51.92	14.79	116.69	33.23	24.57	7.00	40.20	11.45	108.87	31.00	6.70	1.91	2.230	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	265.20	75.52	63.09	17.97	16.19	4.61	3.350	0.95	0.00	0.00	1.67	0.480	1.67	0.48	0.00	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
sample_030	group_05	1.410	1.670	4437	1291.25	29.10	838.18	18.89	1123.87	25.33	991.09	22.34	181.23	4.08	3.78	0.09	0.000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.89	0.04	5.66	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2654.24	59.82	1087.37	24.51	502.78	11.33	124.590	2.81	37.76	0.85	11.33	0.260	9.44	0.21	5.66	0.130	0.00	0.00	1.89	0.04	0.00	0.00	1.89	0.04	0	0	0	0	0	0	0.00	0.000000000	0	0	0	0	0	0	0	0	0.0	0.000	0	0
