,,,,,,,,,,,,
,Source block B,,,,Source block C,,,,,,,
,1.29,50.34382,97.01642,,,,,,,,,
,1.3,50.70848,97.06648,,,,,,,,,
,1.31,51.08356,97.10653,,,,,,,,,
,1.32,51.44822,97.14658,,,,,,,,,
,1.33,51.80246,97.18662,,,,,,,,,
,1.34,52.16712,97.22667,,,,,,,,,
,1.35,52.52136,97.25671,,,,,,,,,
,1.36,52.8756,97.29676,,,,,,,,,
,1.37,53.21942,97.3368,,,,,,,,,
,1.38,53.57366,97.36684,,,,,,,,,
,1.39,53.91748,97.40689,,,,,,,,,
,1.4,54.2613,97.43692,,,,,,,,,
,1.41,54.59471,97.47697,,,,,,,,,
,1.42,54.92811,97.50701,,,,,,,,,
,1.43,55.26151,97.53704,,,,,,,,,
,1.44,55.59492,97.57709,,,,,,,,,
,1.45,55.9179,97.60713,,,,,,,,,
,1.46,56.2513,97.63716,,,,,,,,,
,1.47,56.57429,97.6672,,,,,,,,,
,1.48,56.88685,97.69724,,,,,,,,,
,1.49,57.20984,97.72727,,,,,,,,,
,1.5,57.5224,97.7473,,,,,,,,,
,1.51,57.83497,97.77733,,,,,,,,,
,1.52,58.13711,97.80737,,,,,,,,,
,1.53,58.44968,97.8374,,,,,,,,,
,1.54,58.75182,97.85743,,,,,,,,,
,1.55,59.05397,97.88746,,,,,,,,,
,1.56,59.3457,97.90749,,,,,,,,,
,1.57,59.64784,97.93753,,,,,,,,,
,1.58,59.93957,97.95755,,,,,,,,,
,1.59,60.2313,97.98759,,,,,,,,,
,1.6,60.51261,98.00761,,,,,,,,,
,1.61,60.80433,98.02763,,,,,,,,,
,1.62,61.08564,98.05767,,,,,,,,,
,1.63,61.36695,98.07769,,,,,,,,,
,1.64,61.63784,98.09772,,,,,,,,,
,1.65,61.91915,98.11774,,,,,,,,,
,1.66,62.19004,98.13777,,,,,,,,,
,1.67,62.46093,98.15779,,,,,,,,,
,1.68,62.73182,98.17781,,,,,,,,,
,1.69,62.99229,98.19784,,,,,,,,,
,1.7,63.26318,98.21786,,,,,,,,,
,1.71,63.52365,98.23789,,,,,,,,,
,1.72,63.78412,98.25791,,,,,,,,,
,1.73,64.03417,98.27793,,,,,,,,,
,1.74,64.29464,98.29796,,,,,,,,,
,1.75,64.5447,98.31798,,,,,,,,,
,1.76,64.79475,98.33801,,,,,,,,,
,1.77,65.0448,98.34802,,,,,,,,,
,1.78,65.29485,98.36804,,,,,,,,,
,1.79,65.53449,98.38807,,,,,,,,,
,1.8,65.77412,98.40809,,,,,,,,,
,1.81,66.01375,98.4181,,,,,,,,,
,1.82,66.25339,98.43813,,,,,,,,,
,1.83,66.49302,98.45815,,,,,,,,,
,1.84,66.72223,98.46816,,,,,,,,,
,1.85,66.95145,98.48819,,,,,,,,,
,1.86,67.18066,98.4982,,,,,,,,,
,1.87,67.40988,98.51822,,,,,,,,,
,1.88,67.63909,98.52823,,,,,,,,,
,1.89,67.85789,98.54826,,,,,,,,,
,1.9,68.0871,98.55827,,,,,,,,,
,1.91,68.3059,98.57829,,,,,,,,,
,1.92,68.51427,98.58831,,,,,,,,,
,1.93,68.73307,98.59832,,,,,,,,,
,1.94,68.95186,98.61834,,,,,,,,,
,1.95,69.16024,98.62835,,,,,,,,,
,1.96,69.36862,98.63837,,,,,,,,,
,1.97,69.577,98.65839,,,,,,,,,
,1.98,69.78537,98.6684,,,,,,,,,
,1.99,69.99375,98.67841,,,,,,,,,
,2,70.19171,98.68843,,,,,,,,,
,2.01,70.40008,98.70845,,,,,,,,,
,2.02,70.59804,98.71846,,,,,,,,,
,2.03,70.796,98.72847,,,,,,,,,
,2.04,70.99396,98.73849,,,,,,,,,
,2.05,71.1815,98.7485,,,,,,,,,
,2.06,71.37945,98.76852,,,,,,,,,
,2.07,71.56699,98.77853,,,,,,,,,
,2.08,71.75453,98.78855,,,,,,,,,
,2.09,71.94207,98.79856,,,,,,,,,
,2.1,72.12961,98.80857,,,,,,,,,
,2.11,72.31715,98.81858,,,,,,,,,
,2.12,72.49427,98.82859,,,,,,,,,
,2.13,72.68181,98.83861,,,,,,,,,
,2.14,72.85893,98.84862,,,,,,,,,
,2.15,73.03605,98.85863,,,,,,,,,
,2.16,73.21317,98.86864,,,,,,,,,
,2.17,73.39029,98.87865,,,,,,,,,
,2.18,73.56741,98.88867,,,,,,,,,
,2.19,73.73411,98.89868,,,,,,,,,
,2.2,73.91123,98.90869,,,,,,,,,
,2.21,74.07793,98.9187,,,,,,,,,
,2.22,74.24463,98.92871,,,,,,,,,
,2.23,74.41134,98.93873,,,,,,,,,
,2.24,74.57804,98.94874,,,,,,,,,
,2.25,74.74474,98.95875,,,,,,,,,
,2.26,74.91144,98.96876,,,,,,,,,
,2.27,75.06772,98.97877,,,,,,,,,
,2.28,75.22401,98.97877,,,,,,,,,
,2.29,75.39071,98.98879,,,,,,,,,
,2.3,75.54699,98.9988,,,,,,,,,
,2.31,75.70327,99.00881,,,,,,,,,
,2.32,75.85955,99.01882,,,,,,,,,
,2.33,76.00542,99.02883,,,,,,,,,
,2.34,76.1617,99.02883,,,,,,,,,
,2.35,76.30756,99.03885,,,,,,,,,
,2.36,76.46385,99.04886,,,,,,,,,
,2.37,76.60971,99.05887,,,,,,,,,
,2.38,76.75557,99.05887,,,,,,,,,
,2.39,76.90144,99.06888,,,,,,,,,
,2.4,77.0473,99.07889,,,,,,,,,
,2.41,77.19317,99.08891,,,,,,,,,
,2.42,77.32861,99.08891,,,,,,,,,
,2.43,77.47447,99.09892,,,,,,,,,
,2.44,77.60992,99.10893,,,,,,,,,
,2.45,77.75578,99.11894,,,,,,,,,
,2.46,77.89123,99.11894,,,,,,,,,
,2.47,78.02667,99.12895,,,,,,,,,
,2.48,78.16212,99.13897,,,,,,,,,
,2.49,78.29756,99.13897,,,,,,,,,
,2.5,78.43301,99.14898,,,,,,,,,
,2.51,78.56845,99.15899,,,,,,,,,
,2.52,78.69348,99.15899,,,,,,,,,
,2.53,78.82892,99.169,,,,,,,,,
,2.54,78.95395,99.17901,,,,,,,,,
,2.55,79.08939,99.17901,,,,,,,,,
,2.56,79.21442,99.18903,,,,,,,,,
,2.57,79.33945,99.18903,,,,,,,,,
,2.58,79.46447,99.19904,,,,,,,,,
,2.59,79.5895,99.20905,,,,,,,,,
,2.6,79.71452,99.20905,,,,,,,,,
,2.61,79.82913,99.21906,,,,,,,,,
,2.62,79.95416,99.21906,,,,,,,,,
,2.63,80.07918,99.22907,,,,,,,,,
,2.64,80.19379,99.22907,,,,,,,,,
,2.65,80.3084,99.23909,,,,,,,,,
,2.66,80.43342,99.2491,,,,,,,,,
,2.67,80.54803,99.2491,,,,,,,,,
,2.68,80.66264,99.25911,,,,,,,,,
,2.69,80.77725,99.25911,,,,,,,,,
,2.7,80.89185,99.26912,,,,,,,,,
,2.71,81.00646,99.26912,,,,,,,,,
,2.72,81.12107,99.27913,,,,,,,,,
,2.73,81.22526,99.27913,,,,,,,,,
,2.74,81.33986,99.28915,,,,,,,,,
,2.75,81.44405,99.28915,,,,,,,,,
,2.76,81.55866,99.29916,,,,,,,,,
,2.77,81.66285,99.29916,,,,,,,,,
,2.78,81.77745,99.30917,,,,,,,,,
,2.79,81.88164,99.30917,,,,,,,,,
,2.8,81.98583,99.31918,,,,,,,,,
,2.81,82.09002,99.31918,,,,,,,,,
,2.82,82.19421,99.3292,,,,,,,,,
,2.83,82.2984,99.3292,,,,,,,,,
,2.84,82.40258,99.33921,,,,,,,,,
,2.85,82.49635,99.33921,,,,,,,,,
,2.86,82.60054,99.34922,,,,,,,,,
,2.87,82.70473,99.34922,,,,,,,,,
,2.88,82.7985,99.34922,,,,,,,,,
,2.89,82.90269,99.35923,,,,,,,,,
,2.9,82.99646,99.35923,,,,,,,,,
,2.91,83.10065,99.36924,,,,,,,,,
,2.92,83.19442,99.36924,,,,,,,,,
,2.93,83.28819,99.37926,,,,,,,,,
,2.94,83.38195,99.37926,,,,,,,,,
,2.95,83.47572,99.37926,,,,,,,,,
,2.96,83.56949,99.38927,,,,,,,,,
,2.97,83.66326,99.38927,,,,,,,,,
,2.98,83.75703,99.39928,,,,,,,,,
,2.99,83.8508,99.39928,,,,,,,,,
,3,83.93415,99.40929,,,,,,,,,
,3.01,84.02792,99.40929,,,,,,,,,
,3.02,84.12169,99.40929,,,,,,,,,
,3.03,84.20504,99.4193,,,,,,,,,
,3.04,84.29881,99.4193,,,,,,,,,
,3.05,84.38216,99.4193,,,,,,,,,
,3.06,84.47593,99.42932,,,,,,,,,
,3.07,84.55928,99.42932,,,,,,,,,
,3.08,84.64263,99.43933,,,,,,,,,
,3.09,84.72598,99.43933,,,,,,,,,
,3.1,84.80934,99.43933,,,,,,,,,
,3.11,84.89269,99.44934,,,,,,,,,
,3.12,84.97604,99.44934,,,,,,,,,
,3.13,85.05939,99.44934,,,,,,,,,
,3.14,85.14274,99.45935,,,,,,,,,
,3.15,85.22609,99.45935,,,,,,,,,
,3.16,85.30944,99.45935,,,,,,,,,
,3.17,85.39279,99.46936,,,,,,,,,
,3.18,85.46572,99.46936,,,,,,,,,
,3.19,85.54907,99.46936,,,,,,,,,
,3.2,85.63242,99.47938,,,,,,,,,
,3.21,85.70536,99.47938,,,,,,,,,
,3.22,85.78871,99.47938,,,,,,,,,
,3.23,85.86164,99.48939,,,,,,,,,
,3.24,85.93457,99.48939,,,,,,,,,
,3.25,86.01792,99.48939,,,,,,,,,
,3.26,86.09085,99.4994,,,,,,,,,
,3.27,86.16378,99.4994,,,,,,,,,
,3.28,86.23672,99.4994,,,,,,,,,
,3.29,86.30965,99.50941,,,,,,,,,
,3.3,86.38258,99.50941,,,,,,,,,
,3.31,86.45551,99.50941,,,,,,,,,
,3.32,86.52844,99.50941,,,,,,,,,
,3.33,86.60138,99.51942,,,,,,,,,
,3.34,86.67431,99.51942,,,,,,,,,
,3.35,86.74724,99.51942,,,,,,,,,
,3.36,86.82017,99.52944,,,,,,,,,
,3.37,86.8931,99.52944,,,,,,,,,
,3.38,86.95562,99.52944,,,,,,,,,
,3.39,87.02855,99.52944,,,,,,,,,
,3.4,87.09106,99.53945,,,,,,,,,
,3.41,87.16399,99.53945,,,,,,,,,
,3.42,87.23692,99.53945,,,,,,,,,
,3.43,87.29944,99.54946,,,,,,,,,
,3.44,87.36195,99.54946,,,,,,,,,
,3.45,87.43488,99.54946,,,,,,,,,
,3.46,87.4974,99.54946,,,,,,,,,
,3.47,87.55991,99.55947,,,,,,,,,
,3.48,87.63284,99.55947,,,,,,,,,
,3.49,87.69535,99.55947,,,,,,,,,
,3.5,87.75787,99.55947,,,,,,,,,
,3.51,87.82038,99.56948,,,,,,,,,
,3.52,87.88289,99.56948,,,,,,,,,
,3.53,87.94541,99.56948,,,,,,,,,
,3.54,88.00792,99.56948,,,,,,,,,
,3.55,88.07043,99.5795,,,,,,,,,
,3.56,88.13294,99.5795,,,,,,,,,
,3.57,88.19546,99.5795,,,,,,,,,
,3.58,88.25797,99.5795,,,,,,,,,
,3.59,88.32048,99.58951,,,,,,,,,
,3.6,88.383,99.58951,,,,,,,,,
,3.61,88.43509,99.58951,,,,,,,,,
,3.62,88.4976,99.58951,,,,,,,,,
,3.63,88.56012,99.59952,,,,,,,,,
,3.64,88.61221,99.59952,,,,,,,,,
,3.65,88.67472,99.59952,,,,,,,,,
,3.66,88.73724,99.59952,,,,,,,,,
,3.67,88.78933,99.60953,,,,,,,,,
,3.68,88.85184,99.60953,,,,,,,,,
,3.69,88.90394,99.60953,,,,,,,,,
,3.7,88.96645,99.60953,,,,,,,,,
,3.71,89.01855,99.60953,,,,,,,,,
,3.72,89.07064,99.61954,,,,,,,,,
,3.73,89.13315,99.61954,,,,,,,,,
,3.74,89.18525,99.61954,,,,,,,,,
,3.75,89.23734,99.61954,,,,,,,,,
,3.76,89.28944,99.61954,,,,,,,,,
,3.77,89.35195,99.62956,,,,,,,,,
,3.78,89.40404,99.62956,,,,,,,,,
,3.79,89.45614,99.62956,,,,,,,,,
,3.8,89.50823,99.62956,,,,,,,,,
,3.81,89.56033,99.62956,,,,,,,,,
,3.82,89.61242,99.63957,,,,,,,,,
,3.83,89.66451,99.63957,,,,,,,,,
,3.84,89.71661,99.63957,,,,,,,,,
,3.85,89.7687,99.63957,,,,,,,,,
,3.86,89.8208,99.63957,,,,,,,,,
,3.87,89.87289,99.64958,,,,,,,,,
,3.88,89.92498,99.64958,,,,,,,,,
,3.89,89.97708,99.64958,,,,,,,,,
,3.9,90.01875,99.64958,,,,,,,,,
,3.91,90.07085,99.64958,,,,,,,,,
,3.92,90.12294,99.65959,,,,,,,,,
,3.93,90.17504,99.65959,,,,,,,,,
,3.94,90.21671,99.65959,,,,,,,,,
,3.95,90.26881,99.65959,,,,,,,,,
,3.96,90.31048,99.65959,,,,,,,,,
,3.97,90.36258,99.6696,,,,,,,,,
,3.98,90.41467,99.6696,,,,,,,,,
,3.99,90.45635,99.6696,,,,,,,,,
,4,90.50844,99.6696,,,,,,,,,
,4.01,90.55011,99.6696,,,,,,,,,
,4.02,90.60221,99.6696,,,,,,,,,
,4.03,90.64388,99.67962,,,,,,,,,
,4.04,90.69598,99.67962,,,,,,,,,
,4.05,90.73765,99.67962,,,,,,,,,
,4.06,90.77933,99.67962,,,,,,,,,
,4.07,90.83142,99.67962,,,,,,,,,
,4.08,90.8731,99.67962,,,,,,,,,
,4.09,90.91477,99.68963,,,,,,,,,
,4.1,90.95645,99.68963,,,,,,,,,
,4.11,91.00854,99.68963,,,,,,,,,
,4.12,91.05022,99.68963,,,,,,,,,
,4.13,91.09189,99.68963,,,,,,,,,
,4.14,91.13357,99.68963,,,,,,,,,
,4.15,91.17524,99.69964,,,,,,,,,
,4.16,91.22734,99.69964,,,,,,,,,
,4.17,91.26901,99.69964,,,,,,,,,
,4.18,91.31069,99.69964,,,,,,,,,
,4.19,91.35237,99.69964,,,,,,,,,
,4.2,91.39404,99.69964,,,,,,,,,
,4.21,91.43572,99.70965,,,,,,,,,
,4.22,91.47739,99.70965,,,,,,,,,
,4.23,91.51907,99.70965,,,,,,,,,
,4.24,91.56074,99.70965,,,,,,,,,
,4.25,91.592,99.70965,,,,,,,,,
,4.26,91.63367,99.70965,,,,,,,,,
,4.27,91.67535,99.70965,,,,,,,,,
,4.28,91.71702,99.71966,,,,,,,,,
,4.29,91.7587,99.71966,,,,,,,,,
,4.3,91.80038,99.71966,,,,,,,,,
,4.31,91.83163,99.71966,,,,,,,,,
,4.32,91.87331,99.71966,,,,,,,,,
,4.33,91.91498,99.71966,,,,,,,,,
,4.34,91.95666,99.71966,,,,,,,,,
,4.35,91.98791,99.72968,,,,,,,,,
,4.36,92.02959,99.72968,,,,,,,,,
,4.37,92.07126,99.72968,,,,,,,,,
,4.38,92.10252,99.72968,,,,,,,,,
,4.39,92.1442,99.72968,,,,,,,,,
,4.4,92.18587,99.72968,,,,,,,,,
,4.41,92.21713,99.72968,,,,,,,,,
,4.42,92.2588,99.73969,,,,,,,,,
,4.43,92.29006,99.73969,,,,,,,,,
,4.44,92.33174,99.73969,,,,,,,,,
,4.45,92.36299,99.73969,,,,,,,,,
,4.46,92.40467,99.73969,,,,,,,,,
,4.47,92.43592,99.73969,,,,,,,,,
,4.48,92.4776,99.73969,,,,,,,,,
,4.49,92.50886,99.73969,,,,,,,,,
,4.5,92.54011,99.7497,,,,,,,,,
,4.51,92.58179,99.7497,,,,,,,,,
,4.52,92.61304,99.7497,,,,,,,,,
,4.53,92.65472,99.7497,,,,,,,,,
,4.54,92.68598,99.7497,,,,,,,,,
,4.55,92.71723,99.7497,,,,,,,,,
,4.56,92.74849,99.7497,,,,,,,,,
,4.57,92.79016,99.7497,,,,,,,,,
,4.58,92.82142,99.75971,,,,,,,,,
,4.59,92.85268,99.75971,,,,,,,,,
,4.6,92.88393,99.75971,,,,,,,,,
,4.61,92.92561,99.75971,,,,,,,,,
,4.62,92.95687,99.75971,,,,,,,,,
,4.63,92.98812,99.75971,,,,,,,,,
,4.64,93.01938,99.75971,,,,,,,,,
,4.65,93.05064,99.75971,,,,,,,,,
,4.66,93.08189,99.76972,,,,,,,,,
,4.67,93.12357,99.76972,,,,,,,,,
,4.68,93.15482,99.76972,,,,,,,,,
,4.69,93.18608,99.76972,,,,,,,,,
,4.7,93.21734,99.76972,,,,,,,,,
,4.71,93.24859,99.76972,,,,,,,,,
,4.72,93.27985,99.76972,,,,,,,,,
,4.73,93.31111,99.76972,,,,,,,,,
,4.74,93.34236,99.76972,,,,,,,,,
,4.75,93.37362,99.77974,,,,,,,,,
,4.76,93.40488,99.77974,,,,,,,,,
,4.77,93.43613,99.77974,,,,,,,,,
,4.78,93.46739,99.77974,,,,,,,,,
,4.79,93.49865,99.77974,,,,,,,,,
,4.8,93.5299,99.77974,,,,,,,,,
,4.81,93.55074,99.77974,,,,,,,,,
,4.82,93.582,99.77974,,,,,,,,,
,4.83,93.61325,99.77974,,,,,,,,,
,4.84,93.64451,99.78975,,,,,,,,,
,4.85,93.67577,99.78975,,,,,,,,,
,4.86,93.70702,99.78975,,,,,,,,,
,4.87,93.73828,99.78975,,,,,,,,,
,4.88,93.75912,99.78975,,,,,,,,,
,4.89,93.79037,99.78975,,,,,,,,,
,4.9,93.82163,99.78975,,,,,,,,,
,4.91,93.85289,99.78975,,,,,,,,,
,4.92,93.87372,99.78975,,,,,,,,,
,4.93,93.90498,99.78975,,,,,,,,,
,4.94,93.93624,99.79976,,,,,,,,,
,4.95,93.95707,99.79976,,,,,,,,,
,4.96,93.98833,99.79976,,,,,,,,,
,4.97,94.01959,99.79976,,,,,,,,,
,4.98,94.04043,99.79976,,,,,,,,,
,4.99,94.07168,99.79976,,,,,,,,,
,5,94.10294,99.79976,,,,,,,,,
,5.01,94.12378,99.79976,,,,,,,,,
,5.02,94.15503,99.79976,,,,,,,,,
,5.03,94.18629,99.79976,,,,,,,,,
,5.04,94.20713,99.79976,,,,,,,,,
,5.05,94.23838,99.80977,,,,,,,,,
,5.06,94.25922,99.80977,,,,,,,,,
,5.07,94.29048,99.80977,,,,,,,,,
,5.08,94.31131,99.80977,,,,,,,,,
,5.09,94.34257,99.80977,,,,,,,,,
,5.1,94.36341,99.80977,,,,,,,,,
,5.11,94.39467,99.80977,,,,,,,,,
,5.12,94.4155,99.80977,,,,,,,,,
,5.13,94.44676,99.80977,,,,,,,,,
,5.14,94.4676,99.80977,,,,,,,,,
,5.15,94.49885,99.80977,,,,,,,,,
,5.16,94.51969,99.81978,,,,,,,,,
,5.17,94.55095,99.81978,,,,,,,,,
,5.18,94.57179,99.81978,,,,,,,,,
,5.19,94.59262,99.81978,,,,,,,,,
,5.2,94.62388,99.81978,,,,,,,,,
,5.21,94.64472,99.81978,,,,,,,,,
,5.22,94.66556,99.81978,,,,,,,,,
,5.23,94.69681,99.81978,,,,,,,,,
,5.24,94.71765,99.81978,,,,,,,,,
,5.25,94.74891,99.81978,,,,,,,,,
,5.26,94.76974,99.81978,,,,,,,,,
,5.27,94.79058,99.81978,,,,,,,,,
,5.28,94.81142,99.8298,,,,,,,,,
,5.29,94.84268,99.8298,,,,,,,,,
,5.3,94.86351,99.8298,,,,,,,,,
,5.31,94.88435,99.8298,,,,,,,,,
,5.32,94.91561,99.8298,,,,,,,,,
,5.33,94.93645,99.8298,,,,,,,,,
,5.34,94.95728,99.8298,,,,,,,,,
,5.35,94.97812,99.8298,,,,,,,,,
,5.36,94.99896,99.8298,,,,,,,,,
,5.37,95.03021,99.8298,,,,,,,,,
,5.38,95.05105,99.8298,,,,,,,,,
,5.39,95.07189,99.8298,,,,,,,,,
,5.4,95.09273,99.83981,,,,,,,,,
,5.41,95.11357,99.83981,,,,,,,,,
,5.42,95.14482,99.83981,,,,,,,,,
,5.43,95.16566,99.83981,,,,,,,,,
,5.44,95.1865,99.83981,,,,,,,,,
,5.45,95.20733,99.83981,,,,,,,,,
,5.46,95.22817,99.83981,,,,,,,,,
,5.47,95.24901,99.83981,,,,,,,,,
,5.48,95.26985,99.83981,,,,,,,,,
,5.49,95.29069,99.83981,,,,,,,,,
,5.5,95.31152,99.83981,,,,,,,,,
,5.51,95.34278,99.83981,,,,,,,,,
,5.52,95.36362,99.83981,,,,,,,,,
,5.53,95.38446,99.84982,,,,,,,,,
,5.54,95.40529,99.84982,,,,,,,,,
,5.55,95.42613,99.84982,,,,,,,,,
,5.56,95.44697,99.84982,,,,,,,,,
,5.57,95.46781,99.84982,,,,,,,,,
,5.58,95.48864,99.84982,,,,,,,,,
,5.59,95.50948,99.84982,,,,,,,,,
,5.6,95.53032,99.84982,,,,,,,,,
