,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in bilayer ,Total Fusion,,,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.882,0,4.17,2.33,6.06,2.56,3.02,2.26,,0.882,0,4.44,2.5,3.23,2.63,2.56,1.62,,0.882,6.98,2.33,2.08,0,0,2.28,2.85,,0.882,2.56,2.27,6,0,0,2.17,2.46,,0.882,8.33,4.76,0,12.5,0,5.12,5.42,,0.882,8.57,2.33,8.16,12.2,6.06,7.46,3.62,,,,
,1.029,0,0,0,6.06,0,1.21,2.71,,1.029,0,0,0,6.45,0,1.29,2.89,,1.029,0,4.65,10.42,2.08,0,3.43,4.35,,1.029,23.08,4.55,2,4.17,0,6.76,9.3,,1.029,11.11,0,4.76,7.5,2.5,5.17,4.32,,1.029,8.57,0,4.08,2.44,0,3.02,3.55,,,,
,1.176,2.27,0,0,3.03,0,1.06,1.48,,1.176,2.38,0,0,3.23,0,1.12,1.56,,1.176,0,0,2.08,0,3.85,1.19,1.74,,1.176,0,4.55,6,8.33,0,3.78,3.7,,1.176,16.67,0,0,10,0,5.33,7.67,,1.176,2.86,0,12.24,4.88,0,4,5.05,,,,
,1.323,0,2.08,9.3,3.03,0,2.88,3.82,,1.323,0,2.22,7.5,3.23,0,2.59,3.08,,1.323,0,4.65,2.08,4.17,3.85,2.95,1.91,,1.323,0,2.27,0,4.17,0,1.29,1.89,,1.323,8.33,4.76,0,5,0,3.62,3.59,,1.323,2.86,2.33,4.08,2.44,12.12,4.76,4.17,,,,
,1.47,0,0,0,0,0,0,0,,1.47,0,0,0,0,0,0,0,,1.47,2.33,0,2.08,0,0,0.88,1.21,,1.47,2.56,2.27,2,4.17,0,2.2,1.49,,1.47,2.78,0,0,7.5,5,3.06,3.25,,1.47,11.43,6.98,6.12,0,9.09,6.72,4.28,,,,
,1.617,0,0,0,0,0,0,0,,1.617,0,0,0,0,0,0,0,,1.617,0,2.33,2.08,2.08,0,1.3,1.19,,1.617,2.56,2.27,0,0,2.78,1.52,1.4,,1.617,5.56,0,4.76,5,5,4.06,2.29,,1.617,8.57,4.65,2.04,2.44,6.06,4.75,2.69,,,,
,1.764,0,0,0,0,2.56,0.51,1.15,,1.764,0,0,0,0,2.63,0.53,1.18,,1.764,0,0,0,0,0,0,0,,1.764,0,9.09,4,0,0,2.62,4.01,,1.764,11.11,4.76,4.76,0,7.5,5.63,4.08,,1.764,2.86,4.65,6.12,0,6.06,3.94,2.57,,,,
,1.911,0,0,2.33,0,2.56,0.98,1.34,,1.911,0,0,2.5,0,2.63,1.03,1.41,,1.911,0,2.33,0,0,0,0.47,1.04,,1.911,2.56,6.82,0,0,2.78,2.43,2.79,,1.911,2.78,4.76,2.38,5,2.5,3.48,1.29,,1.911,5.71,9.3,4.08,2.44,9.09,6.13,3.03,,,,
,2.058,0,0,2.33,0,0,0.47,1.04,,2.058,0,0,2.5,0,0,0.5,1.12,,2.058,2.33,0,0,2.08,0,0.88,1.21,,2.058,5.13,6.82,0,0,0,2.39,3.33,,2.058,0,0,7.14,0,0,1.43,3.19,,2.058,0,2.33,2.04,0,9.09,2.69,3.74,,,,
,2.205,0,0,0,0,0,0,0,,2.205,0,0,0,0,0,0,0,,2.205,0,0,0,0,3.85,0.77,1.72,,2.205,0,4.55,8,8.33,0,4.18,4.09,,2.205,0,4.76,4.76,0,0,1.9,2.61,,2.205,2.86,2.33,0,2.44,3.03,2.13,1.23,,,,
,2.352,0,0,0,0,0,0,0,,2.352,0,0,0,0,0,0,0,,2.352,0,0,4.17,0,0,0.83,1.86,,2.352,0,0,4,4.17,2.78,2.19,2.07,,2.352,0,0,2.38,0,0,0.48,1.06,,2.352,8.57,4.65,2.04,2.44,0,3.54,3.26,,,,
,2.499,0,0,0,0,0,0,0,,2.499,0,0,0,0,0,0,0,,2.499,0,0,0,0,0,0,0,,2.499,0,2.27,4,0,0,1.25,1.82,,2.499,0,0,4.76,2.5,0,1.45,2.14,,2.499,0,6.98,4.08,0,0,2.21,3.2,,,,
,2.646,0,0,0,0,0,0,0,,2.646,0,0,0,0,0,0,0,,2.646,2.33,0,0,2.08,3.85,1.65,1.65,,2.646,2.56,2.27,0,4.17,0,1.8,1.8,,2.646,2.78,0,4.76,2.5,2.5,2.51,1.69,,2.646,2.86,2.33,0,0,0,1.04,1.43,,,,
,2.793,0,0,0,0,0,0,0,,2.793,0,0,0,0,0,0,0,,2.793,2.33,2.33,2.08,0,1.92,1.73,0.98,,2.793,2.56,0,6,4.17,0,2.55,2.62,,2.793,0,0,0,5,0,1,2.24,,2.793,2.86,2.33,4.08,2.44,0,2.34,1.48,,,,
,2.94,2.27,0,0,0,0,0.45,1.02,,2.94,0,0,0,0,0,0,0,,2.94,0,0,0,2.08,1.92,0.8,1.1,,2.94,0,2.27,0,12.5,5.56,4.07,5.24,,2.94,2.78,0,2.38,0,12.5,3.53,5.18,,2.94,2.86,4.65,4.08,0,9.09,4.14,3.3,,,,
,3.087,0,0,0,0,0,0,0,,3.087,0,0,0,0,0,0,0,,3.087,0,2.33,0,2.08,0,0.88,1.21,,3.087,0,2.27,6,0,2.78,2.21,2.47,,3.087,0,0,4.76,2.5,7.5,2.95,3.22,,3.087,2.86,0,2.04,2.44,0,1.47,1.37,,,,
,3.234,0,0,0,0,0,0,0,,3.234,0,0,0,0,0,0,0,,3.234,0,0,0,0,1.92,0.38,0.86,,3.234,0,0,0,4.17,0,0.83,1.86,,3.234,0,0,2.38,5,12.5,3.98,5.19,,3.234,2.86,0,0,0,0,0.57,1.28,,,,
,3.381,0,0,0,0,0,0,0,,3.381,0,0,0,0,0,0,0,,3.381,0,0,0,0,3.85,0.77,1.72,,3.381,0,2.27,6,0,2.78,2.21,2.47,,3.381,0,0,2.38,0,2.5,0.98,1.34,,3.381,2.86,2.33,0,0,3.03,1.64,1.52,,,,
,3.528,0,0,0,0,0,0,0,,3.528,0,0,0,0,0,0,0,,3.528,0,0,2.08,0,0,0.42,0.93,,3.528,0,0,0,0,0,0,0,,3.528,0,0,0,5,5,2,2.74,,3.528,0,2.33,2.04,0,3.03,1.48,1.4,,,,
,3.675,0,0,0,0,0,0,0,,3.675,0,0,0,0,0,0,0,,3.675,2.33,0,0,2.08,0,0.88,1.21,,3.675,0,0,0,0,2.78,0.56,1.24,,3.675,0,9.52,0,0,2.5,2.4,4.12,,3.675,0,0,2.04,2.44,0,0.9,1.23,,,,
,3.822,0,0,0,0,0,0,0,,3.822,0,0,0,0,0,0,0,,3.822,2.33,0,0,2.08,0,0.88,1.21,,3.822,2.56,0,0,0,0,0.51,1.15,,3.822,0,4.76,0,0,0,0.95,2.13,,3.822,0,0,2.04,2.44,0,0.9,1.23,,,,
,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,3.969,0,2.33,2.08,0,0,0.88,1.21,,3.969,0,0,0,0,2.78,0.56,1.24,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,,,
,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,4.55,0,0,2.78,1.46,2.1,,4.116,0,4.76,0,0,0,0.95,2.13,,4.116,0,0,0,0,0,0,0,,,,
,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,,4.263,2.56,0,0,0,0,0.51,1.15,,4.263,2.78,4.76,0,2.5,5,3.01,2.03,,4.263,0,0,0,0,0,0,0,,,,
,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,3.03,0.61,1.36,,,,
,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,2.08,0,0.42,0.93,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,2.5,0,0.5,1.12,,4.557,0,0,2.04,0,0,0.41,0.91,,,,
,4.704,0,0,0,0,0,0,0,,4.704,0,0,0,0,0,0,0,,4.704,0,0,0,0,0,0,0,,4.704,0,0,0,0,0,0,0,,4.704,0,4.76,0,0,0,0.95,2.13,,4.704,0,0,0,2.44,0,0.49,1.09,,,,
,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,2.08,0,0.42,0.93,,4.851,0,0,2,0,0,0.4,0.89,,4.851,0,4.76,0,0,0,0.95,2.13,,4.851,0,0,0,0,0,0,0,,,,
,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,2.78,0.56,1.24,,4.998,0,0,2.38,0,0,0.48,1.06,,4.998,0,0,0,2.44,0,0.49,1.09,,,,
,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,2.38,0,0,0.48,1.06,,5.145,0,0,0,0,0,0,0,,,,
,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,2.5,0.5,1.12,,5.292,0,0,0,0,3.03,0.61,1.36,,,,
,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,2.78,0.56,1.24,,5.439,0,4.76,0,0,2.5,1.45,2.14,,5.439,0,0,0,2.44,0,0.49,1.09,,,,
,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,,,
,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,2.56,0,0,0,0,0.51,1.15,,5.733,0,0,0,2.5,0,0.5,1.12,,5.733,0,0,0,0,0,0,0,,,,
,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,5.88,2.56,0,0,0,0,0.51,1.15,,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
