,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ca2+-triggered fusion levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.441,15.91,6.25,2.33,,6.06,7.69,7.65,5.03,,0.441,3.33,2.28,7.3,4.3,2.65,,0.441,0,11.63,6.12,4.88,0,4.53,4.85,,0.441,6.38,8.64,4.12,6.38,2.26,,0.441,5.52,6.32,4.72,4.52,5.13,5.24,0.64,,0.441,4.04,5.86,2.21,4.04,1.83
0.588,2.27,0,6.98,,0,5.13,2.88,3.11,,0.588,2.85,1.38,2.74,2.32,0.82,,0.588,0,6.98,8.16,4.88,0,4,3.84,,0.588,3.56,4.33,4.78,4.22,0.62,,0.588,5.44,6.33,4.56,4.07,5.99,5.28,0.85,,0.588,2.44,3.22,1.66,2.44,0.78
0.735,4.55,8.33,4.65,,0,0,3.51,3.55,,0.735,1.49,1.6,1.95,1.68,0.24,,0.735,2.86,4.65,6.12,7.32,3.03,4.8,1.94,,0.735,2.7,3.54,3.87,3.37,0.6,,0.735,5.26,6.72,3.8,3.13,5.09,4.8,1.25,,0.735,2.87,0,2.01,1.63,1.47
0.882,0,4.17,2.33,,6.06,2.56,3.02,2.26,,0.882,1.85,1.34,3.6,2.26,1.18,,0.882,8.57,2.33,8.16,12.2,6.06,7.46,3.62,,0.882,2.17,3.4,4.94,3.5,1.39,,0.882,5.08,5.96,4.2,3.48,5.41,4.83,0.88,,0.882,3.31,0,2.43,1.91,1.72
1.029,0,0,0,,6.06,0,1.21,2.71,,1.029,1.73,0.69,2.02,1.48,0.7,,1.029,8.57,0,4.08,2.44,0,3.02,3.55,,1.029,6.76,0,2.11,2.95,3.46,,1.029,3.35,4.2,2.49,3.64,3.66,3.47,0.56,,1.029,3.48,5.04,1.91,3.48,1.57
1.176,2.27,0,0,,3.03,0,1.06,1.48,,1.176,2.74,0.21,1.26,1.41,1.27,,1.176,2.86,0,12.24,4.88,0,4,5.05,,1.176,3.78,0,1.92,1.9,1.89,,1.176,5.3,6.82,3.79,3.32,4.39,4.72,1.24,,1.176,1.13,1.88,2.37,1.79,0.63
1.323,0,2.08,9.3,,3.03,0,2.88,3.82,,1.323,3.1,0,2.28,1.79,1.61,,1.323,2.86,2.33,4.08,2.44,12.12,4.76,4.17,,1.323,1.29,2.23,2.34,1.95,0.58,,1.323,2.5,3.28,3.71,3.03,3.38,3.18,0.41,,1.323,5.67,6.36,4.97,5.67,0.7
1.47,0,0,0,,0,0,0,0,,1.47,0,0,0,0,0,,1.47,11.43,6.98,6.12,0,9.09,6.72,4.28,,1.47,2.2,2.95,5.46,3.53,1.71,,1.47,4.16,5.91,2.42,5.02,7.35,4.97,1.66,,1.47,1.37,1.98,2.77,2.04,0.7
1.617,0,0,0,,0,0,0,0,,1.617,0,0,0,0,0,,1.617,8.57,4.65,2.04,2.44,6.06,4.75,2.69,,1.617,1.52,2.22,1.82,1.86,0.35,,1.617,2.74,4,1.48,3.34,1.22,2.56,1.07,,1.617,1.87,2.38,1.35,1.87,0.51
1.764,0,0,0,,0,2.56,0.51,1.15,,1.764,1,0.29,0.85,0.72,0.37,,1.764,2.86,4.65,6.12,0,6.06,3.94,2.57,,1.764,2.62,0,0.61,1.08,1.37,,1.764,3.2,0,2.9,5.28,5.3,3.34,1.95,,1.764,2.87,0,1.84,1.57,1.46
1.911,0,0,2.33,,0,2.56,0.98,1.34,,1.911,1.45,0,1.11,0.86,0.76,,1.911,5.71,9.3,4.08,2.44,9.09,6.13,3.03,,1.911,2.43,3.83,1.04,2.43,1.4,,1.911,2.53,2.8,2.26,3.31,2.82,2.74,0.35,,1.911,1.49,2.13,2.86,2.16,0.68
2.058,0,0,2.33,,0,0,0.47,1.04,,2.058,1.3,0.78,0.26,0.78,0.52,,2.058,0,2.33,2.04,0,9.09,2.69,3.74,,2.058,2.39,4.05,3.73,3.39,0.88,,2.058,1.32,1.87,2.77,1.29,2.05,1.86,0.54,,2.058,2.05,3.19,3.91,3.05,0.94
2.205,0,0,0,,0,0,0,0,,2.205,0,0,0,0,0,,2.205,2.86,2.33,0,2.44,3.03,2.13,1.23,,2.205,4.18,0,2.13,2.1,2.09,,2.205,2.25,2.94,1.56,2.46,3.02,2.45,0.53,,2.205,1.48,2.4,3.55,2.48,1.04
2.352,0,0,0,,0,0,0,0,,2.352,0,0,0,0,0,,2.352,8.57,4.65,2.04,2.44,0,3.54,3.26,,2.352,2.19,3.22,1.15,2.19,1.03,,2.352,1.21,1.71,0.71,1.52,1.69,1.37,0.37,,2.352,0.74,1.48,0,0.74,0.74
2.499,0,0,0,,0,0,0,0,,2.499,0,0,0,0,0,,2.499,0,6.98,4.08,0,0,2.21,3.2,,2.499,1.25,2.17,0.34,1.25,0.91,,2.499,1.63,0,2.92,1.71,1.3,1.51,0.94,,2.499,0.44,2.89,0,1.11,1.56
2.646,0,0,0,,0,0,0,0,,2.646,0,0,0,0,0,,2.646,2.86,2.33,0,0,0,1.04,1.43,,2.646,0,0,0,0,0,,2.646,1.37,2.26,0.48,1.3,0,1.08,0.78,,2.646,0.38,0.75,0,0.38,0.38
2.793,0,0,0,,0,0,0,0,,2.793,0,0,0,0,0,,2.793,2.86,2.33,4.08,2.44,0,2.34,1.48,,2.793,2.55,3.86,1.23,2.55,1.31,,2.793,1.32,1.87,3.77,2.12,0.24,1.87,1.15,,2.793,1.61,2.33,0.9,1.61,0.71
2.94,2.27,0,0,,0,0,0.45,1.02,,2.94,1.27,0,0.25,0.51,0.67,,2.94,2.86,4.65,4.08,0,9.09,4.14,3.3,,2.94,4.07,0,4.45,2.84,2.47,,2.94,2.65,4.04,1.26,4.05,0.3,2.46,1.49,,2.94,1.68,2.89,0.46,1.68,1.22
3.087,0,0,0,,0,0,0,0,,3.087,0,0,0,0,0,,3.087,2.86,0,2.04,2.44,0,1.47,1.37,,3.087,2.21,1.45,2.97,2.21,0.76,,3.087,0.36,0,0,0.39,0,0.15,0.18,,3.087,0,0,0,0,0
3.234,0,0,0,,0,0,0,0,,3.234,0,0,0,0,0,,3.234,2.86,0,0,0,0,0.57,1.28,,3.234,0.83,1.77,0,0.87,0.88,,3.234,0.97,1.56,0.37,1.48,0.79,1.03,0.44,,3.234,0,0,0,0,0
3.381,0,0,0,,0,0,0,0,,3.381,0,0,0,0,0,,3.381,2.86,2.33,0,0,3.03,1.64,1.52,,3.381,2.21,3.45,3.97,3.21,0.91,,3.381,0,0,0,0,0,0,0,,3.381,0.63,0,0,0.21,0.36
3.528,0,0,0,,0,0,0,0,,3.528,0,0,0,0,0,,3.528,0,2.33,2.04,0,3.03,1.48,1.4,,3.528,0,0,0,0,0,,3.528,0.79,1.28,1.3,0.66,0.26,0.86,0.4,,3.528,0,0,0,0,0
3.675,0,0,0,,0,0,0,0,,3.675,0,0,0,0,0,,3.675,0,0,2.04,2.44,0,0.9,1.23,,3.675,0.56,1.18,1.67,1.14,0.56,,3.675,0.36,0,0,0.79,0.54,0.34,0.31,,3.675,0,0,0,0,0
3.822,0,0,0,,0,0,0,0,,3.822,0,0,0,0,0,,3.822,0,0,2.04,2.44,0,0.9,1.23,,3.822,0,0,0,0,0,,3.822,1.26,1.78,3.74,0.42,1.21,1.68,1.12,,3.822,0,0,0,0,0
3.969,0,0,0,,0,0,0,0,,3.969,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0
4.116,0,0,0,,0,0,0,0,,4.116,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0
4.263,0,0,0,,0,0,0,0,,4.263,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,,4.263,0.51,1.09,0,0.53,0.54,,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0
4.41,0,0,0,,0,0,0,0,,4.41,0,0,0,0,0,,4.41,0,0,0,0,3.03,0.61,1.36,,4.41,0,0,0,0,0,,4.41,0.85,1.37,0.33,0.49,0.25,0.66,0.41,,4.41,0.63,0,0,0.21,0.36
4.557,0,0,0,,0,0,0,0,,4.557,0,0,0,0,0,,4.557,0,0,2.04,0,0,0.41,0.91,,4.557,0,0,0,0,0,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0
4.704,0,0,0,,0,0,0,0,,4.704,0,0,0,0,0,,4.704,0,0,0,2.44,0,0.49,1.09,,4.704,0,0,0,0,0,,4.704,0.97,1.56,0.37,1.11,0.93,0.99,0.38,,4.704,0,0,0,0,0
4.851,0,0,0,,0,0,0,0,,4.851,0,0,0,0,0,,4.851,0,0,0,0,0,0,0,,4.851,0.4,0.85,0,0.42,0.42,,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0
4.998,0,0,0,,0,0,0,0,,4.998,0,0,0,0,0,,4.998,0,0,0,2.44,0,0.49,1.09,,4.998,0.56,1.18,0,0.58,0.59,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0
5.145,0,0,0,,0,0,0,0,,5.145,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0
5.292,0,0,0,,0,0,0,0,,5.292,0,0,0,0,0,,5.292,0,0,0,0,3.03,0.61,1.36,,5.292,0,0,0,0,0,,5.292,0.42,0.83,0,0.35,0.41,0.4,0.26,,5.292,0,0,0,0,0
5.439,0,0,0,,0,0,0,0,,5.439,0,0,0,0,0,,5.439,0,0,0,2.44,0,0.49,1.09,,5.439,0.56,1.18,0,0.58,0.59,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0
5.586,0,0,0,,0,0,0,0,,5.586,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0
5.733,0,0,0,,0,0,0,0,,5.733,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0
5.88,0,0,0,,0,0,0,0,,5.88,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,,5.88,0.42,0.83,0,0,0.57,0.36,0.33,,5.88,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source block C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modeing Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Output (Complete Data),,,,,,,,,,Model Output (Select Data + Temporal blurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),Calcium Signal,,,,Cumulative Fusion Probability,,,,,Time (sec),Calcium Signal,,,Cumulative Fusion Probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6806806999999999,0,0.5,1,,4.38,4.62,5.390000000000001,,,-0.64,0,0.5,1,4.453333333333333,4.72,5.476666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6606606999999999,0,0.5,1,,4.3999999999999995,4.65,5.41,,,-0.48,0,0.5,1,4.52,4.79,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6406407,0,0.5,1,,4.42,4.6899999999999995,5.43,,,-0.32,0,0.5,1,4.6499999999999995,4.93,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6206205999999997,0,0.5,1,,4.43,4.7,5.4399999999999995,,,-0.16,0,0.5,1,4.836666666666667,5.090000000000001,6.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6006005999999997,0,0.5,1,,4.45,4.71,5.46,,,0,0,0.5,1,5.086666666666667,5.253333333333334,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5805806000000002,0,0.5,1,,4.46,4.72,5.47,,,0.16,2.1737,2.1946,2.2155,6.163333333333333,7.390000000000001,15.653333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5605605999999997,0,0.5,1,,4.4799999999999995,4.74,5.489999999999999,,,0.32,21.9782,21.9782,21.9782,8.636666666666667,12.663333333333332,27.830000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5405405999999994,0,0.5,1,,4.49,4.75,5.5,,,0.48,61.2545,61.2545,61.2545,13.87,21.009999999999998,42.98333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5205204999999996,0,0.5,1,,4.5,4.760000000000001,5.52,,,0.64,83.1172,83.1172,83.1172,21.156666666666666,29.97333333333333,51.663333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5005005000000001,0,0.5,1,,4.51,4.77,5.54,,,0.8,92.862,92.862,92.862,30.016666666666666,38.67,59.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.48048049999999964,0,0.5,1,,4.52,4.78,5.57,,,0.96,96.2223,96.2223,96.2223,38.89666666666667,46.61333333333334,66.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46046050000000016,0,0.5,1,,4.54,4.8,5.6000000000000005,,,1.12,97.9515,97.9515,97.9515,47.35333333333333,54.15666666666667,72.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4404404999999997,0,0.5,1,,4.55,4.81,5.62,,,1.28,99.0825,99.0825,99.0825,54.74,60.666666666666664,77.36666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.42042039999999997,0,0.5,1,,4.5600000000000005,4.82,5.67,,,1.44,99.6633,99.6633,99.6633,61.593333333333334,67.27,81.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.40040039999999955,0,0.5,1,,4.569999999999999,4.84,5.71,,,1.6,99.6574,99.6574,99.6574,67.5,73.09333333333335,84.59333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3803804,0,0.5,1,,4.58,4.8500000000000005,5.81,,,1.76,99.9465,99.9465,99.9465,72.61333333333333,78.2,87.64333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3603603999999996,0,0.5,1,,4.590000000000001,4.87,5.88,,,1.92,100,100,100,76.83999999999999,81.72000000000001,89.92666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.34034040000000004,0,0.5,1,,4.6,4.88,6.04,,,2.08,100,100,100,80.60000000000001,84.56333333333335,91.74333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3203202999999994,0,0.5,1,,4.62,4.9,6.069999999999999,,,2.24,100,100,100,84.02,86.98666666666668,92.97666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.30030029999999985,0,0.5,1,,4.63,4.92,6.09,,,2.4,100,100,100,86.73333333333333,89.13999999999999,93.98333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2802802999999994,0,0.5,1,,4.64,4.95,6.12,,,2.56,100,100,100,88.86,90.89999999999999,95.04333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2602602999999999,0,0.5,1,,4.65,4.9799999999999995,6.15,,,2.72,100,100,100,90.68333333333334,92.29333333333334,95.92999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2402402999999995,0,0.5,1,,4.66,5,6.15,,,2.88,100,100,100,92.24333333333333,93.51,96.64999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.22022019999999976,0,0.5,1,,4.67,5.029999999999999,6.16,,,3.04,100,100,100,93.67,94.72666666666667,97.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.20020020000000022,0,0.5,1,,4.68,5.06,6.17,,,3.2,100,100,100,94.83,95.83666666666666,97.54666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1801801999999998,0,0.5,1,,4.8,5.09,6.18,,,3.36,100,100,100,95.87666666666667,96.75666666666666,97.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16016019999999934,0,0.5,1,,4.81,5.11,6.18,,,3.52,100,100,100,96.72666666666667,97.41333333333334,98.28666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.14014019999999983,0,0.5,1,,4.82,5.13,6.1899999999999995,,,3.68,100,100,100,97.58333333333333,97.82,98.60666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12012010000000009,0,0.5,1,,4.84,5.140000000000001,6.2,,,3.84,100,100,100,98.17666666666666,98.11666666666666,98.91333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10010009999999965,0,0.5,1,,4.8500000000000005,5.1499999999999995,6.21,,,4,100,100,100,98.69,98.36333333333334,99.15333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08008010000000013,0,0.5,1,,4.859999999999999,5.17,6.22,,,4.16,100,100,100,98.96666666666665,98.67666666666666,99.33666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06006009999999969,0,0.5,1,,4.88,5.18,6.22,,,4.32,100,100,100,99.13333333333333,98.86666666666667,99.43666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04004010000000017,0,0.5,1,,4.89,5.19,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020019999999999528,0,0.5,1,,5.0200000000000005,5.21,6.239999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.5,1,,5.08,5.26,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020020000000000437,0.0109,0.5085,1.0061,,5.19,5.3100000000000005,6.2700000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.040039999999999965,0.3198,0.7494,1.1789,,5.2299999999999995,5.319999999999999,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0600600000000004,0.6288,0.9902,1.3516,,5.25,5.33,6.329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08008010000000013,0.9378,1.2311,1.5244,,5.28,5.35,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10010010000000057,1.2467,1.472,1.6972,,5.3,5.36,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12012010000000009,1.5557,1.7128,1.87,,5.319999999999999,5.37,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14014010000000052,1.8647,1.9537,2.0427,,5.35,5.38,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16016010000000006,2.1737,2.1946,2.2155,,5.37,5.390000000000001,6.710000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1801801999999998,3.9568,3.9568,3.9568,,5.390000000000001,5.4,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20020020000000022,6.3943,6.3943,6.3943,,5.41,5.41,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22022020000000067,8.8319,8.8319,8.8319,,5.47,5.82,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.24024020000000018,11.2695,11.2695,11.2695,,5.7299999999999995,6.65,16.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2602602000000006,13.707,13.707,13.707,,6.279999999999999,7.31,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.28028030000000037,16.1446,16.1446,16.1446,,7.01,8.59,26.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30030029999999985,18.5822,18.5822,18.5822,,7.48,10.18,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32032030000000034,21.9782,21.9782,21.9782,,8.04,11.52,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3403402999999998,27.155,27.155,27.155,,8.34,12.58,36.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3603603000000003,32.3319,32.3319,32.3319,,8.66,14.430000000000001,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3803804,37.5087,37.5087,37.5087,,9.19,15.36,38.129999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40040040000000043,42.6855,42.6855,42.6855,,9.82,15.920000000000002,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42042039999999997,47.8624,47.8624,47.8624,,10.299999999999999,17.02,40.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4404404000000004,53.0392,53.0392,53.0392,,11.540000000000001,18.47,41.589999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46046039999999994,58.2007,58.2007,58.2007,,12.11,19.54,42.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4804805000000006,61.2545,61.2545,61.2545,,12.5,21.08,42.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5005005000000001,64.3083,64.3083,64.3083,,12.950000000000001,22.23,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5205205000000005,67.3622,67.3622,67.3622,,13.71,23.16,45.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5405405000000001,70.416,70.416,70.416,,14.580000000000002,24.58,45.989999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5605605000000005,73.4698,73.4698,73.4698,,16,25.869999999999997,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5805806000000002,76.5237,76.5237,76.5237,,16.97,27.07,48.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6006005999999997,79.5775,79.5775,79.5775,,18.19,28.49,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6206206000000002,81.606,81.606,81.606,,19.59,29.24,50.839999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6406406000000007,83.1172,83.1172,83.1172,,21.07,30.43,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6606606000000002,84.6283,84.6283,84.6283,,22.259999999999998,31.929999999999996,53.06999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6806806999999999,86.1394,86.1394,86.1394,,23.54,32.83,54.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7007007000000003,87.6505,87.6505,87.6505,,24.37,33.98,55.78999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7207206999999999,89.1616,89.1616,89.1616,,25.080000000000002,34.510000000000005,57.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7407407000000003,90.6727,90.6727,90.6727,,26.6,35.36,57.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7607606999999998,91.8588,91.8588,91.8588,,28.22,36.46,58.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
