,,,,,,,,,,,,,,,,,,,,,
Source block A,,,,,,,,,,,,,,,,,,,,,
,Survival Analysis,,,,,,,,,,,,,,,,,,,,
,4.851,11.17,10.59,12.85,11.53,1.17,,4.851,36.87,37.04,37.67,37.19,0.42,,4.851,92.62,92.53,92.36,92.5,0.13,
,4.998,11.17,10.59,12.85,11.53,1.17,,4.998,36.87,36.8,37.67,37.11,0.49,,4.998,92.62,92.14,92.36,92.37,0.24,
,5.145,11.17,10.59,12.85,11.53,1.17,,5.145,36.87,36.74,37.67,37.09,0.51,,5.145,92.62,92.14,92.36,92.37,0.24,
,5.292,11.17,10.59,12.85,11.53,1.17,,5.292,36.87,36.56,37.67,37.03,0.58,,5.292,92.62,92.14,92.36,92.37,0.24,
,5.439,11.17,10.59,12.85,11.53,1.17,,5.439,36.87,36.49,37.67,37.01,0.61,,5.439,92.62,92.14,92.36,92.37,0.24,
,5.586,11.17,10.59,12.85,11.53,1.17,,5.586,36.87,36.48,37.67,37.01,0.61,,5.586,92.62,92.14,92.36,92.37,0.24,
,5.733,11.17,10.59,12.85,11.53,1.17,,5.733,36.87,36.37,36.62,36.62,0.25,,5.733,92.62,92.14,92.36,92.37,0.24,
,5.88,11.17,10.59,12.85,11.53,1.17,,5.88,35.87,36.37,36.62,36.29,0.38,,5.88,92.62,92.14,92.36,92.37,0.24,
,6.027,11.17,10.59,12.85,11.53,1.17,,6.027,35.87,36.37,36.62,36.29,0.38,,6.027,92.62,92.14,92.36,92.37,0.24,
,6.174,11.17,10.59,12.85,11.53,1.17,,6.174,35.87,36.37,36.62,36.29,0.38,,6.174,92.62,92.14,92.36,92.37,0.24,
,6.321,11.17,10.59,12.85,11.53,1.17,,6.321,35.87,36.37,36.62,36.29,0.38,,6.321,92.62,92.14,91.36,92.04,0.64,
,6.468,11.17,10.59,12.85,11.53,1.17,,6.468,35.87,36.37,36.62,36.29,0.38,,6.468,92.62,90.03,91.31,91.32,1.3,
,6.615,11.17,10.59,12.85,11.53,1.17,,6.615,35.87,36.37,36.62,36.29,0.38,,6.615,92.19,89.8,91.21,91.06,1.2,
,6.762,11.17,10.59,12.85,11.53,1.17,,6.762,35.87,35.42,36.62,35.97,0.61,,6.762,92.19,89.73,91.21,91.04,1.24,
,6.909,11.17,10.59,12.85,11.53,1.17,,6.909,35.87,35.33,36.62,35.94,0.65,,6.909,92.19,89.69,91.21,91.03,1.26,
,7.056,11.17,10.59,12.85,11.53,1.17,,7.056,35.87,35,36.62,35.83,0.82,,7.056,92.19,89.51,91.21,90.97,1.36,
,7.203,11.17,10.59,12.85,11.53,1.17,,7.203,35.87,34.8,36.62,35.77,0.92,,7.203,92.19,89.28,91.21,90.89,1.48,
,7.35,11.17,10.59,12.85,11.53,1.17,,7.35,34.87,34.72,36.62,35.4,1.06,,7.35,92.19,89.24,91.21,90.88,1.5,
,7.497,11.17,10.59,12.85,11.53,1.17,,7.497,34.87,34.6,36.62,35.36,1.1,,7.497,92.19,89.24,91.21,90.88,1.5,
,7.644,11.17,10.59,12.85,11.53,1.17,,7.644,34.87,34.44,36.62,35.31,1.16,,7.644,92.19,89.24,91.21,90.88,1.5,
,7.791,11.17,10.59,12.85,11.53,1.17,,7.791,34.87,34.37,36.62,35.29,1.18,,7.791,92.19,89.24,91.21,90.88,1.5,
,7.938,11.17,10.59,12.85,11.53,1.17,,7.938,34.87,34.25,36.62,35.25,1.23,,7.938,92.19,89.24,91.21,90.88,1.5,
,8.085,11.17,10.59,12.85,11.53,1.17,,8.085,34.87,34.22,36.62,35.24,1.24,,8.085,92.19,89.24,91.21,90.88,1.5,
,8.232,11.17,10.59,12.85,11.53,1.17,,8.232,34.87,34.19,36.62,35.23,1.26,,8.232,92.19,89.24,91.21,90.88,1.5,
,8.379,11.17,10.59,12.85,11.53,1.17,,8.379,34.87,34.1,36.62,35.2,1.29,,8.379,92.19,89.24,91.21,90.88,1.5,
,8.526,11.17,10.59,12.85,11.53,1.17,,8.526,34.87,33.99,36.62,35.16,1.34,,8.526,92.19,89.24,91.21,90.88,1.5,
,8.673,11.17,10.59,12.85,11.53,1.17,,8.673,34.87,33.99,36.62,35.16,1.34,,8.673,92.19,89.24,91.21,90.88,1.5,
,8.82,11.17,10.59,12.85,11.53,1.17,,8.82,34.87,33.99,36.62,35.16,1.34,,8.82,92.19,89.24,91.21,90.88,1.5,
,8.967,11.17,10.59,12.85,11.53,1.17,,8.967,34.87,33.99,36.62,35.16,1.34,,8.967,92.19,89.24,91.21,90.88,1.5,
,9.114,11.17,10.59,12.85,11.53,1.17,,9.114,34.87,33.99,36.62,35.16,1.34,,9.114,92.19,89.24,91.21,90.88,1.5,
,9.261,11.17,10.59,12.85,11.53,1.17,,9.261,34.87,33.99,36.62,35.16,1.34,,9.261,92.19,89.24,91.21,90.88,1.5,
,9.408,11.17,10.59,12.58,11.45,1.03,,9.408,34.87,33.99,36.62,35.16,1.34,,9.408,92.19,89.24,91.21,90.88,1.5,
,9.555,11.17,10.59,10.91,10.89,0.29,,9.555,34.87,33.99,36.62,35.16,1.34,,9.555,92.19,89.24,91.21,90.88,1.5,
,9.702,11.17,10.59,8.6,10.12,1.35,,9.702,34.87,33.99,36.62,35.16,1.34,,9.702,92.19,89.24,91.21,90.88,1.5,
,9.849,11.17,10.59,8.26,10,1.54,,9.849,34.87,33.99,36.62,35.16,1.34,,9.849,92.19,89.24,91.21,90.88,1.5,
,9.996,11.17,7.7,8.17,9.01,1.88,,9.996,34.87,33.99,36.62,35.16,1.34,,9.996,92.19,89.24,91.21,90.88,1.5,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source block B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ca2+-triggered fusion levels,,,,,,,,,,,,,,,,,,,,,
Included in bilayer,Fusion %,,,,,,,,,,,,,,,,,,,,
,run1,run2,run3,Mean,S.D.,,,,,,,,,,,,,,,,
None,4.1,5.7,2.5,4.1000000000000005,1.5999999999999985,,,,,,,,,,,,,,,,
1:800 SensorB ,90.5,87.7,93.3,90.5,2.799999999999997,,,,,,,,,,,,,,,,
1:200 SensorB,91.5,94.1,88.9,91.5,2.5999999999999943,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source block C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ca2+-triggered fusion kinetics,,,,,,,,,,,,,,,,,,,,,
Included in bilayer,1:200 SensorB,,,,,,,1:800 SensorB,,,,,,,,,,,,,
,Fusion frequency %,,,,,,,Fusion frequency %,,,,,,,,,,,,,
,bins (s),run1,run2,run3,Mean,S.D.,,bins (s),run1,run2,run3,Mean,S.D.,,,,,,,,
,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,
,0.147,6.42,4.08,8.77,6.42,2.35,,0.147,8.22,9.7,6.75,8.22,1.47,,,,,,,,
,0.294,1.91,0.6,3.21,1.91,1.31,,0.294,3.06,4.25,1.87,3.06,1.19,,,,,,,,
,0.441,4.53,2.1,6.95,4.53,2.42,,0.441,4.13,5.19,3.06,4.13,1.06,,,,,,,,
,0.588,4,2.08,5.92,4,1.92,,0.588,4.36,5.89,2.84,4.36,1.52,,,,,,,,
,0.735,4.8,3.83,5.76,4.8,0.97,,0.735,3.21,4.72,1.7,3.21,1.51,,,,,,,,
,0.882,7.46,5.65,9.27,7.46,1.81,,0.882,2.36,3.07,1.65,2.36,0.71,,,,,,,,
,1.029,3.02,1.24,4.8,3.02,1.78,,1.029,2.01,2.87,1.16,2.01,0.86,,,,,,,,
,1.176,4,1.47,6.52,4,2.53,,1.176,3.52,4.81,2.23,3.52,1.29,,,,,,,,
,1.323,4.76,2.68,6.85,4.76,2.09,,1.323,2.81,3.67,1.96,2.81,0.85,,,,,,,,
,1.47,6.72,4.58,8.87,6.72,2.14,,1.47,2.12,3.21,1.03,2.12,1.09,,,,,,,,
,1.617,4.75,3.41,6.1,4.75,1.35,,1.617,3.81,5.02,2.6,3.81,1.21,,,,,,,,
,1.764,3.94,2.65,5.22,3.94,1.29,,1.764,0.91,1.9,0.08,0.96,0.91,,,,,,,,
,1.911,6.13,4.61,7.64,6.13,1.52,,1.911,1.03,2.07,0.02,1.04,1.03,,,,,,,,
,2.058,2.69,0.82,4.56,2.69,1.87,,2.058,3.64,5.11,2.18,3.64,1.46,,,,,,,,
,2.205,2.13,1.52,2.74,2.13,0.61,,2.205,2.59,3.51,1.66,2.59,0.92,,,,,,,,
,2.352,3.54,1.91,5.17,3.54,1.63,,2.352,0.9,1.7,0.09,0.9,0.81,,,,,,,,
,2.499,2.21,0.61,3.81,2.21,1.6,,2.499,1.9,2.94,0.85,1.9,1.05,,,,,,,,
,2.646,1.04,0.32,1.75,1.04,0.72,,2.646,1.61,2.8,0.41,1.61,1.2,,,,,,,,
,2.793,2.34,1.6,3.08,2.34,0.74,,2.793,0.41,1.2,0.38,0.66,0.46,,,,,,,,
,2.94,4.14,2.49,5.79,4.14,1.65,,2.94,3.91,4.51,3.31,3.91,0.6,,,,,,,,
,3.087,1.47,0.78,2.15,1.47,0.69,,3.087,1.63,2.72,0.54,1.63,1.09,,,,,,,,
,3.234,0.57,0.07,1.21,0.62,0.57,,3.234,0.42,1.95,1.12,1.16,0.77,,,,,,,,
,3.381,1.64,0.88,2.4,1.64,0.76,,3.381,3.36,4.03,2.68,3.36,0.68,,,,,,,,
,3.528,1.48,0.78,2.18,1.48,0.7,,3.528,2.31,3.54,1.09,2.31,1.22,,,,,,,,
,3.675,0.9,0.28,1.51,0.9,0.62,,3.675,1.77,3.29,0.24,1.77,1.53,,,,,,,,
,3.822,0.9,0.28,1.51,0.9,0.62,,3.822,4.01,5.03,2.99,4.01,1.02,,,,,,,,
,3.969,0.86,0.76,0.96,0.86,0.1,,3.969,0.74,1.98,0.49,1.07,0.79,,,,,,,,
,4.116,0.76,0.66,0.86,0.76,0.1,,4.116,4.74,5.57,3.91,4.74,0.83,,,,,,,,
,4.263,0.26,0.16,0.36,0.26,0.1,,4.263,1.68,2.61,0.75,1.68,0.93,,,,,,,,
,4.41,0.61,0.07,1.28,0.65,0.61,,4.41,0.52,1.7,0.65,0.96,0.64,,,,,,,,
,4.557,0.41,0.05,0.86,0.44,0.41,,4.557,1.13,2.18,0.08,1.13,1.05,,,,,,,,
,4.704,0.49,0.06,1.03,0.53,0.49,,4.704,1.66,2.89,0.43,1.66,1.23,,,,,,,,
,4.851,0.25,0.15,0.65,0.35,0.26,,4.851,5.27,6.69,3.84,5.27,1.43,,,,,,,,
,4.998,0.49,0.06,1.03,0.53,0.49,,4.998,0.74,2.09,0.62,1.15,0.82,,,,,,,,
,5.145,0.27,0,0.27,0.18,0.16,,5.145,0.99,1.85,0.13,0.99,0.86,,,,,,,,
