,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Included in Bilayer ,Total Fusion,,,,,,,,Fusion in first two frames,,,,,,,,,,,,,,,,,
,run1,run2,run3,run4,run5,Mean,S.D.,,run1,run2,run3,run4,run5,Mean,S.D.,,,,,,,,,,,
,2.205,0,0,0,0,0,0,0,,2.205,0,0,0,0,0,0,0,,2.205,0,0,0,0,0,0,0
,2.352,0,0,0,0,0,0,0,,2.352,0,0,0,0,0,0,0,,2.352,0,0,0,0,0,0,0
,2.499,0,0,0,0,0,0,0,,2.499,0,0,0,0,0,0,0,,2.499,0,0,0,0,0,0,0
,2.646,0,0,0,0,0,0,0,,2.646,0,0,0,0,0,0,0,,2.646,0,0,0,0,0,0,0
,2.793,0,0,0,0,0,0,0,,2.793,0,0,0,0,0,0,0,,2.793,0,0,0,0,0,0,0
,2.94,2.27,0,0,0,0,0.45,1.02,,2.94,0,0,0,0,0,0,0,,2.94,0,0,0,0,0,0,0
,3.087,0,0,0,0,0,0,0,,3.087,0,0,0,0,0,0,0,,3.087,0,0,0,0,0,0,0
,3.234,0,0,0,0,0,0,0,,3.234,0,0,0,0,0,0,0,,3.234,0,0,0,0,0,0,0
,3.381,0,0,0,0,0,0,0,,3.381,0,0,0,0,0,0,0,,3.381,0,0,0,0,0,0,0
,3.528,0,0,0,0,0,0,0,,3.528,0,0,0,0,0,0,0,,3.528,0,0,0,0,0,0,0
,3.675,0,0,0,0,0,0,0,,3.675,0,0,0,0,0,0,0,,3.675,0,0,0,0,0,0,0
,3.822,0,0,0,0,0,0,0,,3.822,0,0,0,0,0,0,0,,3.822,0,0,0,0,0,0,0
,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0,,3.969,0,0,0,0,0,0,0
,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0,,4.116,0,0,0,0,0,0,0
,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0,,4.263,0,0,0,0,0,0,0
,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0,,4.41,0,0,0,0,0,0,0
,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0,0,0,,4.557,0,0,0,0,0,0,0
,4.704,0,0,0,0,0,0,0,,4.704,0,0,0,0,0,0,0,,4.704,0,0,0,0,0,0,0
,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0,0,0,,4.851,0,0,0,0,0,0,0
,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0,,4.998,0,0,0,0,0,0,0
,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0,,5.145,0,0,0,0,0,0,0
,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0,,5.292,0,0,0,0,0,0,0
,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0,,5.439,0,0,0,0,0,0,0
,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0,,5.586,0,0,0,0,0,0,0
,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0,,5.733,0,0,0,0,0,0,0
,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0,,5.88,0,0,0,0,0,0,0
