,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calcium Green Fluorescence Intensity,,,,,,,,Alexa 647N Fluorescence Intensity,,,,,,,,Transmittance,,,,,,
,3.822,0.124,0.06,0.004,0.063,0.25,0.06,,3.822,0.099,0.036,0.027,0.054,0.054,0.039,,3.822,0.904,0.983,0.919,0.935,0.951,0.042
,3.969,0.094,0.053,0.012,0.053,0.211,0.041,,3.969,0.054,0.039,0.024,0.039,0.039,0.015,,3.969,0.873,0.977,0.949,0.933,0.948,0.054
,4.116,0.143,0.048,0.047,0.079,0.318,0.055,,4.116,0.098,0.034,0.03,0.054,0.054,0.038,,4.116,0.842,0.958,0.878,0.893,0.907,0.059
,4.263,0.136,0.05,0.036,0.074,0.296,0.054,,4.263,0.045,0.039,0.033,0.039,0.039,0.006,,4.263,0.838,0.933,0.887,0.886,0.9,0.047
,4.41,0.097,0.053,0.009,0.053,0.212,0.044,,4.41,0.09,0.036,0.018,0.048,0.048,0.037,,4.41,0.79,0.906,0.857,0.851,0.865,0.058
,4.557,0.127,0.058,0.011,0.065,0.261,0.058,,4.557,0.062,0.035,0.008,0.035,0.036,0.027,,4.557,0.669,0.861,0.813,0.781,0.794,0.1
,4.704,0.067,0.049,0.031,0.049,0.195,0.018,,4.704,0.073,0.035,0.003,0.037,0.037,0.035,,4.704,0.775,0.853,0.825,0.818,0.831,0.039
,4.851,0.071,0.056,0.041,0.056,0.225,0.015,,4.851,0.074,0.057,0.04,0.057,0.058,0.017,,4.851,0.729,0.836,0.82,0.795,0.808,0.058
,4.998,0.303,0.226,0.149,0.226,0.904,0.077,,4.998,0.258,0.23,0.202,0.23,0.231,0.028,,4.998,0.694,0.836,0.784,0.771,0.784,0.072
,5.145,0.297,0.235,0.173,0.235,0.939,0.062,,5.145,0.615,0.597,0.579,0.597,0.599,0.018,,5.145,0.758,0.852,0.812,0.807,0.82,0.047
,5.292,0.26,0.243,0.226,0.243,0.972,0.017,,5.292,0.854,0.813,0.772,0.813,0.816,0.041,,5.292,0.759,0.872,0.843,0.825,0.838,0.058
,5.439,0.316,0.228,0.14,0.228,0.912,0.088,,5.439,0.963,0.92,0.877,0.92,0.924,0.043,,5.439,0.858,0.871,0.806,0.845,0.859,0.035
,5.586,0.248,0.229,0.21,0.229,0.917,0.019,,5.586,0.994,0.955,0.877,0.942,0.946,0.059,,5.586,0.741,0.905,0.856,0.834,0.848,0.084
,5.733,0.344,0.249,0.154,0.249,0.995,0.095,,5.733,0.998,0.975,0.897,0.957,0.961,0.053,,5.733,1,0.969,0.982,0.984,1,0.016
,5.88,0.298,0.25,0.202,0.25,1,0.048,,5.88,0.996,0.985,0.94,0.974,0.978,0.03,,5.88,0.945,0.994,0.947,0.962,0.978,0.028
,6.027,0.311,0.24,0.169,0.24,0.961,0.071,,6.027,0.975,0.995,0.899,0.957,0.961,0.051,,6.027,0.842,0.984,0.9,0.909,0.924,0.071
,6.174,0.262,0.242,0.222,0.242,0.966,0.02,,6.174,0.985,0.997,0.948,0.977,0.981,0.025,,6.174,0.899,0.972,0.938,0.936,0.951,0.037
,6.321,0.255,0.246,0.237,0.246,0.983,0.009,,6.321,0.995,0.996,0.975,0.989,0.993,0.012,,6.321,0.903,0.98,0.965,0.949,0.965,0.04
,6.468,0.32,0.237,0.154,0.237,0.946,0.083,,6.468,1,1,0.987,0.996,1,0.008,,6.468,0.857,0.978,0.93,0.921,0.937,0.061
,6.615,0.256,0.235,0.214,0.235,0.942,0.021,,6.615,0.975,0.994,0.931,0.966,0.971,0.032,,6.615,0.838,0.978,0.936,0.917,0.933,0.072
,6.762,0.31,0.243,0.176,0.243,0.972,0.067,,6.762,0.985,0.998,0.959,0.981,0.985,0.02,,6.762,0.935,0.977,0.924,0.946,0.961,0.028
,6.909,0.331,0.239,0.147,0.239,0.955,0.092,,6.909,0.995,0.996,0.945,0.979,0.983,0.029,,6.909,0.868,0.977,0.905,0.916,0.931,0.055
,7.056,0.264,0.238,0.212,0.238,0.953,0.026,,7.056,0.997,0.999,0.926,0.974,0.978,0.042,,7.056,0.842,0.977,0.928,0.916,0.931,0.068
,7.203,0.263,0.24,0.217,0.24,0.959,0.023,,7.203,0.958,0.989,0.958,0.968,0.972,0.018,,7.203,0.924,0.976,0.949,0.949,0.965,0.026
,7.35,0.298,0.243,0.188,0.243,0.973,0.055,,7.35,0.97,0.998,0.97,0.979,0.983,0.016,,7.35,0.827,0.972,0.93,0.91,0.925,0.075
,7.497,0.315,0.23,0.145,0.23,0.919,0.085,,7.497,0.924,0.978,0.924,0.942,0.946,0.031,,7.497,0.824,0.968,0.899,0.897,0.912,0.072
