,,,,,,
,,Normalized Fluorescence Intensity,,,,
,38.073,0.976,0.882,,,
,38.22,0.953,0.86,,,
,38.367,0.927,0.833,,,
,38.514,0.948,0.854,,,
,38.661,0.964,0.87,,,
,38.808,0.954,0.861,,,
,38.955,0.956,0.863,,,
,39.102,0.958,0.864,,,
,39.249,0.974,0.88,,,
,39.396,0.937,0.844,,,
,39.543,0.951,0.858,,,
,39.69,0.952,0.859,,,
,39.837,0.958,0.865,,,
,39.984,0.963,0.87,,,
,40.131,0.94,0.846,,,
,40.278,0.926,0.832,,,
,40.425,0.932,0.839,,,
,40.572,0.949,0.855,,,
,40.719,0.932,0.839,,,
,40.866,0.966,0.872,,,
,41.013,0.974,0.881,,,
,41.16,0.951,0.858,,,
,41.307,0.995,0.902,,,
,41.454,0.932,0.838,,,
,41.601,0.956,0.862,,,
,41.748,0.951,0.858,,,
,41.895,0.938,0.845,,,
,42.042,0.954,0.861,,,
,42.189,0.955,0.861,,,
,42.336,0.972,0.878,,,
,42.483,0.943,0.85,,,
,42.63,0.984,0.89,,,
,42.777,0.948,0.854,,,
,42.924,0.923,0.829,,,
,43.071,0.973,0.88,,,
,43.218,0.936,0.843,,,
,43.365,0.932,0.839,,,
,43.512,0.99,0.896,,,
,43.659,1,0.907,,,
,43.806,0.977,0.884,,,
,43.953,0.971,0.877,,,
,44.1,0.978,0.884,,,
