candidate_family	max_velocity_cm_s	min_velocity_cm_s	peak_frequency_microhz	peak_width_microhz	information_criterion
frequency_amplitude_scan	3.0e+00	0.0e+00	610.0	300.0	1141.2
frequency_amplitude_scan	3.0e+00	0.0e+00	660.0	300.0	850.9
frequency_amplitude_scan	3.0e+00	0.0e+00	710.0	300.0	668.3
frequency_amplitude_scan	3.0e+00	0.0e+00	760.0	300.0	496.3
frequency_amplitude_scan	3.0e+00	0.0e+00	810.0	300.0	463.2
frequency_amplitude_scan	3.0e+00	0.0e+00	860.0	300.0	524.2
frequency_amplitude_scan	3.0e+00	0.0e+00	910.0	300.0	632.6
frequency_amplitude_scan	3.0e+00	0.0e+00	960.0	300.0	748.5
frequency_amplitude_scan	5.0e+00	0.0e+00	1010.0	300.0	543.0
frequency_amplitude_scan	5.0e+00	0.0e+00	1060.0	300.0	693.7
frequency_amplitude_scan	5.0e+00	0.0e+00	1110.0	300.0	1098.1
frequency_amplitude_scan	5.0e+00	0.0e+00	1160.0	300.0	1098.1
frequency_amplitude_scan	5.0e+00	0.0e+00	1210.0	300.0	1331.9
frequency_amplitude_scan	5.0e+00	0.0e+00	1260.0	300.0	1572.0
frequency_amplitude_scan	5.0e+00	0.0e+00	1310.0	300.0	1832.4
frequency_amplitude_scan	5.0e+00	0.0e+00	1360.0	300.0	2100.7
frequency_amplitude_scan	5.0e+00	0.0e+00	1410.0	300.0	2456.7
frequency_amplitude_scan	5.0e+00	0.0e+00	1460.0	300.0	2842.0
frequency_amplitude_scan	5.0e+00	0.0e+00	1510.0	300.0	3342.1
frequency_amplitude_scan	5.0e+00	0.0e+00	610.0	300.0	1598.4
frequency_amplitude_scan	5.0e+00	0.0e+00	660.0	300.0	1309.0
frequency_amplitude_scan	5.0e+00	0.0e+00	710.0	300.0	814.6
frequency_amplitude_scan	5.0e+00	0.0e+00	760.0	300.0	520.1
frequency_amplitude_scan	5.0e+00	0.0e+00	810.0	300.0	330.6
frequency_amplitude_scan	5.0e+00	0.0e+00	860.0	300.0	296.8
frequency_amplitude_scan	5.0e+00	0.0e+00	910.0	300.0	325.8
frequency_amplitude_scan	5.0e+00	0.0e+00	960.0	300.0	423.1
frequency_amplitude_scan	1.0e+01	0.0e+00	1010.0	300.0	169.6
frequency_amplitude_scan	1.0e+01	0.0e+00	1060.0	300.0	249.1
frequency_amplitude_scan	1.0e+01	0.0e+00	1110.0	300.0	350.0
frequency_amplitude_scan	1.0e+01	0.0e+00	1160.0	300.0	479.1
frequency_amplitude_scan	1.0e+01	0.0e+00	1210.0	300.0	653.9
frequency_amplitude_scan	1.0e+01	0.0e+00	1260.0	300.0	857.0
frequency_amplitude_scan	1.0e+01	0.0e+00	1310.0	300.0	1072.4
frequency_amplitude_scan	1.0e+01	0.0e+00	1360.0	300.0	1306.1
frequency_amplitude_scan	1.0e+01	0.0e+00	1410.0	300.0	1562.3
frequency_amplitude_scan	1.0e+01	0.0e+00	1460.0	300.0	1850.0
frequency_amplitude_scan	1.0e+01	0.0e+00	1510.0	300.0	2134.2
frequency_amplitude_scan	1.0e+01	0.0e+00	610.0	300.0	2654.1
frequency_amplitude_scan	1.0e+01	0.0e+00	660.0	300.0	1816.9
frequency_amplitude_scan	1.0e+01	0.0e+00	710.0	300.0	1346.6
frequency_amplitude_scan	1.0e+01	0.0e+00	760.0	300.0	740.7
frequency_amplitude_scan	1.0e+01	0.0e+00	810.0	300.0	404.8
frequency_amplitude_scan	1.0e+01	0.0e+00	860.0	300.0	183.2
frequency_amplitude_scan	1.0e+01	0.0e+00	910.0	300.0	111.5
frequency_amplitude_scan	1.0e+01	0.0e+00	960.0	300.0	106.2
frequency_amplitude_scan	2.0e+01	0.0e+00	1010.0	300.0	43.9
frequency_amplitude_scan	2.0e+01	0.0e+00	1060.0	300.0	56.7
frequency_amplitude_scan	2.0e+01	0.0e+00	1110.0	300.0	93.5
frequency_amplitude_scan	2.0e+01	0.0e+00	1160.0	300.0	143.5
frequency_amplitude_scan	2.0e+01	0.0e+00	1210.0	300.0	224.9
frequency_amplitude_scan	2.0e+01	0.0e+00	1260.0	300.0	335.8
frequency_amplitude_scan	2.0e+01	0.0e+00	1310.0	300.0	482.5
frequency_amplitude_scan	2.0e+01	0.0e+00	1360.0	300.0	646.5
frequency_amplitude_scan	2.0e+01	0.0e+00	1410.0	300.0	850.2
frequency_amplitude_scan	2.0e+01	0.0e+00	1460.0	300.0	1093.3
frequency_amplitude_scan	2.0e+01	0.0e+00	1510.0	300.0	1354.4
frequency_amplitude_scan	2.0e+01	0.0e+00	610.0	300.0	3664.9
frequency_amplitude_scan	2.0e+01	0.0e+00	660.0	300.0	2731.1
frequency_amplitude_scan	2.0e+01	0.0e+00	710.0	300.0	1976.9
frequency_amplitude_scan	2.0e+01	0.0e+00	760.0	300.0	1371.4
frequency_amplitude_scan	2.0e+01	0.0e+00	810.0	300.0	742.8
frequency_amplitude_scan	2.0e+01	0.0e+00	860.0	300.0	320.3
frequency_amplitude_scan	2.0e+01	0.0e+00	910.0	300.0	114.7
frequency_amplitude_scan	2.0e+01	0.0e+00	960.0	300.0	58.0
frequency_amplitude_scan	3.0e+01	0.0e+00	1010.0	300.0	47.2
frequency_amplitude_scan	3.0e+01	0.0e+00	1060.0	300.0	57.3
frequency_amplitude_scan	3.0e+01	0.0e+00	1110.0	300.0	76.0
frequency_amplitude_scan	3.0e+01	0.0e+00	1160.0	300.0	80.5
frequency_amplitude_scan	3.0e+01	0.0e+00	1210.0	300.0	120.7
frequency_amplitude_scan	3.0e+01	0.0e+00	1260.0	300.0	184.1
frequency_amplitude_scan	3.0e+01	0.0e+00	1310.0	300.0	277.2
frequency_amplitude_scan	3.0e+01	0.0e+00	1360.0	300.0	395.2
frequency_amplitude_scan	3.0e+01	0.0e+00	1410.0	300.0	542.2
frequency_amplitude_scan	3.0e+01	0.0e+00	1460.0	300.0	725.7
frequency_amplitude_scan	3.0e+01	0.0e+00	1510.0	300.0	961.7
frequency_amplitude_scan	3.0e+01	0.0e+00	610.0	300.0	4018.9
frequency_amplitude_scan	3.0e+01	0.0e+00	660.0	300.0	3218.4
frequency_amplitude_scan	3.0e+01	0.0e+00	710.0	300.0	2619.6
frequency_amplitude_scan	3.0e+01	0.0e+00	760.0	300.0	1800.3
frequency_amplitude_scan	3.0e+01	0.0e+00	810.0	300.0	1106.1
frequency_amplitude_scan	3.0e+01	0.0e+00	860.0	300.0	566.3
frequency_amplitude_scan	3.0e+01	0.0e+00	910.0	300.0	244.1
frequency_amplitude_scan	3.0e+01	0.0e+00	960.0	300.0	72.5
frequency_amplitude_scan	5.0e+01	0.0e+00	1010.0	300.0	149.6
frequency_amplitude_scan	5.0e+01	0.0e+00	1060.0	300.0	130.3
frequency_amplitude_scan	5.0e+01	0.0e+00	1110.0	300.0	109.7
frequency_amplitude_scan	5.0e+01	0.0e+00	1160.0	300.0	110.8
frequency_amplitude_scan	5.0e+01	0.0e+00	1210.0	300.0	113.6
frequency_amplitude_scan	5.0e+01	0.0e+00	1260.0	300.0	132.9
frequency_amplitude_scan	5.0e+01	0.0e+00	1310.0	300.0	159.6
frequency_amplitude_scan	5.0e+01	0.0e+00	1360.0	300.0	219.9
frequency_amplitude_scan	5.0e+01	0.0e+00	1410.0	300.0	298.1
frequency_amplitude_scan	5.0e+01	0.0e+00	1460.0	300.0	411.5
frequency_amplitude_scan	5.0e+01	0.0e+00	1510.0	300.0	566.3
frequency_amplitude_scan	5.0e+01	0.0e+00	610.0	300.0	4701.2
frequency_amplitude_scan	5.0e+01	0.0e+00	660.0	300.0	4105.8
frequency_amplitude_scan	5.0e+01	0.0e+00	710.0	300.0	3244.4
frequency_amplitude_scan	5.0e+01	0.0e+00	760.0	300.0	2464.0
frequency_amplitude_scan	5.0e+01	0.0e+00	810.0	300.0	1682.3
frequency_amplitude_scan	5.0e+01	0.0e+00	860.0	300.0	999.6
frequency_amplitude_scan	5.0e+01	0.0e+00	910.0	300.0	489.5
frequency_amplitude_scan	5.0e+01	0.0e+00	960.0	300.0	228.1
frequency_amplitude_scan	1.0e+02	0.0e+00	1010.0	300.0	323.6
frequency_amplitude_scan	1.0e+02	0.0e+00	1060.0	300.0	269.9
frequency_amplitude_scan	1.0e+02	0.0e+00	1110.0	300.0	260.8
frequency_amplitude_scan	1.0e+02	0.0e+00	1160.0	300.0	240.8
frequency_amplitude_scan	1.0e+02	0.0e+00	1210.0	300.0	204.4
frequency_amplitude_scan	1.0e+02	0.0e+00	1260.0	300.0	172.6
frequency_amplitude_scan	1.0e+02	0.0e+00	1310.0	300.0	160.4
frequency_amplitude_scan	1.0e+02	0.0e+00	1360.0	300.0	163.1
frequency_amplitude_scan	1.0e+02	0.0e+00	1410.0	300.0	189.4
frequency_amplitude_scan	1.0e+02	0.0e+00	1460.0	300.0	233.3
frequency_amplitude_scan	1.0e+02	0.0e+00	1510.0	300.0	294.9
frequency_amplitude_scan	1.0e+02	0.0e+00	610.0	300.0	5970.6
frequency_amplitude_scan	1.0e+02	0.0e+00	660.0	300.0	5158.1
frequency_amplitude_scan	1.0e+02	0.0e+00	710.0	300.0	4292.5
frequency_amplitude_scan	1.0e+02	0.0e+00	760.0	300.0	3493.9
frequency_amplitude_scan	1.0e+02	0.0e+00	810.0	300.0	2671.2
frequency_amplitude_scan	1.0e+02	0.0e+00	860.0	300.0	1823.8
frequency_amplitude_scan	1.0e+02	0.0e+00	910.0	300.0	1076.6
frequency_amplitude_scan	1.0e+02	0.0e+00	960.0	300.0	553.7
frequency_amplitude_scan	2.0e+02	0.0e+00	1010.0	300.0	646.2
frequency_amplitude_scan	2.0e+02	0.0e+00	1060.0	300.0	441.6
frequency_amplitude_scan	2.0e+02	0.0e+00	1110.0	300.0	400.8
frequency_amplitude_scan	2.0e+02	0.0e+00	1160.0	300.0	388.4
frequency_amplitude_scan	2.0e+02	0.0e+00	1210.0	300.0	343.5
frequency_amplitude_scan	2.0e+02	0.0e+00	1260.0	300.0	289.2
frequency_amplitude_scan	2.0e+02	0.0e+00	1310.0	300.0	233.1
frequency_amplitude_scan	2.0e+02	0.0e+00	1360.0	300.0	203.4
frequency_amplitude_scan	2.0e+02	0.0e+00	1410.0	300.0	191.8
frequency_amplitude_scan	2.0e+02	0.0e+00	1460.0	300.0	215.1
frequency_amplitude_scan	2.0e+02	0.0e+00	1510.0	300.0	247.2
frequency_amplitude_scan	2.0e+02	0.0e+00	610.0	300.0	7024.9
frequency_amplitude_scan	2.0e+02	0.0e+00	660.0	300.0	6316.5
frequency_amplitude_scan	2.0e+02	0.0e+00	710.0	300.0	5511.9
frequency_amplitude_scan	2.0e+02	0.0e+00	760.0	300.0	4750.7
frequency_amplitude_scan	2.0e+02	0.0e+00	810.0	300.0	3833.7
frequency_amplitude_scan	2.0e+02	0.0e+00	860.0	300.0	2889.7
frequency_amplitude_scan	2.0e+02	0.0e+00	910.0	300.0	1991.7
frequency_amplitude_scan	2.0e+02	0.0e+00	960.0	300.0	1172.7
frequency_amplitude_scan	3.0e+02	0.0e+00	1010.0	300.0	968.4
frequency_amplitude_scan	3.0e+02	0.0e+00	1060.0	300.0	588.3
frequency_amplitude_scan	3.0e+02	0.0e+00	1110.0	300.0	476.8
frequency_amplitude_scan	3.0e+02	0.0e+00	1160.0	300.0	463.1
frequency_amplitude_scan	3.0e+02	0.0e+00	1210.0	300.0	441.8
frequency_amplitude_scan	3.0e+02	0.0e+00	1260.0	300.0	390.5
frequency_amplitude_scan	3.0e+02	0.0e+00	1310.0	300.0	322.9
frequency_amplitude_scan	3.0e+02	0.0e+00	1360.0	300.0	265.8
frequency_amplitude_scan	3.0e+02	0.0e+00	1410.0	300.0	237.0
frequency_amplitude_scan	3.0e+02	0.0e+00	1460.0	300.0	226.3
frequency_amplitude_scan	3.0e+02	0.0e+00	1510.0	300.0	248.2
frequency_amplitude_scan	3.0e+02	0.0e+00	610.0	300.0	7660.6
frequency_amplitude_scan	3.0e+02	0.0e+00	660.0	300.0	6996.2
frequency_amplitude_scan	3.0e+02	0.0e+00	710.0	300.0	6300.1
frequency_amplitude_scan	3.0e+02	0.0e+00	760.0	300.0	5463.2
frequency_amplitude_scan	3.0e+02	0.0e+00	810.0	300.0	4569.6
frequency_amplitude_scan	3.0e+02	0.0e+00	860.0	300.0	3650.1
frequency_amplitude_scan	3.0e+02	0.0e+00	910.0	300.0	2644.3
frequency_amplitude_scan	3.0e+02	0.0e+00	960.0	300.0	1701.0
frequency_amplitude_scan	5.0e+02	0.0e+00	1010.0	300.0	1592.1
frequency_amplitude_scan	5.0e+02	0.0e+00	1060.0	300.0	945.3
frequency_amplitude_scan	5.0e+02	0.0e+00	1110.0	300.0	661.6
frequency_amplitude_scan	5.0e+02	0.0e+00	1160.0	300.0	597.5
frequency_amplitude_scan	5.0e+02	0.0e+00	1210.0	300.0	584.2
frequency_amplitude_scan	5.0e+02	0.0e+00	1260.0	300.0	553.3
frequency_amplitude_scan	5.0e+02	0.0e+00	1310.0	300.0	483.7
frequency_amplitude_scan	5.0e+02	0.0e+00	1360.0	300.0	406.2
frequency_amplitude_scan	5.0e+02	0.0e+00	1410.0	300.0	346.5
frequency_amplitude_scan	5.0e+02	0.0e+00	1460.0	300.0	312.0
frequency_amplitude_scan	5.0e+02	0.0e+00	1510.0	300.0	308.2
frequency_amplitude_scan	5.0e+02	0.0e+00	610.0	300.0	8659.8
frequency_amplitude_scan	5.0e+02	0.0e+00	660.0	300.0	8037.5
frequency_amplitude_scan	5.0e+02	0.0e+00	710.0	300.0	7226.7
frequency_amplitude_scan	5.0e+02	0.0e+00	760.0	300.0	6473.9
frequency_amplitude_scan	5.0e+02	0.0e+00	810.0	300.0	5561.3
frequency_amplitude_scan	5.0e+02	0.0e+00	860.0	300.0	4595.3
frequency_amplitude_scan	5.0e+02	0.0e+00	910.0	300.0	3566.6
frequency_amplitude_scan	5.0e+02	0.0e+00	960.0	300.0	2529.2
minimum_velocity_scan	1.0e-01	1.0e-02	1210.0	300.0	3114.2
minimum_velocity_scan	2.0e-01	1.0e-02	1210.0	300.0	3221.0
minimum_velocity_scan	3.0e-01	1.0e-02	1210.0	300.0	3146.5
minimum_velocity_scan	5.0e-01	1.0e-02	1210.0	300.0	2953.8
minimum_velocity_scan	1.0e+00	1.0e-02	1210.0	300.0	2494.6
minimum_velocity_scan	2.0e+00	1.0e-02	1210.0	300.0	1904.5
minimum_velocity_scan	3.0e+00	1.0e-02	1210.0	300.0	1548.7
minimum_velocity_scan	5.0e+00	1.0e-02	1210.0	300.0	1114.0
minimum_velocity_scan	1.0e+01	1.0e-02	1210.0	300.0	533.8
minimum_velocity_scan	2.0e+01	1.0e-02	1210.0	300.0	167.6
minimum_velocity_scan	3.0e+01	1.0e-02	1210.0	300.0	81.0
minimum_velocity_scan	5.0e+01	1.0e-02	1210.0	300.0	88.2
minimum_velocity_scan	1.0e+02	1.0e-02	1210.0	300.0	190.4
minimum_velocity_scan	2.0e+02	1.0e-02	1210.0	300.0	333.9
minimum_velocity_scan	3.0e+02	1.0e-02	1210.0	300.0	434.9
minimum_velocity_scan	5.0e+02	1.0e-02	1210.0	300.0	579.0
minimum_velocity_scan	2.0e-02	2.0e-02	1210.0	300.0	2234.1
minimum_velocity_scan	1.0e-01	2.0e-02	1210.0	300.0	2500.4
minimum_velocity_scan	2.0e-01	2.0e-02	1210.0	300.0	2565.6
minimum_velocity_scan	3.0e-01	2.0e-02	1210.0	300.0	2510.8
minimum_velocity_scan	5.0e-01	2.0e-02	1210.0	300.0	2408.6
minimum_velocity_scan	1.0e+00	2.0e-02	1210.0	300.0	2104.4
minimum_velocity_scan	2.0e+00	2.0e-02	1210.0	300.0	1644.6
minimum_velocity_scan	3.0e+00	2.0e-02	1210.0	300.0	1358.8
minimum_velocity_scan	5.0e+00	2.0e-02	1210.0	300.0	982.2
minimum_velocity_scan	1.0e+01	2.0e-02	1210.0	300.0	463.3
minimum_velocity_scan	2.0e+01	2.0e-02	1210.0	300.0	137.2
minimum_velocity_scan	3.0e+01	2.0e-02	1210.0	300.0	61.6
minimum_velocity_scan	5.0e+01	2.0e-02	1210.0	300.0	73.3
minimum_velocity_scan	1.0e+02	2.0e-02	1210.0	300.0	179.7
minimum_velocity_scan	2.0e+02	2.0e-02	1210.0	300.0	327.5
minimum_velocity_scan	3.0e+02	2.0e-02	1210.0	300.0	428.3
minimum_velocity_scan	5.0e+02	2.0e-02	1210.0	300.0	574.4
minimum_velocity_scan	3.0e-02	3.0e-02	1210.0	300.0	1988.4
minimum_velocity_scan	1.0e-01	3.0e-02	1210.0	300.0	2130.6
minimum_velocity_scan	2.0e-01	3.0e-02	1210.0	300.0	2169.4
minimum_velocity_scan	3.0e-01	3.0e-02	1210.0	300.0	2122.7
minimum_velocity_scan	5.0e-01	3.0e-02	1210.0	300.0	2050.9
minimum_velocity_scan	1.0e+00	3.0e-02	1210.0	300.0	1811.6
minimum_velocity_scan	2.0e+00	3.0e-02	1210.0	300.0	1455.3
minimum_velocity_scan	3.0e+00	3.0e-02	1210.0	300.0	1225.2
minimum_velocity_scan	5.0e+00	3.0e-02	1210.0	300.0	889.3
minimum_velocity_scan	1.0e+01	3.0e-02	1210.0	300.0	422.2
minimum_velocity_scan	2.0e+01	3.0e-02	1210.0	300.0	122.3
minimum_velocity_scan	3.0e+01	3.0e-02	1210.0	300.0	50.7
minimum_velocity_scan	5.0e+01	3.0e-02	1210.0	300.0	65.1
minimum_velocity_scan	1.0e+02	3.0e-02	1210.0	300.0	175.0
minimum_velocity_scan	2.0e+02	3.0e-02	1210.0	300.0	321.0
minimum_velocity_scan	3.0e+02	3.0e-02	1210.0	300.0	421.9
minimum_velocity_scan	5.0e+02	3.0e-02	1210.0	300.0	570.3
minimum_velocity_scan	5.0e-02	5.0e-02	1210.0	300.0	1677.4
