assay_id	compartment_id	endpoint_type	condition_role	replicate_id	response_value
assay_1	compartment_3	endpoint_count	perturbation	replicate_2	38160.0
assay_1	compartment_3	endpoint_count	perturbation	replicate_3	30613.0
assay_1	compartment_3	endpoint_count	perturbation	replicate_4	31071.0
assay_2	compartment_1	endpoint_fraction	baseline	replicate_1	14.99
assay_2	compartment_1	endpoint_fraction	baseline	replicate_2	7.98
assay_2	compartment_1	endpoint_fraction	baseline	replicate_3	13.21
assay_2	compartment_1	endpoint_fraction	baseline	replicate_4	5.98
assay_2	compartment_1	endpoint_fraction	perturbation	replicate_1	22.54
assay_2	compartment_1	endpoint_fraction	perturbation	replicate_2	15.36
assay_2	compartment_1	endpoint_fraction	perturbation	replicate_3	14.68
assay_2	compartment_1	endpoint_fraction	perturbation	replicate_4	20.78
assay_2	compartment_2	endpoint_fraction	baseline	replicate_1	29.45
assay_2	compartment_2	endpoint_fraction	baseline	replicate_2	20.89
assay_2	compartment_2	endpoint_fraction	baseline	replicate_3	15.92
assay_2	compartment_2	endpoint_fraction	baseline	replicate_4	30.25
assay_2	compartment_2	endpoint_fraction	perturbation	replicate_1	35.85
assay_2	compartment_2	endpoint_fraction	perturbation	replicate_2	28.94
assay_2	compartment_2	endpoint_fraction	perturbation	replicate_3	35.9
assay_2	compartment_2	endpoint_fraction	perturbation	replicate_4	40.22
assay_2	compartment_3	endpoint_fraction	baseline	replicate_1	4.07
assay_2	compartment_3	endpoint_fraction	baseline	replicate_2	3.05
assay_2	compartment_3	endpoint_fraction	baseline	replicate_3	7.24
assay_2	compartment_3	endpoint_fraction	baseline	replicate_4	1.98
assay_2	compartment_3	endpoint_fraction	perturbation	replicate_1	5.06
assay_2	compartment_3	endpoint_fraction	perturbation	replicate_2	4.02
assay_2	compartment_3	endpoint_fraction	perturbation	replicate_3	10.24
assay_2	compartment_3	endpoint_fraction	perturbation	replicate_4	3.12
assay_2	compartment_1	endpoint_count	baseline	replicate_1	2548.33128
assay_2	compartment_1	endpoint_count	baseline	replicate_2	2158.4304
assay_2	compartment_1	endpoint_count	baseline	replicate_3	2788.303392
assay_2	compartment_1	endpoint_count	baseline	replicate_4	1025.852256
assay_2	compartment_1	endpoint_count	perturbation	replicate_1	5731.011104
assay_2	compartment_1	endpoint_count	perturbation	replicate_2	2942.134272
assay_2	compartment_1	endpoint_count	perturbation	replicate_3	3082.017312
assay_2	compartment_1	endpoint_count	perturbation	replicate_4	4687.170048
assay_2	compartment_2	endpoint_count	baseline	replicate_1	3061.328688
assay_2	compartment_2	endpoint_count	baseline	replicate_2	3531.4545
assay_2	compartment_2	endpoint_count	baseline	replicate_3	2800.26432
assay_2	compartment_2	endpoint_count	baseline	replicate_4	2358.774
assay_2	compartment_2	endpoint_count	perturbation	replicate_1	5718.43584
assay_2	compartment_2	endpoint_count	perturbation	replicate_2	3695.545392
assay_2	compartment_2	endpoint_count	perturbation	replicate_3	4316.6519
assay_2	compartment_2	endpoint_count	perturbation	replicate_4	4536.043776
assay_2	compartment_3	endpoint_count	baseline	replicate_1	763.389
assay_2	compartment_3	endpoint_count	baseline	replicate_2	721.8435
assay_2	compartment_3	endpoint_count	baseline	replicate_3	848.99136
assay_2	compartment_3	endpoint_count	baseline	replicate_4	185.270976
assay_2	compartment_3	endpoint_count	perturbation	replicate_1	1232.375872
assay_2	compartment_3	endpoint_count	perturbation	replicate_2	598.897992
assay_2	compartment_3	endpoint_count	perturbation	replicate_3	1477.521408
assay_2	compartment_3	endpoint_count	perturbation	replicate_4	469.168128
assay_3	compartment_1	endpoint_fraction	baseline	replicate_1	1.18
assay_3	compartment_1	endpoint_fraction	baseline	replicate_2	3.21
assay_3	compartment_1	endpoint_fraction	baseline	replicate_3	1.97
assay_3	compartment_1	endpoint_fraction	baseline	replicate_4	1.55
assay_3	compartment_1	endpoint_fraction	perturbation	replicate_1	3.74
assay_3	compartment_1	endpoint_fraction	perturbation	replicate_2	3.97
assay_3	compartment_1	endpoint_fraction	perturbation	replicate_3	2.97
assay_3	compartment_1	endpoint_fraction	perturbation	replicate_4	4.23
assay_3	compartment_2	endpoint_fraction	baseline	replicate_1	2.57
assay_3	compartment_2	endpoint_fraction	baseline	replicate_2	3.45
assay_3	compartment_2	endpoint_fraction	baseline	replicate_3	1.93
assay_3	compartment_2	endpoint_fraction	baseline	replicate_4	5.9
assay_3	compartment_2	endpoint_fraction	perturbation	replicate_1	6.35
assay_3	compartment_2	endpoint_fraction	perturbation	replicate_2	5.25
assay_3	compartment_2	endpoint_fraction	perturbation	replicate_3	7.23
assay_3	compartment_2	endpoint_fraction	perturbation	replicate_4	6.82
assay_3	compartment_3	endpoint_fraction	baseline	replicate_1	3.89
assay_3	compartment_3	endpoint_fraction	baseline	replicate_2	4.22
assay_3	compartment_3	endpoint_fraction	baseline	replicate_3	5.02
assay_3	compartment_3	endpoint_fraction	baseline	replicate_4	2.95
assay_3	compartment_3	endpoint_fraction	perturbation	replicate_1	10.07
assay_3	compartment_3	endpoint_fraction	perturbation	replicate_2	4.93
assay_3	compartment_3	endpoint_fraction	perturbation	replicate_3	8.34
assay_3	compartment_3	endpoint_fraction	perturbation	replicate_4	12.33
assay_3	compartment_1	endpoint_count	baseline	replicate_1	4089.231
assay_3	compartment_1	endpoint_count	baseline	replicate_2	16076.7072
assay_3	compartment_1	endpoint_count	baseline	replicate_3	7595.532
assay_3	compartment_1	endpoint_count	baseline	replicate_4	6478.38
assay_3	compartment_1	endpoint_count	perturbation	replicate_1	20890.0692
assay_3	compartment_1	endpoint_count	perturbation	replicate_2	16207.128
assay_3	compartment_1	endpoint_count	perturbation	replicate_3	22895.136
assay_3	compartment_1	endpoint_count	perturbation	replicate_4	17131.5
assay_3	compartment_2	endpoint_count	baseline	replicate_1	1981.7784
assay_3	compartment_2	endpoint_count	baseline	replicate_2	4099.221
assay_3	compartment_2	endpoint_count	baseline	replicate_3	1310.3928
assay_3	compartment_2	endpoint_count	baseline	replicate_4	5632.848
assay_3	compartment_2	endpoint_count	perturbation	replicate_1	7209.0915
assay_3	compartment_2	endpoint_count	perturbation	replicate_2	3905.055
assay_3	compartment_2	endpoint_count	perturbation	replicate_3	7768.4904
assay_3	compartment_2	endpoint_count	perturbation	replicate_4	8258.679
assay_3	compartment_3	endpoint_count	baseline	replicate_1	951.2217
assay_3	compartment_3	endpoint_count	baseline	replicate_2	1023.561
assay_3	compartment_3	endpoint_count	baseline	replicate_3	1252.3896
assay_3	compartment_3	endpoint_count	baseline	replicate_4	513.5832
assay_3	compartment_3	endpoint_count	perturbation	replicate_1	2699.41455
assay_3	compartment_3	endpoint_count	perturbation	replicate_2	994.99725
assay_3	compartment_3	endpoint_count	perturbation	replicate_3	1852.78104
assay_3	compartment_3	endpoint_count	perturbation	replicate_4	2036.52144
