time	promoter_like_signal	condition_a	condition_b	condition_c	fit_a	fit_b
0	4	1	0	0	0	0
0	1	1	1	0	0	0
0	1	1	0	0	0	0
0	4	1	0	0	0	0
0	4	1	0	0	0	0
0	2	1	0	0	0	0
0	5	0	0	0	0	0
0	3	1	0	0	0	0
0	5	0	1	0	0	0
0	2	0	0	0	0	0
0	0	1	0	0	0	0
0	4	0	0	0	0	0
0	2	0	0	0	0	0
0	3	1	0	0	0	0
0	1	3	0	0	0	0
0	1	1	0	0	0	0
0	1	2	0	0	0	0
0	4	2	1	0	0	0
0	6	1	0	0	0	0
0	3	1	0	0	0	0
0	3	0	0	0	0	0
0	4	1	1	0	0	0
0	4	1	1	0	0	0
0	3	1	2	0	0	0
0	2	0	0	0	0	0
0	1	1	0	0	0	0
0	5	1	1	0	0	0
0	0	1	1	0	0	0
0	0	0	0	0	0	0
0	2	0	0	0	0	0
0	2	0	0	0	0	0
0	2	0	0	0	0	0
0	3	0	0	0	0	0
0	4	0	1	0	0	0
0	6	4	1	0	0	0
0	4	0	0	0	0	0
0	0	0	0	0	0	0
0	4	1	0	0	0	0
0	2	1	0	0	0	0
0	6	1	1	0	0	0
0	4	0	0	0	0	0
0	0	1	0	0	0	0
0	5	1	1	0	0	0
0	4	1	0	0	0	0
0	2	1	1	0	0	0
0	0	1	0	0	0	0
0	4	0	0	0	0	0
0	2	0	1	0	0	0
0	3	2	0	0	0	0
0	0	0	1	0	0	0
0	5	0	0	0	0	0
0	4	0	0	0	0	0
0	3	1	0	0	0	0
0	5	1	0	0	0	0
0	1	1	0	0	0	0
0	4	1	0	0	0	0
0	3	0	1	0	0	0
0	2	0	2	0	0	0
0	3	2	0	0	0	0
0	1	1	1	0	0	0
0	2	0	1	0	0	0
0	3	0	1	0	0	0
0	3	1	0	0	0	0
0	0	1	2	0	0	0
0	3	1	0	0	0	0
0	0	0	0	0	0	0
0	2	0	0	0	0	0
0	3	0	0	0	0	0
0	2	2	0	0	0	0
0	3	0	1	0	0	0
0	3	0	1	0	0	0
0	4	1	1	0	0	0
0	3	0	1	0	0	0
0	4	0	1	0	0	0
0	3	1	1	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
0	3	0	0	0	0	0
0	2	0	0	0	0	0
0	1	1	0	0	0	0
0	2	0	0	0	0	0
0	1	0	0	0	0	0
0	3	0	0	0	0	0
0	5	1	0	0	0	0
0	1	0	1	0	0	0
0	4	0	1	0	0	0
0	2	1	1	0	0	0
0	3	0	0	0	0	0
0	4	1	0	0	0	0
0	0	1	0	0	0	0
0	3	0	0	0	0	0
0	2	0	0	0	0	0
0	3	0	0	0	0	0
0	4	1	0	0	0	0
0	2	0	0	0	0	0
0	2	1	0	0	0	0
0	1	0	0	0	0	0
0	1	0	0	0	0	0
0	2	0	0	0	0	0
0	2	0	1	0	0	0
0	1	1	0	0	0	0
0	3	1	1	0	0	0
0	4	2	0	0	0	0
0	7	1	0	0	0	0
0	2	0	1	0	0	0
0	4	1	0	0	0	0
0	1	2	0	0	0	0
0	4	0	0	0	0	0
1	3	1	0	0	0	0
0	1	0	0	0	0	0
0	3	0	0	0	0	0
0	1	1	1	0	0	0
0	2	0	0	0	0	0
0	1	2	0	0	0	0
0	2	0	1	0	0	0
0	3	0	1	0	0	0
0	1	2	0	0	0	0
0	2	0	0	0	0	0
0	2	2	1	0	0	0
0	1	0	1	0	0	0
0	1	0	0	0	0	0
0	1	1	0	0	0	0
0	5	2	0	0	0	0
0	2	2	0	0	0	0
0	1	1	0	0	0	0
0	3	1	0	0	0	0
0	1	2	0	0	0	0
0	0	0	0	0	0	0
0	7	1	0	0	0	0
0	2	1	0	0	0	0
0	1	2	1	0	0	0
0	2	0	0	0	0	0
0	5	0	1	0	0	0
0	0	1	2	0	0	7.11075
2	3	4	43	0	0	82.40406
71	24	48	442	0	0	480.8477
561	204	267	1613	0	0	1601.667
2052	774	1027	3567	693.5948	854.7874	3469.197
4380	2062	2207	6047	1947.916	2211.276	5645.521
6611	3635	4015	8253	3800.839	4136.514	7981.209
9015	5687	5952	9828	5853.092	6215.776	9621.491
10083	7630	7906	10012	7681.096	8028.002	10136.31
9643	8904	9040	9161	8986.241	9279.555	9543.492
8076	9676	9856	7479	9573.696	9782.235	8015.444
5708	10009	10000	5700	9355.888	9530.067	5873.402
2823	9299	9508	4176	8945.812	9111.246	4087.89
1052	8862	8958	3242	8559.614	8723.007	3045.318
464	8180	8656	2815	8195.795	8362.874	2495.045
264	7720	8003	2491	7852.949	8028.576	2211.564
212	7476	7757	2266	7529.761	7718.027	2030.987
154	7160	7256	2128	7225	7429.316	1896.05
108	6875	7037	1930	6937.514	7160.688	1773.844
47	6505	6637	1751	6666.224	6910.529	1673.954
16	6266	6477	1763	6410.121	6677.363	1595.999
8	6092	6347	1602	6168.26	6459.832	1531.486
7	5852	6145	1533	5939.755	6256.69	1473.622
6	5475	5933	1384	5723.779	6066.794	1419.829
6	5300	5870	1363	5519.558	5889.096	1366.991
2	5248	5642	1312	5326.364	5722.63	1317.31
1	4990	5647	1290	5143.518	5566.514	1270.855
2	4942	5364	1171	4970.384	5419.934	1225.877
1	4825	5201	1078	4806.366	5282.146	1183.302
2	4628	5084	1086	4650.906	5152.465	1141.276
0	4456	5059	1013	4503.483	5030.263	1101.408
0	4356	4956	990	4363.606	4914.963	1063.379
0	4244	4887	949	4230.819	4806.035	1027.32
1	3911	4821	948	4104.691	4702.991	991.9343
0	3978	4688	879	3984.822	4605.386	958.1182
0	3866	4500	800	3870.834	4512.808	925.695
0	3756	4386	801	3762.377	4424.88	894.5643
0	3670	4422	771	3659.118	4341.256	864.6566
0	3637	4341	795	3560.75	4261.617	835.9163
0	3414	4208	763	3466.983	4185.67	808.2939
0	3392	4150	686	3377.544	4113.147	781.7435
0	3425	4159	700	3292.18	4043.8	756.2219
0	3222	3871	678	3210.653	3977.402	731.6877
0	3154	3966	601	3132.739	3913.743	708.1768
0	3162	3935	689	3058.229	3852.633	685.9753
1	3039	3781	603	2986.926	3793.894	663.8622
0	2910	3733	531	2918.647	3737.362	642.7755
0	2918	3727	586	2853.22	3682.889	622.5676
0	2799	3725	555	2790.482	3630.337	603.1618
0	2818	3591	571	2730.283	3579.579	584.5097
0	2773	3529	516	2672.48	3530.498	566.5746
0	2638	3517	504	2616.941	3482.987	549.3256
0	2582	3494	491	2563.539	3436.947	532.7342
0	2694	3499	529	2512.158	3392.285	516.7738
0	2537	3356	481	2462.688	3348.919	501.419
0	2418	3349	467	2415.026	3306.771	486.6458
0	2416	3360	510	2369.075	3265.768	472.4309
0	2418	3276	476	2324.744	3225.845	458.752
0	2385	3317	418	2281.947	3186.941	445.6632
0	2334	3174	432	2240.605	3149	433.4681
1	2203	3152	416	2200.642	3111.968	420.9625
0	2186	2998	390	2161.988	3075.799	409.1001
0	2199	3004	386	2124.575	3040.447	397.749
0	2078	2942	430	2088.343	3005.872	386.8472
0	2029	3037	377	2053.232	2972.035	376.3605
0	2087	3003	418	2019.187	2938.9	366.2658
0	2079	2813	399	1986.157	2906.436	356.5452
0	1947	2878	372	1954.092	2874.612	347.1826
0	1932	2864	338	1922.946	2843.398	338.1637
0	1880	2846	335	1892.678	2812.77	329.4746
0	1847	2700	320	1863.246	2782.703	321.1023
0	1832	2717	311	1834.611	2753.173	313.0341
0	1809	2682	325	1806.739	2724.16	305.258
0	1737	2691	336	1779.595	2695.645	297.7625
0	1733	2641	298	1753.147	2667.608	290.5366
0	1735	2542	262	1727.365	2640.033	283.5695
0	1696	2601	285	1702.22	2612.903	276.8511
0	1749	2503	255	1677.687	2586.203	270.3716
0	1738	2610	304	1653.74	2559.92	264.1216
0	1609	2486	290	1630.354	2534.04	258.092
0	1638	2550	261	1607.507	2508.551	252.2742
0	1636	2509	273	1585.179	2483.44	246.6599
0	1603	2519	288	1563.349	2458.698	241.2411
0	1490	2432	241	1541.998	2434.313	236.0101
0	1544	2337	240	1521.109	2410.277	230.9596
0	1527	2452	255	1500.663	2386.579	226.0825
0	1475	2393	220	1480.646	2363.211	221.372
0	1465	2371	262	1461.041	2340.165	216.8216
0	1427	2303	239	1441.835	2317.433	212.4251
0	1364	2343	218	1423.013	2295.007	208.1765
0	1360	2204	193	1404.564	2272.881	204.0701
0	1346	2233	235	1386.474	2251.048	200.1002
0	1427	2267	218	1368.731	2229.501	196.2616
0	1305	2140	200	1351.326	2208.235	192.5492
0	1257	2089	223	1334.246	2187.243	188.9582
0	1376	2186	211	1317.483	2166.52	185.4837
0	1277	2120	205	1301.026	2146.06	182.1214
0	1253	2031	221	1284.866	2125.859	178.8669
0	1290	2065	198	1268.996	2105.911	175.716
0	1184	2048	184	1253.405	2086.212	172.6647
0	1187	2072	198	1238.088	2066.757	169.7093
0	1290	2064	202	1223.035	2047.541	166.846
0	1225	2052	185	1208.241	2028.562	164.0714
0	1141	1984	181	1193.698	2009.813	161.3819
0	1104	2054	183	1179.398	1991.292	158.7745
0	1171	1927	190	1165.338	1972.995	156.2458
0	1151	1851	200	1151.509	1954.918	153.7931
0	1115	1914	180	1137.907	1937.057	151.4134
0	1087	1862	172	1124.526	1919.409	149.1038
0	1107	1873	183	1111.36	1901.97	146.8618
0	1120	1868	175	1098.405	1884.737	144.6849
0	1057	1831	171	1085.655	1867.708	142.5705
0	1037	1825	172	1073.106	1850.878	140.5163
0	1012	1871	160	1060.753	1834.245	138.5201
0	1030	1740	169	1048.593	1817.806	136.5797
0	984	1722	181	1036.62	1801.558	134.693
0	994	1718	162	1024.831	1785.498	132.858
0	1010	1745	143	1013.222	1769.623	131.0728
0	890	1680	152	1001.789	1753.931	129.3356
0	1028	1695	137	990.5277	1738.419	127.6446
0	939	1658	135	979.4358	1723.084	125.9981
0	911	1707	144	968.5094	1707.925	124.3944
0	1025	1717	120	957.7452	1692.937	122.832
0	967	1704	147	947.14	1678.12	121.3094
0	875	1677	154	936.6906	1663.47	119.8251
0	943	1632	154	926.3942	1648.986	118.3778
0	887	1621	123	916.2479	1634.665	117.0414
0	877	1657	112	906.2487	1620.504	116.1388
1	898	1628	121	896.3939	1606.502	114.4843
0	922	1616	117	886.6811	1592.656	113.049
0	841	1623	120	877.1074	1578.965	111.7184
0	853	1543	121	867.6704	1565.426	110.4464
0	867	1512	100	858.3677	1552.037	109.2146
0	854	1580	131	849.1969	1538.796	108.0149
0	830	1582	121	840.1556	1525.701	106.8438
0	774	1474	116	831.2418	1512.75	105.6991
0	811	1466	134	822.453	1499.942	104.5796
0	795	1456	104	813.7872	1487.274	103.4842
0	845	1523	118	805.2422	1474.745	102.4122
0	787	1492	108	796.816	1462.352	101.3625
0	780	1413	85	788.5068	1450.094	100.3345
0	781	1437	113	780.3124	1437.97	99.32749
0	747	1410	109	772.231	1425.977	98.34068
0	748	1400	128	764.2608	1414.113	97.37341
0	736	1339	114	756.3999	1402.378	96.42504
0	755	1449	114	748.6465	1390.769	95.49494
0	756	1428	105	740.999	1379.284	94.58252
0	716	1378	102	733.4554	1367.923	93.68719
0	693	1310	87	726.0143	1356.683	92.8084
0	769	1355	102	718.6741	1345.564	91.94561
0	679	1361	100	711.433	1334.562	91.09831
0	693	1325	104	704.2896	1323.678	90.26602
0	720	1284	98	697.2422	1312.909	89.44824
0	658	1272	101	690.2895	1302.254	88.64455
0	632	1289	99	683.4299	1291.711	87.85446
0	673	1344	105	676.6619	1281.279	87.07759
0	668	1262	97	669.9842	1270.957	86.31352
0	660	1323	84	663.3953	1260.744	85.56185
0	672	1296	91	656.894	1250.637	84.82223
0	623	1246	76	650.4788	1240.635	84.09428
0	634	1251	76	644.1485	1230.738	83.37765
0	648	1263	91	637.9017	1220.944	82.67201
0	627	1240	78	631.7372	1211.251	81.97704
0	601	1212	74	625.6538	1201.659	81.29243
0	615	1205	86	619.6501	1192.166	80.61788
0	588	1229	81	613.7251	1182.77	79.95312
0	611	1235	100	607.8774	1173.471	79.29784
0	586	1169	81	602.1061	1164.268	78.65181
0	595	1213	82	596.4099	1155.159	78.01475
0	568	1150	77	590.7878	1146.143	77.38641
0	597	1119	80	585.2385	1137.218	76.76658
0	567	1121	77	579.761	1128.385	76.15501
0	570	1097	72	574.3544	1119.641	75.55149
0	547	1072	68	569.0174	1110.985	74.9558
0	578	1115	73	563.7491	1102.417	74.36773
0	537	1129	69	558.5485	1093.935	73.78711
0	558	1072	78	553.4146	1085.539	73.21372
0	564	1048	81	548.3464	1077.227	72.6474
0	537	993	78	543.3429	1068.998	72.08796
0	537	1004	62	538.4032	1060.851	71.53524
0	600	1082	63	533.5263	1052.785	71.0643
0	538	1119	69	528.7114	1044.8	70.99931
1	541	1024	61	523.9576	1036.894	70.15541
0	529	1033	75	519.2639	1029.066	69.50506
0	473	1016	67	514.6294	1021.315	68.93441
0	481	1053	73	510.0534	1013.641	68.39861
0	509	1063	60	505.5349	1006.042	67.87994
0	513	1070	75	501.0733	998.5171	67.37138
0	459	1013	57	496.6674	991.0662	66.87005
0	495	995	65	492.3168	983.6881	66.37479
0	507	985	63	488.0204	976.3818	65.88504
0	506	932	69	483.7775	969.1465	65.40054
0	500	1023	70	479.5875	961.9814	64.92111
0	514	945	64	475.4494	954.8855	64.44662
0	485	953	86	471.3626	947.8581	63.97696
0	489	989	55	467.3263	940.8983	63.51204
0	445	968	60	463.3398	934.0054	63.05175
0	450	953	55	459.4023	927.1785	62.596
0	474	854	63	455.5133	920.4169	62.1447
0	466	931	62	451.672	913.7198	61.69775
0	477	925	56	447.8776	907.0864	61.25511
0	447	877	48	444.1296	900.5159	60.81667
0	443	934	65	440.4273	894.0076	60.38235
0	472	891	48	436.7701	887.5608	59.95208
0	380	890	55	433.1571	881.1748	59.52579
0	403	839	57	429.588	874.8489	59.10342
0	436	975	68	426.062	868.5822	58.68488
0	416	867	57	422.5786	862.3742	58.27013
0	382	871	55	419.1371	856.2242	57.85908
0	458	824	49	415.7369	850.1314	57.45169
0	409	840	51	412.3774	844.0953	57.04789
0	411	823	58	409.0582	838.1151	56.72285
0	441	818	50	405.7785	832.1902	56.80084
1	443	828	47	402.5379	826.3199	56.09711
0	403	862	48	399.3358	820.5037	55.5842
0	384	853	48	396.1717	814.7409	55.14835
0	402	789	56	393.0449	809.0309	54.7448
0	390	852	52	389.9551	803.373	54.35593
0	379	811	52	386.9016	797.7668	53.97475
0	375	797	55	383.8841	792.2115	53.59852
0	402	772	52	380.9019	786.7066	53.22611
0	400	767	39	377.9546	781.2515	52.93228
0	386	857	46	375.0417	775.8458	53.04116
1	375	732	58	372.1626	770.4886	52.36793
0	359	781	36	369.317	765.1797	51.88512
0	366	755	52	366.5044	759.9183	51.47899
0	386	785	43	363.7243	754.704	51.10477
0	350	728	38	360.9763	749.5362	50.74483
0	339	714	48	358.2598	744.4144	50.39224
0	363	680	48	355.5746	739.3381	50.04422
0	361	737	32	352.92	734.3067	49.7749
0	341	690	50	350.2958	729.3198	49.90815
1	331	706	51	347.7015	724.3769	49.25906
0	338	711	45	345.1367	719.4774	48.80015
0	324	693	51	342.6009	714.6208	48.41764
0	314	749	37	340.0938	709.8069	48.06676
0	374	701	46	337.615	705.0349	47.72992
0	343	682	35	335.1641	700.3045	47.40015
0	344	677	38	332.7406	695.6152	47.07471
0	360	658	46	330.3443	690.9666	46.75249
0	299	654	36	327.9748	686.3581	46.43305
0	325	692	48	325.6316	681.7895	46.11618
0	313	731	34	323.3145	677.2601	45.8018
0	327	702	30	321.0229	672.7695	45.48984
0	336	695	50	318.7568	668.3175	45.18028
0	331	638	47	316.5156	663.9035	44.87308
0	347	637	43	314.299	659.5271	44.56821
0	343	674	33	312.1068	655.1879	44.26564
0	330	644	51	309.9384	650.8856	43.96535
0	354	683	53	307.7937	646.6197	43.66732
0	343	640	26	305.6724	642.3898	43.37152
0	363	605	44	303.574	638.1955	43.07793
0	291	611	41	301.4983	634.0365	42.78652
0	282	677	41	299.4449	629.9123	42.49727
0	315	656	49	297.4137	625.8226	42.21016
0	287	599	45	295.4042	621.767	41.92516
0	303	602	42	293.4162	617.7451	41.64227
0	307	646	41	291.4494	613.7567	41.36144
0	311	581	36	289.5035	609.8013	41.08266
0	310	622	39	287.5782	605.8785	40.80593
0	284	598	26	285.6733	601.9881	40.5312
0	279	600	35	283.7885	598.1298	40.25848
0	269	578	37	281.9234	594.303	39.98772
0	299	632	20	280.0779	590.5076	39.71892
0	269	575	37	278.2516	586.7432	39.45206
0	264	587	27	276.4444	583.0095	39.18712
0	276	593	24	274.656	579.306	38.92409
0	309	614	29	272.886	575.6327	38.66294
0	291	583	32	271.1343	571.989	38.40366
0	279	586	45	269.4007	568.3748	38.14622
0	278	516	38	267.6848	564.7896	37.89063
0	286	568	36	265.9865	561.2333	37.63686
0	286	564	36	264.3055	557.7054	37.38488
0	317	594	30	262.6415	554.2058	37.13469
0	275	589	36	260.9945	550.7341	36.96151
0	265	603	26	259.3641	547.29	37.18963
1	267	547	30	257.7501	543.8733	36.63435
0	252	569	30	256.1523	540.4836	36.26825
0	266	570	27	254.5705	537.1207	35.9776
0	255	557	31	253.0044	533.7844	35.71769
0	264	497	31	251.454	530.4742	35.47091
0	256	537	33	249.9189	527.1901	35.23032
0	230	522	34	248.399	523.9318	34.99321
0	256	527	24	246.894	520.6988	34.75848
0	268	558	28	245.4038	517.491	34.5257
0	259	496	25	243.9282	514.3082	34.29468
0	270	506	33	242.467	511.1501	34.06535
0	226	543	34	241.02	508.0164	33.83767
0	261	551	35	239.5871	504.9069	33.61161
0	218	516	20	238.1679	501.8214	33.38716
0	243	517	28	236.7624	498.7597	33.1643
0	229	448	24	235.3704	495.7214	32.943
0	242	485	22	233.9917	492.7064	32.72328
0	219	457	40	232.6262	489.7144	32.5051
0	238	488	35	231.2736	486.7452	32.28846
0	218	468	34	229.9339	483.7986	32.07333
0	225	493	31	228.6067	480.8744	31.85972
0	209	463	36	227.2921	477.9723	31.64761
0	212	458	26	225.9897	475.0921	31.43698
0	230	453	28	224.6996	472.2336	31.22783
0	231	467	34	223.4214	469.3967	31.02013
0	227	472	24	222.1551	466.581	30.81388
0	216	459	26	220.9005	463.7864	30.60908
0	240	455	30	219.6574	461.0127	30.4057
0	246	477	38	218.4258	458.2596	30.20373
0	217	438	28	217.2054	455.5271	30.00317
0	198	438	28	215.9962	452.8148	29.804
0	222	447	27	214.7979	450.1226	29.60621
0	255	427	32	213.6105	447.4503	29.4098
0	235	449	30	212.4338	444.7977	29.21474
0	200	462	24	211.2676	442.1647	29.02103
0	273	428	27	210.112	439.5509	28.82866
0	220	496	20	208.9666	436.9564	28.63763
0	201	398	21	207.8314	434.3808	28.44791
0	230	461	26	206.7062	431.824	28.2595
0	218	398	27	205.591	429.2858	28.07239
0	217	450	25	204.4857	426.7661	27.88657
0	221	469	27	203.39	424.2646	27.70203
0	240	397	29	202.3038	421.7813	27.51875
0	195	427	30	201.2272	419.3159	27.33674
0	224	435	28	200.1598	416.8682	27.15599
0	235	410	21	199.1017	414.4381	26.97647
0	218	418	13	198.0527	412.0255	26.79818
0	204	387	28	197.0127	409.6302	26.62112
0	204	422	26	195.9816	407.252	26.44527
0	193	384	18	194.9592	404.8908	26.34587
0	194	374	22	193.9456	402.5464	26.6472
1	175	418	26	192.9405	400.2186	26.16458
0	181	408	27	191.9438	397.9073	25.87058
0	198	433	24	190.9556	395.6124	25.65151
0	212	399	22	189.9756	393.3337	25.46263
0	186	406	16	189.0037	391.0711	25.28636
0	201	406	26	188.0399	388.8243	25.11576
0	192	420	17	187.0841	386.5934	24.9481
0	198	407	26	186.1362	384.3781	24.78233
0	200	383	31	185.196	382.1782	24.61798
0	179	376	16	184.2636	379.9938	24.53014
0	184	385	26	183.3387	377.8245	24.84303
1	196	376	17	182.4213	375.6703	24.37193
0	182	389	20	181.5114	373.5311	24.08941
0	231	338	22	180.6087	371.4067	23.88177
0	201	378	21	179.7133	369.297	23.70427
0	159	379	21	178.8251	367.2018	23.53931
0	162	338	18	177.944	365.1211	23.37998
0	173	368	15	177.0698	363.0546	23.22355
0	160	373	31	176.2026	361.0023	23.06893
0	189	349	22	175.3421	358.9641	22.99092
0	175	353	13	174.4885	356.9398	23.31367
1	183	381	24	173.6415	354.9294	22.85241
0	187	373	21	172.8011	352.9326	22.5797
0	161	382	11	171.9672	350.9494	22.38181
0	194	353	22	171.1398	348.9797	22.21402
0	164	358	32	170.3187	347.0233	22.13396
0	187	366	18	169.5039	345.0801	22.45902
1	174	329	18	168.6954	343.15	22.00179
0	163	312	19	167.893	341.2329	21.73377
0	156	330	14	167.0967	339.3288	21.54084
0	173	304	18	166.3064	337.4374	21.37809
0	153	313	16	165.5221	335.5587	21.22787
0	153	321	15	164.7436	333.6925	21.08324
0	168	355	22	163.971	331.8389	21.01667
0	156	344	19	163.2041	329.9975	21.3514
1	163	304	18	162.4429	328.1684	20.90232
0	145	315	23	161.6873	326.3515	20.64182
0	171	294	22	160.9373	324.5466	20.45614
0	160	309	19	160.1928	322.7537	20.30052
0	144	323	16	159.4537	320.9726	20.15736
0	163	309	15	158.72	319.2033	20.01973
0	168	337	25	157.9916	317.4456	19.88489
0	154	317	16	157.2684	315.6995	19.75177
0	153	306	12	156.5505	313.9648	19.61993
0	160	308	21	155.8377	312.2415	19.48919
0	164	319	12	155.13	310.5295	19.35948
0	138	316	18	154.4274	308.8287	19.306
0	144	318	15	153.7297	307.1389	19.65304
1	127	326	11	153.0369	305.4602	19.21588
0	151	291	15	152.349	303.7924	18.96713
0	124	314	22	151.666	302.1354	18.79306
0	159	285	13	150.9877	300.4891	18.64894
0	156	286	19	150.3141	298.8535	18.51719
0	151	280	28	149.6452	297.2285	18.39088
0	161	318	21	148.9809	295.6139	18.26728
0	149	275	14	148.3212	294.0098	18.1453
0	145	273	17	147.666	292.4159	18.02452
0	161	305	24	147.0153	290.8322	17.90477
0	151	267	10	146.3689	289.2588	17.78596
0	163	290	15	145.727	287.6954	17.66806
0	118	270	19	145.0894	286.142	17.55105
0	147	275	14	144.4561	284.5984	17.43493
0	161	286	16	143.8271	283.0648	17.31966
0	150	261	17	143.2022	281.5409	17.20526
0	130	273	17	142.5815	280.0266	17.0917
0	157	263	28	141.9649	278.522	16.97898
0	137	270	13	141.3524	277.0269	16.8671
0	113	264	11	140.7439	275.5413	16.75603
0	146	278	24	140.1394	274.065	16.64578
0	117	264	15	139.5389	272.598	16.53634
0	146	279	15	138.9422	271.1403	16.42769
0	147	268	18	138.3495	269.6918	16.31984
0	151	269	15	137.7606	268.2523	16.21276
0	129	286	16	137.1754	266.8219	16.10647
0	127	304	18	136.594	265.4004	16.00093
0	110	262	20	136.0164	263.9878	15.89617
0	128	276	18	135.4424	262.584	15.79215
0	125	238	24	134.872	261.189	15.68888
0	142	241	10	134.3053	259.8027	15.58635
0	139	248	16	133.7421	258.425	15.48456
0	125	271	17	133.1825	257.0558	15.38349
0	154	229	10	132.6264	255.6952	15.28314
0	138	262	16	132.0737	254.3429	15.18351
0	140	239	13	131.5245	252.9991	15.08458
0	127	271	10	130.9787	251.6635	14.98636
0	131	246	14	130.4362	250.3362	14.88883
0	132	250	21	129.8971	249.0171	14.79199
0	135	249	13	129.3613	247.706	14.69583
0	121	224	15	128.8288	246.403	14.60035
0	138	237	15	128.2994	245.1081	14.50555
0	129	238	15	127.7733	243.821	14.41141
0	116	274	10	127.2504	242.5419	14.31793
0	117	225	22	126.7307	241.2705	14.22511
0	118	249	18	126.214	240.007	14.20816
0	121	222	20	125.7005	238.7511	14.59142
1	111	231	12	125.19	237.5029	14.19016
0	120	248	15	124.6826	236.2623	13.97699
0	140	227	13	124.1781	235.0292	13.8382
0	115	221	17	123.6767	233.8036	13.72906
0	145	219	14	123.1782	232.5854	13.632
0	114	221	15	122.6826	231.3746	13.54007
0	129	238	11	122.1899	230.1712	13.45057
0	124	246	11	121.7001	228.975	13.36242
0	115	217	13	121.2131	227.786	13.27518
0	126	235	22	120.7289	226.6042	13.18869
0	124	236	14	120.2476	225.4295	13.17811
0	116	248	11	119.769	224.2619	13.56771
1	136	213	11	119.2931	223.1013	13.24803
0	130	216	17	118.82	221.9476	13.51597
1	116	229	20	118.3495	220.8009	13.07312
0	116	215	9	117.8818	219.661	12.84735
