sequence_coordinate	current_or_voltage_signal
-40.000000000000000	-61.165939999999999
-44.000000000000000	-69.844189999999998
-48.000000000000000	-71.212660000000000
-52.000000000000000	-81.740570000000005
-56.000000000000000	-87.845969999999994
-60.000000000000000	-94.242810000000006
-64.000000000000000	-92.235969999999995
-68.000000000000000	-108.473800000000000
-72.000000000000000	-113.467100000000000
-76.000000000000000	-127.791100000000000
-80.000000000000000	-130.357399999999980
-84.000000000000000	-131.629000000000020
-88.000000000000000	-139.984399999999990
-92.000000000000000	-143.229400000000000
-96.000000000000000	-151.455199999999990
-100.000000000000000	-147.958499999999990
-104.000000000000000	-166.469600000000010
-108.000000000000000	-167.585500000000000
-112.000000000000000	-171.817800000000010
-116.000000000000000	-181.875900000000000
-120.000000000000000	-179.926099999999990
-124.000000000000000	-178.591199999999990
-128.000000000000000	-179.872199999999990
-132.000000000000000	-184.560100000000010
-136.000000000000000	-170.619800000000000
-140.000000000000000	-168.438300000000000
-144.000000000000000	-156.029699999999990
-148.000000000000000	-134.568700000000010
-152.000000000000000	-114.578300000000000
-156.000000000000000	-109.220100000000000
-160.000000000000000	-45.530193333333330
-164.000000000000000	-23.835356666666666
-168.000000000000000	-21.759643333333333
-172.000000000000000	-15.786230000000000
-176.000000000000000	-11.333299999999999
-172.000000000000000	-8.532566666666668
-168.000000000000000	-5.256353333333333
-164.000000000000000	-1.985690000000000
-160.000000000000000	3.876863333333333
-156.000000000000000	6.750136666666666
-152.000000000000000	9.784246666666665
-148.000000000000000	12.811209999999999
-144.000000000000000	16.366993333333333
-140.000000000000000	19.375609999999998
-136.000000000000000	12.564366666666668
-132.000000000000000	12.267826666666668
-128.000000000000000	11.805936666666668
-124.000000000000000	12.844586666666668
-120.000000000000000	12.849773333333335
-116.000000000000000	13.190510000000000
-112.000000000000000	14.356790000000000
-108.000000000000000	11.975283333333334
-104.000000000000000	11.582013333333332
-100.000000000000000	10.423836666666666
-96.000000000000000	9.779046666666666
-92.000000000000000	11.558346666666669
-88.000000000000000	9.894399999999999
-84.000000000000000	9.849343333333332
-80.000000000000000	10.642603333333334
-76.000000000000000	9.665176666666667
-72.000000000000000	9.524786666666666
-68.000000000000000	9.938969999999999
-64.000000000000000	10.397936666666666
-60.000000000000000	8.544216666666666
-56.000000000000000	9.350180000000000
-52.000000000000000	9.232593333333334
-48.000000000000000	9.048066666666665
-44.000000000000000	8.225360000000000
-40.000000000000000	7.894516666666666
-36.000000000000000	8.743526666666668
-32.000000000000000	8.178746666666667
-28.000000000000000	8.414136666666666
-24.000000000000000	7.501263333333334
-20.000000000000000	8.400506666666667
-16.000000000000000	7.803126666666666
-12.000000000000000	9.122740000000000
-8.000000000000000	8.019776666666667
-4.000000000000000	9.215166666666667
0.000000000000000	7.738083333333334
