observation_index	numeric_feature_1	numeric_feature_2	numeric_feature_3	numeric_feature_4	numeric_feature_5	numeric_feature_6	numeric_feature_7	numeric_feature_8	numeric_feature_9	numeric_feature_10	numeric_feature_11	numeric_feature_12	numeric_feature_13	numeric_feature_14	numeric_feature_15	numeric_feature_16	numeric_feature_17	numeric_feature_18	numeric_feature_19	numeric_feature_20	numeric_feature_21
45		10	4.209821	45.539761	0.8307595428640989	0.8307595428640989															
46		11	8.242115	103.975243	0.853104454660214	0.853104454660214															
47		12	2.213617	28.140068	0.8541450897971696	0.8541450897971696															
48		1	4.166591	39.259445	0.80810631668062	0.80810631668062															
49		2	7.788338	85.440147	0.8329193486304106	0.8329193486304106															
50		3	8.148285	92.70903	0.8384195534057197	0.8384195534057197															
51		4	2.364441	25.704628	0.831526938068377	0.831526938068377															
52	4.0	0	24.752552	119.695755	0.6572815214788222	0.6572815214788222															
53		5	29.954479	165.440033	0.6933948789718312	0.6933948789718312															
54		6	45.415428	228.538803	0.668445142575659	0.668445142575659															
55		7	44.254704	271.816864	0.7199703581057313	0.7199703581057313															
56		8	21.366999	189.917633	0.7977420430653944	0.7977420430653944															
57		9	12.924615	133.780899	0.8238019192652841	0.8238019192652841															
58		10	4.181782	35.788944	0.7907577660710993	0.7907577660710993															
59		11	7.46854	95.434052	0.8548425291366809	0.8548425291366809															
60		12	17.696949	179.41362	0.8204363257659716	0.8204363257659716															
61		1	4.594556	35.285664	0.7695822139396423	0.7695822139396423															
62		2	5.475939	45.148392	0.7836637485639071	0.7836637485639071															
63		3	6.315675	56.284771	0.7982226835891872	0.7982226835891872															
64		4	4.265587	36.150616	0.7889169846063967	0.7889169846063967															
65	5.0	0	7.586735	30.736122	0.6040621397303443	0.6040621397303443															
66		5	6.873237	24.36154	0.5598984426877772	0.5598984426877772															
67		6	7.754353	40.253334	0.6769536928533966	0.6769536928533966															
68		7	10.730684	61.8004	0.7041079932019214	0.7041079932019214															
69		8	2.857002	27.409575	0.8112107622873904	0.8112107622873904															
70		9	4.015376	27.650963	0.7463946811154899	0.7463946811154899															
71		10	3.173974	14.489264	0.6406124403690875	0.6406124403690875															
72		11	4.696209	27.137136	0.7049503280286756	0.7049503280286756															
73		12	4.189254	26.607719	0.727943782007407	0.727943782007407															
74		1	1.251005	5.0927811	0.6055967271658166	0.6055967271658166															
75		2	1.671696	7.865593	0.649440003338475	0.649440003338475															
76		3	4.163596	22.91782	0.6925126810208152	0.6925126810208152															
77		4	3.057253	14.329106	0.6483159009888155	0.6483159009888155															
78	6.0	0	17.300518	163.806549	0.808947068862862	0.808947068862862															
79		5	15.922096	166.71582	0.8256430389843037	0.8256430389843037															
80		6	19.720762	290.489075	0.8728553408188665	0.8728553408188665															
81		7	36.744335	540.74408	0.8727443389492066	0.8727443389492066															
82		8	6.429615	86.657959	0.8618587911636842	0.8618587911636842															
83		9	5.706854	78.517807	0.8644849636141606	0.8644849636141606															
84		10	2.520805	24.6745	0.8146146917638909	0.8146146917638909															
85		11	5.059608	63.42052	0.8522313509694375	0.8522313509694375															
86		12	6.079001	55.242401	0.8017331371516914	0.8017331371516914															
87		1	3.14898	24.710558	0.7739388212396056	0.7739388212396056															
88		2	2.897659	32.638103	0.836915893347102	0.836915893347102															
89		3	3.234827	37.171406	0.8398847524341108	0.8398847524341108															
90		4	2.415698	19.917116	0.7836638051971418	0.7836638051971418															
91	7.0	0	26.436111	277.324188	0.8259409732803825	0.8259409732803825															
92		5	16.554575	184.992508	0.8357249854119695	0.8357249854119695															
93		6	21.343624	221.979721	0.824565752209267	0.824565752209267															
94		7	19.826376	230.864243	0.8418259440334303	0.8418259440334303															
95		8	10.676288	113.760063	0.8284056400850263	0.8284056400850263															
96		9	11.482533	130.428146	0.8381723901130795	0.8381723901130795															
97		10	3.45788	24.709	0.7544719187925678	0.7544719187925678															
98		11	10.829904	80.768242	0.7635344278693152	0.7635344278693152															
99		12	8.045225	42.612591	0.6823698439743237	0.6823698439743237															
100		1	10.12242	53.719261	0.6828899289165021	0.6828899289165021															
101		2	14.509529	88.013916	0.7169519810810103	0.7169519810810103															
102		3	14.562922	86.085258	0.7106172809086065	0.7106172809086065															
103		4	9.201112	51.238525	0.6955272249566952	0.6955272249566952															
