sample_class	bias_V	current_A
modified_membrane	0.08254	8.66409e-11
modified_membrane	0.08337	8.75147e-11
modified_membrane	0.0842	8.83886e-11
modified_membrane	0.08504	8.92732e-11
modified_membrane	0.08587	9.01474e-11
modified_membrane	0.08671	9.10322e-11
modified_membrane	0.08754	9.19066e-11
modified_membrane	0.08837	9.27811e-11
modified_membrane	0.0892	9.36557e-11
modified_membrane	0.09004	9.4541e-11
modified_membrane	0.09087	9.54159e-11
modified_membrane	0.0917	9.62909e-11
modified_membrane	0.09253	9.71659e-11
modified_membrane	0.09337	9.80517e-11
modified_membrane	0.0942	9.8927e-11
modified_membrane	0.09503	9.98025e-11
modified_membrane	0.09587	1.00689e-10
modified_membrane	0.0967	1.01564e-10
modified_membrane	0.09753	1.0244e-10
modified_membrane	0.09836	1.03316e-10
modified_membrane	0.0992	1.04202e-10
modified_membrane	0.10003	1.05079e-10
modified_membrane	0.10087	1.05965e-10
modified_membrane	0.1017	1.06842e-10
modified_membrane	0.10253	1.07718e-10
modified_membrane	0.10337	1.08605e-10
modified_membrane	0.1042	1.09482e-10
modified_membrane	0.10504	1.10369e-10
modified_membrane	0.10587	1.11246e-10
modified_membrane	0.10671	1.12134e-10
modified_membrane	0.10754	1.13011e-10
modified_membrane	0.10837	1.13888e-10
modified_membrane	0.10921	1.14776e-10
modified_membrane	0.11004	1.15653e-10
modified_membrane	0.11087	1.16531e-10
modified_membrane	0.11171	1.17419e-10
modified_membrane	0.11254	1.18297e-10
modified_membrane	0.11337	1.19175e-10
modified_membrane	0.1142	1.20053e-10
modified_membrane	0.11504	1.20941e-10
modified_membrane	0.11587	1.21819e-10
modified_membrane	0.11671	1.22708e-10
modified_membrane	0.11754	1.23587e-10
modified_membrane	0.11837	1.24465e-10
modified_membrane	0.11921	1.25354e-10
modified_membrane	0.12004	1.26233e-10
modified_membrane	0.12088	1.27122e-10
modified_membrane	0.12171	1.28001e-10
modified_membrane	0.12254	1.2888e-10
modified_membrane	0.12338	1.2977e-10
modified_membrane	0.12421	1.30649e-10
modified_membrane	0.12504	1.31528e-10
modified_membrane	0.12587	1.32407e-10
modified_membrane	0.12671	1.33297e-10
modified_membrane	0.12754	1.34177e-10
modified_membrane	0.12837	1.35057e-10
modified_membrane	0.12921	1.35945e-10
modified_membrane	0.13006	1.36846e-10
modified_membrane	0.13089	1.37723e-10
modified_membrane	0.00336	3.9624e-12
modified_membrane	0.00253	3.10714e-12
modified_membrane	0.00169	2.24205e-12
modified_membrane	0.00085	1.37744e-12
modified_membrane	2e-05	5.23604e-13
modified_membrane	-0.00081	-3.29737e-13
modified_membrane	-0.00164	-1.18257e-12
modified_membrane	-0.00247	-2.03488e-12
modified_membrane	-0.0033	-2.88666e-12
modified_membrane	-0.00414	-3.74816e-12
modified_membrane	-0.00497	-4.59884e-12
modified_membrane	-0.00581	-5.4592e-12
modified_membrane	-0.00664	-6.30875e-12
modified_membrane	-0.00747	-7.15773e-12
modified_membrane	-0.0083	-8.00497e-12
modified_membrane	-0.00914	-8.82728e-12
modified_membrane	-0.00997	-9.6391e-12
modified_membrane	-0.01081	-1.04601e-11
modified_membrane	-0.01164	-1.12707e-11
modified_membrane	-0.01247	-1.20807e-11
modified_membrane	-0.0133	-1.28904e-11
modified_membrane	-0.01413	-1.36997e-11
modified_membrane	-0.01497	-1.45184e-11
modified_membrane	-0.0158	-1.53271e-11
modified_membrane	-0.01663	-1.61357e-11
modified_membrane	-0.01747	-1.69539e-11
modified_membrane	-0.0183	-1.77622e-11
modified_membrane	-0.01914	-1.85803e-11
modified_membrane	-0.01997	-1.93887e-11
modified_membrane	-0.0208	-2.01971e-11
modified_membrane	-0.02163	-2.10056e-11
modified_membrane	-0.02247	-2.18239e-11
modified_membrane	-0.0233	-2.26325e-11
modified_membrane	-0.02413	-2.34413e-11
modified_membrane	-0.02497	-2.426e-11
modified_membrane	-0.0258	-2.50691e-11
modified_membrane	-0.02664	-2.58881e-11
modified_membrane	-0.02747	-2.66975e-11
modified_membrane	-0.0283	-2.7507e-11
modified_membrane	-0.02914	-2.83264e-11
modified_membrane	-0.02997	-2.91363e-11
modified_membrane	-0.03081	-2.9956e-11
modified_membrane	-0.03164	-3.07662e-11
modified_membrane	-0.03247	-3.15765e-11
modified_membrane	-0.0333	-3.23869e-11
modified_membrane	-0.03414	-3.32072e-11
modified_membrane	-0.03497	-3.40179e-11
modified_membrane	-0.0358	-3.48287e-11
modified_membrane	-0.03663	-3.56396e-11
modified_membrane	-0.03747	-3.64605e-11
modified_membrane	-0.0383	-3.72716e-11
modified_membrane	-0.03913	-3.80829e-11
modified_membrane	-0.03997	-3.8904e-11
modified_membrane	-0.0408	-3.97154e-11
modified_membrane	-0.04164	-4.05367e-11
modified_membrane	-0.04247	-4.13483e-11
modified_membrane	-0.0433	-4.216e-11
modified_membrane	-0.04414	-4.29815e-11
modified_membrane	-0.04497	-4.37933e-11
modified_membrane	-0.0458	-4.46051e-11
modified_membrane	-0.04664	-4.54268e-11
modified_membrane	-0.04748	-4.62485e-11
modified_membrane	-0.0483	-4.70507e-11
modified_membrane	-0.04914	-4.78725e-11
modified_membrane	-0.04998	-4.86943e-11
modified_membrane	-0.05081	-4.95064e-11
modified_membrane	-0.05164	-5.03185e-11
modified_membrane	-0.05247	-5.11306e-11
modified_membrane	-0.0533	-5.19427e-11
modified_membrane	-0.05413	-5.27549e-11
modified_membrane	-0.05497	-5.35768e-11
modified_membrane	-0.0558	-5.43889e-11
modified_membrane	-0.05663	-5.5201e-11
modified_membrane	-0.05746	-5.60132e-11
modified_membrane	-0.05829	-5.68253e-11
modified_membrane	-0.05913	-5.76472e-11
modified_membrane	-0.05997	-5.84691e-11
modified_membrane	-0.0608	-5.92811e-11
modified_membrane	-0.06163	-6.00932e-11
modified_membrane	-0.06247	-6.0915e-11
modified_membrane	-0.0633	-6.1727e-11
modified_membrane	-0.06413	-6.2539e-11
modified_membrane	-0.06497	-6.33607e-11
modified_membrane	-0.0658	-6.41726e-11
modified_membrane	-0.06663	-6.49845e-11
modified_membrane	-0.06746	-6.57963e-11
modified_membrane	-0.06829	-6.66081e-11
modified_membrane	-0.06913	-6.74296e-11
modified_membrane	-0.06996	-6.82413e-11
modified_membrane	-0.07078	-6.90432e-11
modified_membrane	-0.0716	-6.9845e-11
modified_membrane	-0.07243	-7.06565e-11
modified_membrane	-0.07326	-7.1468e-11
modified_membrane	-0.0741	-7.22892e-11
modified_membrane	-0.07493	-7.31006e-11
modified_membrane	-0.07576	-7.39119e-11
modified_membrane	-0.07662	-7.47525e-11
modified_membrane	-0.07745	-7.55637e-11
modified_membrane	-0.07828	-7.63748e-11
modified_membrane	-0.07911	-7.71859e-11
modified_membrane	-0.07994	-7.79968e-11
modified_membrane	-0.08076	-7.8798e-11
modified_membrane	-0.08159	-7.96089e-11
modified_membrane	-0.08242	-8.04196e-11
modified_membrane	-0.08329	-8.12694e-11
modified_membrane	-0.08411	-8.20703e-11
modified_membrane	-0.08495	-8.28906e-11
modified_membrane	-0.08577	-8.36913e-11
modified_membrane	-0.0866	-8.45017e-11
modified_membrane	-0.08743	-8.53121e-11
modified_membrane	-0.08826	-8.61223e-11
modified_membrane	-0.08909	-8.69325e-11
modified_membrane	-0.08995	-8.77718e-11
modified_membrane	-0.09078	-8.85818e-11
modified_membrane	-0.09161	-8.93917e-11
modified_membrane	-0.09244	-9.02016e-11
modified_membrane	-0.09326	-9.10016e-11
modified_membrane	-0.09409	-9.18112e-11
modified_membrane	-0.09492	-9.26208e-11
modified_membrane	-0.09576	-9.344e-11
modified_membrane	-0.09661	-9.42689e-11
modified_membrane	-0.09744	-9.50782e-11
modified_membrane	-0.09827	-9.58874e-11
modified_membrane	-0.0991	-9.66966e-11
modified_membrane	-0.09993	-9.75056e-11
modified_membrane	-0.10077	-9.83243e-11
modified_membrane	-0.1016	-9.91331e-11
modified_membrane	-0.10243	-9.99419e-11
modified_membrane	-0.1033	-1.00789e-10
modified_membrane	-0.10412	-1.01588e-10
modified_membrane	-0.10495	-1.02397e-10
modified_membrane	-0.10578	-1.03205e-10
modified_membrane	-0.10661	-1.04013e-10
modified_membrane	-0.10744	-1.04822e-10
modified_membrane	-0.10826	-1.0562e-10
modified_membrane	-0.10909	-1.06428e-10
modified_membrane	-0.10996	-1.07275e-10
modified_membrane	-0.11079	-1.08083e-10
modified_membrane	-0.11162	-1.0889e-10
modified_membrane	-0.11245	-1.09698e-10
modified_membrane	-0.11328	-1.10505e-10
modified_membrane	-0.11411	-1.11313e-10
modified_membrane	-0.11493	-1.1211e-10
modified_membrane	-0.11576	-1.12918e-10
modified_membrane	-0.11663	-1.13764e-10
modified_membrane	-0.11746	-1.14571e-10
modified_membrane	-0.11829	-1.15378e-10
modified_membrane	-0.11912	-1.16184e-10
modified_membrane	-0.11995	-1.16991e-10
modified_membrane	-0.12078	-1.17798e-10
modified_membrane	-0.12161	-1.18604e-10
modified_membrane	-0.12244	-1.19411e-10
modified_membrane	-0.1233	-1.20246e-10
modified_membrane	-0.12413	-1.21052e-10
modified_membrane	-0.12496	-1.21859e-10
modified_membrane	-0.12578	-1.22655e-10
modified_membrane	-0.12662	-1.2347e-10
modified_membrane	-0.12744	-1.24267e-10
modified_membrane	-0.12827	-1.25072e-10
modified_membrane	-0.1291	-1.25878e-10
modified_membrane	-0.12996	-1.26713e-10
modified_membrane	-0.13079	-1.27518e-10
modified_membrane	-0.13162	-1.28324e-10
modified_membrane	-0.13245	-1.29129e-10
modified_membrane	-0.13328	-1.29934e-10
modified_membrane	-0.1341	-1.30729e-10
modified_membrane	-0.13494	-1.31544e-10
modified_membrane	-0.13576	-1.32339e-10
modified_membrane	-0.13663	-1.33183e-10
modified_membrane	-0.13746	-1.33988e-10
modified_membrane	-0.1383	-1.34802e-10
modified_membrane	-0.13912	-1.35597e-10
modified_membrane	-0.13994	-1.36391e-10
modified_membrane	-0.14078	-1.37205e-10
modified_membrane	-0.1416	-1.38e-10
modified_membrane	-0.14243	-1.38804e-10
modified_membrane	-0.1433	-1.39647e-10
modified_membrane	-0.14413	-1.40451e-10
modified_membrane	-0.14496	-1.41255e-10
modified_membrane	-0.14579	-1.42059e-10
modified_membrane	-0.14662	-1.42863e-10
modified_membrane	-0.14743	-1.43647e-10
