sample_class	observation_id	current_pA
modified_membrane	trace_0123	0.11241
modified_membrane	trace_0124	0.11273
modified_membrane	trace_0125	0.11305
modified_membrane	trace_0126	0.11434
modified_membrane	trace_0127	0.11466
modified_membrane	trace_0128	0.11755
modified_membrane	trace_0129	0.11787
modified_membrane	trace_0130	0.11819
modified_membrane	trace_0131	0.12141
modified_membrane	trace_0132	0.12173
modified_membrane	trace_0133	0.12398
modified_membrane	trace_0134	0.12462
modified_membrane	trace_0135	0.12558
modified_membrane	trace_0136	0.12623
modified_membrane	trace_0137	0.12783
modified_membrane	trace_0138	0.12944
modified_membrane	trace_0139	0.13072
modified_membrane	trace_0140	0.13137
modified_membrane	trace_0141	0.1349
modified_membrane	trace_0142	0.13554
modified_membrane	trace_0143	0.13843
modified_membrane	trace_0144	0.13875
modified_membrane	trace_0145	0.14036
modified_membrane	trace_0146	0.141
modified_membrane	trace_0147	0.14357
modified_membrane	trace_0148	0.14422
modified_membrane	trace_0149	0.14454
modified_membrane	trace_0150	0.14711
modified_membrane	trace_0151	0.14775
modified_membrane	trace_0152	0.15032
modified_membrane	trace_0153	0.15546
modified_membrane	trace_0154	0.15642
modified_membrane	trace_0155	0.15642
modified_membrane	trace_0156	0.15964
modified_membrane	trace_0157	0.16317
modified_membrane	trace_0158	0.16349
modified_membrane	trace_0159	0.1667
modified_membrane	trace_0160	0.1712
modified_membrane	trace_0161	0.17345
modified_membrane	trace_0162	0.17377
modified_membrane	trace_0163	0.17474
modified_membrane	trace_0164	0.18052
modified_membrane	trace_0165	0.18469
modified_membrane	trace_0166	0.18534
modified_membrane	trace_0167	0.18759
modified_membrane	trace_0168	0.18887
modified_membrane	trace_0169	0.18919
modified_membrane	trace_0170	0.18951
modified_membrane	trace_0171	0.18983
modified_membrane	trace_0172	0.19016
modified_membrane	trace_0173	0.19305
modified_membrane	trace_0174	0.19658
modified_membrane	trace_0175	0.1969
modified_membrane	trace_0176	0.19979
modified_membrane	trace_0177	0.2075
modified_membrane	trace_0178	0.2104
modified_membrane	trace_0179	0.21297
modified_membrane	trace_0180	0.21425
modified_membrane	trace_0181	0.21618
modified_membrane	trace_0182	0.22067
modified_membrane	trace_0183	0.25023
modified_membrane	trace_0184	0.26854
modified_membrane	trace_0185	0.29167
modified_membrane	trace_0186	0.29585
modified_membrane	trace_0187	0.30581
modified_membrane	trace_0188	0.30838
modified_membrane	trace_0189	0.30966
modified_membrane	trace_0190	0.31223
modified_membrane	trace_0191	0.31255
modified_membrane	trace_0192	0.31319
modified_membrane	trace_0193	0.32444
modified_membrane	trace_0194	0.32476
modified_membrane	trace_0195	0.33632
modified_membrane	trace_0196	0.33697
modified_membrane	trace_0197	0.34307
modified_membrane	trace_0198	0.34339
modified_membrane	trace_0199	0.36684
modified_membrane	trace_0200	0.39768
modified_membrane	trace_0201	0.40218
modified_membrane	trace_0202	0.41567
modified_membrane	trace_0203	0.42916
modified_membrane	trace_0204	0.44876
modified_membrane	trace_0205	0.45454
modified_membrane	trace_0206	0.48088
modified_membrane	trace_0207	0.49213
modified_membrane	trace_0208	0.49245
modified_membrane	trace_0209	0.50273
modified_membrane	trace_0210	0.52554
modified_membrane	trace_0211	0.53614
modified_membrane	trace_0212	0.53935
modified_membrane	trace_0213	0.55092
modified_membrane	trace_0214	0.55638
modified_membrane	trace_0215	0.63669
modified_membrane	trace_0216	0.63829
modified_membrane	trace_0217	0.64793
modified_membrane	trace_0218	0.6489
modified_membrane	trace_0219	0.69355
modified_membrane	trace_0220	0.71315
modified_membrane	trace_0221	0.71315
modified_membrane	trace_0222	0.74655
modified_membrane	trace_0223	0.74688
modified_membrane	trace_0224	0.8002
modified_membrane	trace_0225	0.81241
modified_membrane	trace_0226	0.82558
modified_membrane	trace_0227	0.86188
modified_membrane	trace_0228	0.88597
modified_membrane	trace_0229	0.91039
modified_membrane	trace_0230	0.91585
modified_membrane	trace_0231	0.93577
modified_membrane	trace_0232	0.96565
modified_membrane	trace_0233	1.02411
modified_membrane	trace_0234	1.05238
modified_membrane	trace_0235	1.05817
modified_membrane	trace_0236	1.05848
modified_membrane	trace_0237	1.08065
modified_membrane	trace_0238	1.13109
modified_membrane	trace_0239	1.29782
modified_membrane	trace_0240	1.37943
modified_membrane	trace_0241	1.39258
modified_membrane	trace_0242	1.40446
modified_membrane	trace_0243	1.47515
modified_membrane	trace_0244	1.50021
modified_membrane	trace_0245	1.50373
modified_membrane	trace_0246	1.55224
modified_membrane	trace_0247	1.58597
modified_membrane	trace_0248	1.72024
modified_membrane	trace_0249	1.73021
modified_membrane	trace_0250	1.84812
modified_membrane	trace_0251	1.87702
modified_membrane	trace_0252	1.93227
modified_membrane	trace_0253	1.93743
modified_membrane	trace_0254	1.97468
modified_membrane	trace_0255	1.99171
modified_membrane	trace_0256	2.00938
modified_membrane	trace_0257	2.12568
modified_membrane	trace_0258	2.24582
modified_membrane	trace_0259	2.2802
modified_membrane	trace_0260	2.31425
modified_membrane	trace_0261	2.35182
modified_membrane	trace_0262	2.37111
modified_membrane	trace_0263	2.37271
modified_membrane	trace_0264	2.41318
modified_membrane	trace_0265	2.43342
modified_membrane	trace_0266	2.69814
modified_membrane	trace_0267	2.74375
modified_membrane	trace_0268	2.92365
modified_membrane	trace_0269	2.97056
modified_membrane	trace_0270	3.00332
modified_membrane	trace_0271	3.18387
modified_membrane	trace_0272	3.18997
modified_membrane	trace_0273	3.20892
modified_membrane	trace_0274	3.25165
modified_membrane	trace_0275	3.402
modified_membrane	trace_0276	3.46752
modified_membrane	trace_0277	3.59891
modified_membrane	trace_0278	3.59892
modified_membrane	trace_0279	3.76468
modified_membrane	trace_0280	3.79037
modified_membrane	trace_0281	3.84338
modified_membrane	trace_0282	3.8466
modified_membrane	trace_0283	3.92369
modified_membrane	trace_0284	4.03035
modified_membrane	trace_0285	4.09974
modified_membrane	trace_0286	4.17074
modified_membrane	trace_0287	4.23402
modified_membrane	trace_0288	4.58386
modified_membrane	trace_0289	4.73292
modified_membrane	trace_0290	4.80359
modified_membrane	trace_0291	4.80745
modified_membrane	trace_0292	4.86913
modified_membrane	trace_0293	5.49556
modified_membrane	trace_0294	5.58775
modified_membrane	trace_0295	5.61571
modified_membrane	trace_0296	5.723
modified_membrane	trace_0297	6.08923
modified_membrane	trace_0298	6.16921
modified_membrane	trace_0299	6.24985
modified_membrane	trace_0300	6.67648
modified_membrane	trace_0301	6.82488
modified_membrane	trace_0302	6.86503
modified_membrane	trace_0303	6.95369
modified_membrane	trace_0304	7.07449
modified_membrane	trace_0305	7.44908
modified_membrane	trace_0306	7.63089
modified_membrane	trace_0307	7.68196
modified_membrane	trace_0308	7.72406
modified_membrane	trace_0309	8.42567
modified_membrane	trace_0310	9.13596
modified_membrane	trace_0311	9.32611
modified_membrane	trace_0312	9.36273
modified_membrane	trace_0313	9.3631
modified_membrane	trace_0314	9.37752
modified_membrane	trace_0315	9.52263
modified_membrane	trace_0316	9.65477
modified_membrane	trace_0317	9.69039
modified_membrane	trace_0318	9.72957
modified_membrane	trace_0319	9.83338
modified_membrane	trace_0320	10.43957
modified_membrane	trace_0321	10.50027
modified_membrane	trace_0322	11.74931
modified_membrane	trace_0323	11.98411
modified_membrane	trace_0324	12.66485
modified_membrane	trace_0325	13.00348
modified_membrane	trace_0326	13.34971
modified_membrane	trace_0327	13.58641
modified_membrane	trace_0328	13.72656
modified_membrane	trace_0329	14.05074
modified_membrane	trace_0330	14.88951
modified_membrane	trace_0331	14.91586
modified_membrane	trace_0332	15.55122
modified_membrane	trace_0333	15.78636
modified_membrane	trace_0334	18.047
modified_membrane	trace_0335	18.24428
modified_membrane	trace_0336	19.25623
modified_membrane	trace_0337	20.07959
modified_membrane	trace_0338	21.17089
modified_membrane	trace_0339	21.58362
modified_membrane	trace_0340	21.60192
modified_membrane	trace_0341	22.32284
modified_membrane	trace_0342	22.81337
modified_membrane	trace_0343	23.29939
modified_membrane	trace_0344	23.94418
modified_membrane	trace_0345	25.0502
modified_membrane	trace_0346	25.85209
modified_membrane	trace_0347	26.27899
modified_membrane	trace_0348	26.47883
modified_membrane	trace_0349	26.65868
modified_membrane	trace_0350	26.74971
modified_membrane	trace_0351	27.47465
modified_membrane	trace_0352	27.53441
modified_membrane	trace_0353	28.19558
modified_membrane	trace_0354	29.75262
modified_membrane	trace_0355	31.92784
modified_membrane	trace_0356	32.31075
modified_membrane	trace_0357	33.94873
modified_membrane	trace_0358	34.01626
modified_membrane	trace_0359	34.58874
modified_membrane	trace_0360	34.87491
modified_membrane	trace_0361	35.66197
modified_membrane	trace_0362	36.49142
modified_membrane	trace_0363	37.00863
modified_membrane	trace_0364	40.3352
modified_membrane	trace_0365	40.66473
modified_membrane	trace_0366	40.99214
modified_membrane	trace_0367	42.60028
modified_membrane	trace_0368	43.38766
modified_membrane	trace_0369	43.5698
modified_membrane	trace_0370	43.79245
modified_membrane	trace_0371	46.19568
modified_membrane	trace_0372	46.59083
modified_membrane	trace_0373	46.96638
modified_membrane	trace_0374	47.69949
modified_membrane	trace_0375	48.28955
modified_membrane	trace_0376	48.61081
modified_membrane	trace_0377	49.26041
modified_membrane	trace_0378	49.97293
modified_membrane	trace_0379	51.00672
modified_membrane	trace_0380	51.27815
modified_membrane	trace_0381	55.5944
modified_membrane	trace_0382	58.41878
modified_membrane	trace_0383	60.53618
modified_membrane	trace_0384	64.00756
modified_membrane	trace_0385	70.80479
modified_membrane	trace_0386	71.34183
modified_membrane	trace_0387	71.598
modified_membrane	trace_0388	71.64006
modified_membrane	trace_0389	72.01494
modified_membrane	trace_0390	72.46698
modified_membrane	trace_0391	73.74716
modified_membrane	trace_0392	73.89522
modified_membrane	trace_0393	77.83503
modified_membrane	trace_0394	80.08148
modified_membrane	trace_0395	80.33304
modified_membrane	trace_0396	80.83769
modified_membrane	trace_0397	86.94303
modified_membrane	trace_0398	97.28881
modified_membrane	trace_0399	99.31004
modified_membrane	trace_0400	101.57158
modified_membrane	trace_0401	103.36239
modified_membrane	trace_0402	104.87027
modified_membrane	trace_0403	106.5252
modified_membrane	trace_0404	106.65796
modified_membrane	trace_0405	108.01314
modified_membrane	trace_0406	110.45215
modified_membrane	trace_0407	112.28528
modified_membrane	trace_0408	113.13198
modified_membrane	trace_0409	114.23865
modified_membrane	trace_0410	114.62267
modified_membrane	trace_0411	116.27796
modified_membrane	trace_0412	120.45088
modified_membrane	trace_0413	122.70383
modified_membrane	trace_0414	122.74227
modified_membrane	trace_0415	124.83341
modified_membrane	trace_0416	130.32888
modified_membrane	trace_0417	133.21478
modified_membrane	trace_0418	134.32309
modified_membrane	trace_0419	136.66312
modified_membrane	trace_0420	136.73176
modified_membrane	trace_0421	141.16594
modified_membrane	trace_0422	146.31141
modified_membrane	trace_0423	146.53041
modified_membrane	trace_0424	147.28699
modified_membrane	trace_0425	148.67078
modified_membrane	trace_0426	152.89467
modified_membrane	trace_0427	153.16878
modified_membrane	trace_0428	155.90846
modified_membrane	trace_0429	160.86288
modified_membrane	trace_0430	163.92509
modified_membrane	trace_0431	171.16194
modified_membrane	trace_0432	171.9812
modified_membrane	trace_0433	175.64067
modified_membrane	trace_0434	176.94109
modified_membrane	trace_0435	178.48962
modified_membrane	trace_0436	180.92488
modified_membrane	trace_0437	181.17331
modified_membrane	trace_0438	182.92846
modified_membrane	trace_0439	184.83825
modified_membrane	trace_0440	190.7372
modified_membrane	trace_0441	192.00067
modified_membrane	trace_0442	194.7352
modified_membrane	trace_0443	195.00404
modified_membrane	trace_0444	201.33773
modified_membrane	trace_0445	201.43688
modified_membrane	trace_0446	205.68562
modified_membrane	trace_0447	206.4212
modified_membrane	trace_0448	208.82162
modified_membrane	trace_0449	210.82141
modified_membrane	trace_0450	211.15888
modified_membrane	trace_0451	211.41425
modified_membrane	trace_0452	212.48615
modified_membrane	trace_0453	212.60078
modified_membrane	trace_0454	214.43531
modified_membrane	trace_0455	214.88478
modified_membrane	trace_0456	216.96088
modified_membrane	trace_0457	218.74152
modified_membrane	trace_0458	219.23688
modified_membrane	trace_0459	221.58067
modified_membrane	trace_0460	222.12552
modified_membrane	trace_0461	222.75215
modified_membrane	trace_0462	223.44615
modified_membrane	trace_0463	223.75941
modified_membrane	trace_0464	224.26594
modified_membrane	trace_0465	224.57194
modified_membrane	trace_0466	225.83152
modified_membrane	trace_0467	226.05846
modified_membrane	trace_0468	227.41773
modified_membrane	trace_0469	229.13446
modified_membrane	trace_0470	229.18373
modified_membrane	trace_0471	229.18741
modified_membrane	trace_0472	229.56867
modified_membrane	trace_0473	230.15236
modified_membrane	trace_0474	230.43288
modified_membrane	trace_0475	230.61109
modified_membrane	trace_0476	231.48099
modified_membrane	trace_0477	231.7972
modified_membrane	trace_0478	231.96836
modified_membrane	trace_0479	232.85046
modified_membrane	trace_0480	233.36657
modified_membrane	trace_0481	234.01067
modified_membrane	trace_0482	234.44888
modified_membrane	trace_0483	234.71615
modified_membrane	trace_0484	235.22762
modified_membrane	trace_0485	235.64909
modified_membrane	trace_0486	235.66257
modified_membrane	trace_0487	236.0272
modified_membrane	trace_0488	236.56383
modified_membrane	trace_0489	236.57709
modified_membrane	trace_0490	236.70499
modified_membrane	trace_0491	236.82888
modified_membrane	trace_0492	237.17204
modified_membrane	trace_0493	237.42899
modified_membrane	trace_0494	237.9052
modified_membrane	trace_0495	237.97931
modified_membrane	trace_0496	239.26836
modified_membrane	trace_0497	239.57699
modified_membrane	trace_0498	239.61067
modified_membrane	trace_0499	239.99699
modified_membrane	trace_0500	240.04583
modified_membrane	trace_0501	240.0932
modified_membrane	trace_0502	240.51952
modified_membrane	trace_0503	240.71667
modified_membrane	trace_0504	241.48183
modified_membrane	trace_0505	241.49994
modified_membrane	trace_0506	241.56752
modified_membrane	trace_0507	241.71762
modified_membrane	trace_0508	241.71994
modified_membrane	trace_0509	241.74825
modified_membrane	trace_0510	242.35415
modified_membrane	trace_0511	242.62109
modified_membrane	trace_0512	243.12278
modified_membrane	trace_0513	243.24973
modified_membrane	trace_0514	243.25131
modified_membrane	trace_0515	243.78741
modified_membrane	trace_0516	243.89383
modified_membrane	trace_0517	243.95478
modified_membrane	trace_0518	243.97394
modified_membrane	trace_0519	244.39478
modified_membrane	trace_0520	244.42415
modified_membrane	trace_0521	244.75909
modified_membrane	trace_0522	245.37088
modified_membrane	trace_0523	245.57983
modified_membrane	trace_0524	246.12583
modified_membrane	trace_0525	246.13625
modified_membrane	trace_0526	246.79331
modified_membrane	trace_0527	246.81509
modified_membrane	trace_0528	247.62404
modified_membrane	trace_0529	247.90678
modified_membrane	trace_0530	248.48583
modified_membrane	trace_0531	248.48657
modified_membrane	trace_0532	248.52467
modified_membrane	trace_0533	249.39773
modified_membrane	trace_0534	249.44709
modified_membrane	trace_0535	249.60004
modified_membrane	trace_0536	249.85509
modified_membrane	trace_0537	249.89341
modified_membrane	trace_0538	250.07488
modified_membrane	trace_0539	250.55236
modified_membrane	trace_0540	250.79773
modified_membrane	trace_0541	251.46141
modified_membrane	trace_0542	251.46583
modified_membrane	trace_0543	252.53973
modified_membrane	trace_0544	252.8152
modified_membrane	trace_0545	252.93825
modified_membrane	trace_0546	252.95973
modified_membrane	trace_0547	253.1932
modified_membrane	trace_0548	253.39225
modified_membrane	trace_0549	253.56825
modified_membrane	trace_0550	253.73825
modified_membrane	trace_0551	253.83909
modified_membrane	trace_0552	253.88373
modified_membrane	trace_0553	253.92373
modified_membrane	trace_0554	254.06867
modified_membrane	trace_0555	254.08362
modified_membrane	trace_0556	254.35299
modified_membrane	trace_0557	254.68309
modified_membrane	trace_0558	254.7792
modified_membrane	trace_0559	254.87952
modified_membrane	trace_0560	255.35952
modified_membrane	trace_0561	255.50604
modified_membrane	trace_0562	255.59152
modified_membrane	trace_0563	255.59773
modified_membrane	trace_0564	255.71857
modified_membrane	trace_0565	256.21594
modified_membrane	trace_0566	256.22152
modified_membrane	trace_0567	256.28709
modified_membrane	trace_0568	256.54752
modified_membrane	trace_0569	256.57141
modified_membrane	trace_0570	256.63194
modified_membrane	trace_0571	256.80836
modified_membrane	trace_0572	256.81699
modified_membrane	trace_0573	257.34836
modified_membrane	trace_0574	257.36004
modified_membrane	trace_0575	257.60383
modified_membrane	trace_0576	257.68467
modified_membrane	trace_0577	257.91731
modified_membrane	trace_0578	258.10941
modified_membrane	trace_0579	258.45709
modified_membrane	trace_0580	258.82225
modified_membrane	trace_0581	258.86183
modified_membrane	trace_0582	258.99688
modified_membrane	trace_0583	259.38615
modified_membrane	trace_0584	259.46025
modified_membrane	trace_0585	259.78373
modified_membrane	trace_0586	260.21699
modified_membrane	trace_0587	260.73057
modified_membrane	trace_0588	261.18257
modified_membrane	trace_0589	261.33909
modified_membrane	trace_0590	261.39015
modified_membrane	trace_0591	261.53373
modified_membrane	trace_0592	261.54878
modified_membrane	trace_0593	261.79246
modified_membrane	trace_0594	262.01057
modified_membrane	trace_0595	262.06109
modified_membrane	trace_0596	262.44825
modified_membrane	trace_0597	262.49941
modified_membrane	trace_0598	262.51088
modified_membrane	trace_0599	262.72173
modified_membrane	trace_0600	262.81615
modified_membrane	trace_0601	262.84709
modified_membrane	trace_0602	262.92215
modified_membrane	trace_0603	263.01731
modified_membrane	trace_0604	263.18604
modified_membrane	trace_0605	263.31078
modified_membrane	trace_0606	263.41488
modified_membrane	trace_0607	263.68531
modified_membrane	trace_0608	263.95183
modified_membrane	trace_0609	264.56983
modified_membrane	trace_0610	264.6192
modified_membrane	trace_0611	265.1572
modified_membrane	trace_0612	265.16878
modified_membrane	trace_0613	265.49499
modified_membrane	trace_0614	265.77088
modified_membrane	trace_0615	265.88783
modified_membrane	trace_0616	266.10488
modified_membrane	trace_0617	266.61352
modified_membrane	trace_0618	266.65383
modified_membrane	trace_0619	266.80204
modified_membrane	trace_0620	266.80415
modified_membrane	trace_0621	267.00267
modified_membrane	trace_0622	267.06267
modified_membrane	trace_0623	267.46857
modified_membrane	trace_0624	267.63509
modified_membrane	trace_0625	268.42899
modified_membrane	trace_0626	268.54531
modified_membrane	trace_0627	268.6452
modified_membrane	trace_0628	269.24141
modified_membrane	trace_0629	270.21499
modified_membrane	trace_0630	270.22446
modified_membrane	trace_0631	270.2272
modified_membrane	trace_0632	270.40204
modified_membrane	trace_0633	270.6032
modified_membrane	trace_0634	270.82531
modified_membrane	trace_0635	270.98815
modified_membrane	trace_0636	271.73699
modified_membrane	trace_0637	271.90888
modified_membrane	trace_0638	272.07309
modified_membrane	trace_0639	272.21373
modified_membrane	trace_0640	272.47173
modified_membrane	trace_0641	272.78773
modified_membrane	trace_0642	272.92415
modified_membrane	trace_0643	272.9572
modified_membrane	trace_0644	273.08615
modified_membrane	trace_0645	273.35825
modified_membrane	trace_0646	273.52573
modified_membrane	trace_0647	273.5792
modified_membrane	trace_0648	273.58583
modified_membrane	trace_0649	274.19531
modified_membrane	trace_0650	274.2052
modified_membrane	trace_0651	274.3352
modified_membrane	trace_0652	274.93088
modified_membrane	trace_0653	274.98709
modified_membrane	trace_0654	275.40657
modified_membrane	trace_0655	275.47046
modified_membrane	trace_0656	275.50583
modified_membrane	trace_0657	275.61309
modified_membrane	trace_0658	275.74236
modified_membrane	trace_0659	276.00867
modified_membrane	trace_0660	276.01804
modified_membrane	trace_0661	276.15804
modified_membrane	trace_0662	276.44741
modified_membrane	trace_0663	276.63352
modified_membrane	trace_0664	276.83899
modified_membrane	trace_0665	277.6232
modified_membrane	trace_0666	277.76731
modified_membrane	trace_0667	278.11183
modified_membrane	trace_0668	278.67962
modified_membrane	trace_0669	278.76709
modified_membrane	trace_0670	278.93941
modified_membrane	trace_0671	278.95604
modified_membrane	trace_0672	279.70667
modified_membrane	trace_0673	280.22162
modified_membrane	trace_0674	280.23857
modified_membrane	trace_0675	280.70025
modified_membrane	trace_0676	280.70204
modified_membrane	trace_0677	281.07794
modified_membrane	trace_0678	281.3252
modified_membrane	trace_0679	281.45762
modified_membrane	trace_0680	282.31373
modified_membrane	trace_0681	282.64941
modified_membrane	trace_0682	282.67931
modified_membrane	trace_0683	282.94941
modified_membrane	trace_0684	283.18615
modified_membrane	trace_0685	283.32709
modified_membrane	trace_0686	283.41025
modified_membrane	trace_0687	283.46794
modified_membrane	trace_0688	283.69636
modified_membrane	trace_0689	283.73573
modified_membrane	trace_0690	284.01699
modified_membrane	trace_0691	284.4872
modified_membrane	trace_0692	284.50141
modified_membrane	trace_0693	284.55383
modified_membrane	trace_0694	284.64131
modified_membrane	trace_0695	284.86794
modified_membrane	trace_0696	284.88278
modified_membrane	trace_0697	285.12594
modified_membrane	trace_0698	285.29888
modified_membrane	trace_0699	285.35562
modified_membrane	trace_0700	285.40057
modified_membrane	trace_0701	285.52078
modified_membrane	trace_0702	286.28373
modified_membrane	trace_0703	286.30857
modified_membrane	trace_0704	286.51815
modified_membrane	trace_0705	286.76278
modified_membrane	trace_0706	287.17678
modified_membrane	trace_0707	287.35131
modified_membrane	trace_0708	287.44152
modified_membrane	trace_0709	288.19352
modified_membrane	trace_0710	288.45636
modified_membrane	trace_0711	288.49225
modified_membrane	trace_0712	288.60225
modified_membrane	trace_0713	288.64994
modified_membrane	trace_0714	289.60404
modified_membrane	trace_0715	289.65183
modified_membrane	trace_0716	289.66562
modified_membrane	trace_0717	290.46152
modified_membrane	trace_0718	290.90941
modified_membrane	trace_0719	290.96994
modified_membrane	trace_0720	291.53583
modified_membrane	trace_0721	293.43815
modified_membrane	trace_0722	293.59109
modified_membrane	trace_0723	293.93015
modified_membrane	trace_0724	294.20509
modified_membrane	trace_0725	294.49088
modified_membrane	trace_0726	294.70962
modified_membrane	trace_0727	294.76688
modified_membrane	trace_0728	295.40215
modified_membrane	trace_0729	295.65783
modified_membrane	trace_0730	295.83573
modified_membrane	trace_0731	295.92499
modified_membrane	trace_0732	296.17573
modified_membrane	trace_0733	296.18678
modified_membrane	trace_0734	298.73952
modified_membrane	trace_0735	298.95973
modified_membrane	trace_0736	299.99131
modified_membrane	trace_0737	300.39457
modified_membrane	trace_0738	300.47499
modified_membrane	trace_0739	300.58562
modified_membrane	trace_0740	300.61309
modified_membrane	trace_0741	300.94836
modified_membrane	trace_0742	302.78646
modified_membrane	trace_0743	304.23552
modified_membrane	trace_0744	305.76246
modified_membrane	trace_0745	305.82888
modified_membrane	trace_0746	307.15415
modified_membrane	trace_0747	307.32909
modified_membrane	trace_0748	307.69436
modified_membrane	trace_0749	308.62352
modified_membrane	trace_0750	309.27552
modified_membrane	trace_0751	309.79352
modified_membrane	trace_0752	310.03446
modified_membrane	trace_0753	310.17446
modified_membrane	trace_0754	310.70983
modified_membrane	trace_0755	310.76773
modified_membrane	trace_0756	311.80246
modified_membrane	trace_0757	312.16404
modified_membrane	trace_0758	312.94931
modified_membrane	trace_0759	313.11773
modified_membrane	trace_0760	313.73783
modified_membrane	trace_0761	314.60804
modified_membrane	trace_0762	314.94067
modified_membrane	trace_0763	316.25267
modified_membrane	trace_0764	316.48099
modified_membrane	trace_0765	316.72636
modified_membrane	trace_0766	316.97888
modified_membrane	trace_0767	317.02467
modified_membrane	trace_0768	319.04994
modified_membrane	trace_0769	319.33604
modified_membrane	trace_0770	320.27846
modified_membrane	trace_0771	323.44499
modified_membrane	trace_0772	324.57204
modified_membrane	trace_0773	325.19952
modified_membrane	trace_0774	325.20973
modified_membrane	trace_0775	325.40057
modified_membrane	trace_0776	326.35162
