design_series	wavelength_nm	relative_emission_au
series_A	1120.0	0.78335
series_A	1121.0	0.77924
series_A	1122.0	0.77516
series_A	1123.0	0.77113
series_A	1124.0	0.76714
series_A	1125.0	0.7632
series_A	1126.0	0.75931
series_A	1127.0	0.75548
series_A	1128.0	0.7517
series_A	1129.0	0.74798
series_A	1130.0	0.74432
series_A	1131.0	0.74072
series_A	1132.0	0.73717
series_A	1133.0	0.73368
series_A	1134.0	0.73025
series_A	1135.0	0.72686
series_A	1136.0	0.72353
series_A	1137.0	0.72025
series_A	1138.0	0.71701
series_A	1139.0	0.71382
series_A	1140.0	0.71068
series_A	1141.0	0.7076
series_A	1142.0	0.70457
series_A	1143.0	0.70159
series_A	1144.0	0.69867
series_A	1145.0	0.6958
series_A	1146.0	0.69298
series_A	1147.0	0.6902
series_A	1148.0	0.68744
series_A	1149.0	0.6847
series_A	1150.0	0.68195
series_A	1151.0	0.67919
series_A	1152.0	0.67638
series_A	1153.0	0.67353
series_A	1154.0	0.67061
series_A	1155.0	0.66762
series_A	1156.0	0.66457
series_A	1157.0	0.66143
series_A	1158.0	0.65822
series_A	1159.0	0.65493
series_A	1160.0	0.65158
series_A	1161.0	0.64818
series_A	1162.0	0.64473
series_A	1163.0	0.64125
series_A	1164.0	0.63774
series_A	1165.0	0.63422
series_A	1166.0	0.6307
series_A	1167.0	0.62719
series_A	1168.0	0.6237
series_A	1169.0	0.62023
series_A	1170.0	0.61679
series_A	1171.0	0.61338
series_A	1172.0	0.61002
series_A	1173.0	0.60671
series_A	1174.0	0.60345
series_A	1175.0	0.60025
series_A	1176.0	0.59711
series_A	1177.0	0.59403
series_A	1178.0	0.591
series_A	1179.0	0.58801
series_A	1180.0	0.58505
series_A	1181.0	0.58212
series_A	1182.0	0.57919
series_A	1183.0	0.57627
series_A	1184.0	0.57334
series_A	1185.0	0.57039
series_A	1186.0	0.56743
series_A	1187.0	0.56443
series_A	1188.0	0.56139
series_A	1189.0	0.55833
series_A	1190.0	0.55525
series_A	1191.0	0.55215
series_A	1192.0	0.54904
series_A	1193.0	0.54595
series_A	1194.0	0.54289
series_A	1195.0	0.53986
series_A	1196.0	0.53686
series_A	1197.0	0.53391
series_A	1198.0	0.53101
series_A	1199.0	0.52815
series_A	1200.0	0.52534
series_A	1201.0	0.52257
series_A	1202.0	0.51986
series_A	1203.0	0.5172
series_A	1204.0	0.51459
series_A	1205.0	0.51203
series_A	1206.0	0.50952
series_A	1207.0	0.50705
series_A	1208.0	0.50463
series_A	1209.0	0.50226
series_A	1210.0	0.49994
series_A	1211.0	0.49767
series_A	1212.0	0.49544
series_A	1213.0	0.49325
series_A	1214.0	0.4911
series_A	1215.0	0.48897
series_A	1216.0	0.48684
series_A	1217.0	0.48472
series_A	1218.0	0.48258
series_A	1219.0	0.48042
series_A	1220.0	0.47824
series_A	1221.0	0.47602
series_A	1222.0	0.47377
series_A	1223.0	0.47148
series_A	1224.0	0.46914
series_A	1225.0	0.46677
series_A	1226.0	0.46436
series_A	1227.0	0.46191
series_A	1228.0	0.45944
series_A	1229.0	0.45696
series_A	1230.0	0.45448
series_A	1231.0	0.452
series_A	1232.0	0.44953
series_A	1233.0	0.44707
series_A	1234.0	0.44462
series_A	1235.0	0.44217
series_A	1236.0	0.43974
series_A	1237.0	0.43731
series_A	1238.0	0.43487
series_A	1239.0	0.43241
series_A	1240.0	0.42992
series_A	1241.0	0.42739
series_A	1242.0	0.42478
series_A	1243.0	0.4221
series_A	1244.0	0.41933
series_A	1245.0	0.41646
series_A	1246.0	0.41349
series_A	1247.0	0.41042
series_A	1248.0	0.40724
series_A	1249.0	0.40398
series_A	1250.0	0.40063
series_A	1251.0	0.39721
series_A	1252.0	0.39373
series_A	1253.0	0.39021
series_A	1254.0	0.38665
series_A	1255.0	0.38307
series_A	1256.0	0.37949
series_A	1257.0	0.37591
series_A	1258.0	0.37234
series_A	1259.0	0.36879
series_A	1260.0	0.36526
series_A	1261.0	0.36176
series_A	1262.0	0.35829
series_A	1263.0	0.35487
series_A	1264.0	0.35149
series_A	1265.0	0.34815
series_A	1266.0	0.34487
series_A	1267.0	0.34165
series_A	1268.0	0.33848
series_A	1269.0	0.33538
series_A	1270.0	0.33232
series_A	1271.0	0.32932
series_A	1272.0	0.32635
series_A	1273.0	0.32341
series_A	1274.0	0.32048
series_A	1275.0	0.31754
series_A	1276.0	0.31457
series_A	1277.0	0.31155
series_A	1278.0	0.30846
series_A	1279.0	0.30528
series_A	1280.0	0.30202
series_A	1281.0	0.29867
series_A	1282.0	0.29522
series_A	1283.0	0.29169
series_A	1284.0	0.28809
series_A	1285.0	0.28443
series_A	1286.0	0.28073
series_A	1287.0	0.27702
series_A	1288.0	0.27333
series_A	1289.0	0.26968
series_A	1290.0	0.2661
series_A	1291.0	0.26261
series_A	1292.0	0.25924
series_A	1293.0	0.256
series_A	1294.0	0.25289
series_A	1295.0	0.24993
series_A	1296.0	0.24712
series_A	1297.0	0.24447
series_A	1298.0	0.24199
series_A	1299.0	0.23966
series_A	1300.0	0.2375
series_A	1301.0	0.2355
series_A	1302.0	0.23366
series_A	1303.0	0.23196
series_A	1304.0	0.23039
series_A	1305.0	0.22894
series_A	1306.0	0.2276
series_A	1307.0	0.22635
series_A	1308.0	0.2252
series_A	1309.0	0.22412
series_A	1310.0	0.22309
series_A	1311.0	0.22211
series_A	1312.0	0.22115
series_A	1313.0	0.2202
series_A	1314.0	0.21924
series_A	1315.0	0.21827
series_A	1316.0	0.21727
series_A	1317.0	0.21624
series_A	1318.0	0.21516
series_A	1319.0	0.21403
series_A	1320.0	0.21284
series_A	1321.0	0.21158
series_A	1322.0	0.21023
series_A	1323.0	0.2088
series_A	1324.0	0.20726
series_A	1325.0	0.20562
series_A	1326.0	0.20388
series_A	1327.0	0.20206
series_A	1328.0	0.20015
series_A	1329.0	0.19818
series_A	1330.0	0.19615
series_A	1331.0	0.19407
series_A	1332.0	0.19195
series_A	1333.0	0.18982
series_A	1334.0	0.18769
series_A	1335.0	0.18558
series_A	1336.0	0.1835
series_A	1337.0	0.18146
series_A	1338.0	0.17947
series_A	1339.0	0.17755
series_A	1340.0	0.17568
series_A	1341.0	0.17388
series_A	1342.0	0.17214
series_A	1343.0	0.17046
series_A	1344.0	0.16884
series_A	1345.0	0.16729
series_A	1346.0	0.16582
series_A	1347.0	0.16441
series_A	1348.0	0.16309
series_A	1349.0	0.16185
series_A	1350.0	0.16069
series_A	1351.0	0.1596
series_A	1352.0	0.15859
series_A	1353.0	0.15765
series_A	1354.0	0.15676
series_A	1355.0	0.15592
series_A	1356.0	0.15511
series_A	1357.0	0.15432
series_A	1358.0	0.15352
series_A	1359.0	0.15269
series_A	1360.0	0.15182
series_A	1361.0	0.15088
series_A	1362.0	0.14987
series_A	1363.0	0.14877
series_A	1364.0	0.14758
series_A	1365.0	0.14631
series_A	1366.0	0.14498
series_A	1367.0	0.14358
series_A	1368.0	0.14215
series_A	1369.0	0.14069
series_A	1370.0	0.13922
series_A	1371.0	0.13776
series_A	1372.0	0.13631
series_A	1373.0	0.1349
series_A	1374.0	0.13352
series_A	1375.0	0.13219
series_A	1376.0	0.13091
series_A	1377.0	0.12968
series_A	1378.0	0.12849
series_A	1379.0	0.12734
series_A	1380.0	0.12622
series_A	1381.0	0.12514
series_A	1382.0	0.12409
series_A	1383.0	0.12307
series_A	1384.0	0.12209
series_A	1385.0	0.12117
series_A	1386.0	0.1203
series_A	1387.0	0.11949
series_A	1388.0	0.11875
series_A	1389.0	0.11807
series_A	1390.0	0.11745
series_A	1391.0	0.1169
series_A	1392.0	0.11641
series_A	1393.0	0.11596
series_A	1394.0	0.11555
series_A	1395.0	0.11517
series_A	1396.0	0.1148
series_A	1397.0	0.11443
series_A	1398.0	0.11406
series_A	1399.0	0.11368
series_A	1400.0	0.11327
series_A	1401.0	0.11285
series_A	1402.0	0.1124
series_A	1403.0	0.11193
series_A	1404.0	0.11146
series_A	1405.0	0.11098
series_A	1406.0	0.1105
series_A	1407.0	0.11003
series_A	1408.0	0.10956
series_A	1409.0	0.10912
series_A	1410.0	0.10868
series_A	1411.0	0.10826
series_A	1412.0	0.10783
series_A	1413.0	0.10741
series_A	1414.0	0.10697
series_A	1415.0	0.10651
series_A	1416.0	0.10602
series_A	1417.0	0.10551
series_A	1418.0	0.10496
series_A	1419.0	0.10438
series_A	1420.0	0.10376
series_A	1421.0	0.1031
series_A	1422.0	0.10242
series_A	1423.0	0.10172
series_A	1424.0	0.10102
series_A	1425.0	0.10031
series_A	1426.0	0.0996
series_A	1427.0	0.0989
series_A	1428.0	0.09822
series_A	1429.0	0.09755
series_A	1430.0	0.09688
series_A	1431.0	0.09623
series_A	1432.0	0.09557
series_A	1433.0	0.09491
series_A	1434.0	0.09424
series_A	1435.0	0.09355
series_A	1436.0	0.09285
series_A	1437.0	0.09213
series_A	1438.0	0.09139
series_A	1439.0	0.09063
series_A	1440.0	0.08986
series_A	1441.0	0.08908
series_A	1442.0	0.08829
series_A	1443.0	0.0875
series_A	1444.0	0.08671
series_A	1445.0	0.08593
series_A	1446.0	0.08515
series_A	1447.0	0.08438
series_A	1448.0	0.08362
series_A	1449.0	0.08286
series_A	1450.0	0.0821
series_A	1451.0	0.08133
series_A	1452.0	0.08056
series_A	1453.0	0.07978
series_A	1454.0	0.079
series_A	1455.0	0.07822
series_A	1456.0	0.07744
series_A	1457.0	0.07667
series_A	1458.0	0.07591
series_A	1459.0	0.07517
series_A	1460.0	0.07446
series_A	1461.0	0.07378
series_A	1462.0	0.07314
series_A	1463.0	0.07255
series_A	1464.0	0.07201
series_A	1465.0	0.0715
series_A	1466.0	0.07104
series_A	1467.0	0.07061
series_A	1468.0	0.07021
series_A	1469.0	0.06984
series_A	1470.0	0.06948
series_A	1471.0	0.06913
series_A	1472.0	0.06878
series_A	1473.0	0.06843
series_A	1474.0	0.06806
series_A	1475.0	0.06769
series_A	1476.0	0.06729
series_A	1477.0	0.06688
series_A	1478.0	0.06645
series_A	1479.0	0.06601
series_A	1480.0	0.06556
series_A	1481.0	0.0651
series_A	1482.0	0.06463
series_A	1483.0	0.06415
series_A	1484.0	0.06366
series_A	1485.0	0.06317
series_A	1486.0	0.06268
series_A	1487.0	0.0622
series_A	1488.0	0.06172
series_A	1489.0	0.06125
series_A	1490.0	0.06078
series_A	1491.0	0.06032
series_A	1492.0	0.05988
series_A	1493.0	0.05944
series_A	1494.0	0.05901
series_A	1495.0	0.05858
series_A	1496.0	0.05816
series_A	1497.0	0.05774
series_A	1498.0	0.05732
series_A	1499.0	0.0569
series_A	1500.0	0.05648
series_A	1501.0	0.05604
series_A	1502.0	0.0556
series_A	1503.0	0.05517
series_A	1504.0	0.05473
series_A	1505.0	0.05431
series_A	1506.0	0.05391
series_A	1507.0	0.05355
series_A	1508.0	0.05322
series_A	1509.0	0.05292
series_A	1510.0	0.05267
series_A	1511.0	0.05248
series_A	1512.0	0.05233
series_A	1513.0	0.05222
series_A	1514.0	0.05215
series_A	1515.0	0.05212
series_A	1516.0	0.05211
series_A	1517.0	0.05211
series_A	1518.0	0.0521
series_A	1519.0	0.05209
series_A	1520.0	0.05206
series_A	1521.0	0.052
series_A	1522.0	0.0519
series_A	1523.0	0.05177
series_A	1524.0	0.0516
series_A	1525.0	0.05139
series_A	1526.0	0.05115
series_A	1527.0	0.05086
series_A	1528.0	0.05053
series_A	1529.0	0.05015
series_A	1530.0	0.04974
series_A	1531.0	0.04928
series_A	1532.0	0.04877
series_A	1533.0	0.04822
series_A	1534.0	0.04762
series_A	1535.0	0.04698
series_A	1536.0	0.04628
series_A	1537.0	0.04554
series_A	1538.0	0.04474
series_A	1539.0	0.04391
series_A	1540.0	0.04305
series_A	1541.0	0.04218
series_A	1542.0	0.04132
series_A	1543.0	0.04047
series_A	1544.0	0.03966
series_A	1545.0	0.03889
series_A	1546.0	0.03817
series_A	1547.0	0.03751
series_A	1548.0	0.03692
series_A	1549.0	0.0364
series_A	1550.0	0.03595
series_A	1551.0	0.03557
series_A	1552.0	0.03524
series_A	1553.0	0.03496
series_A	1554.0	0.03472
series_A	1555.0	0.03449
series_A	1556.0	0.03427
series_A	1557.0	0.03405
series_A	1558.0	0.03382
series_A	1559.0	0.03359
series_A	1560.0	0.03335
series_A	1561.0	0.0331
series_A	1562.0	0.03285
series_A	1563.0	0.0326
series_A	1564.0	0.03236
series_A	1565.0	0.03212
series_A	1566.0	0.03189
series_A	1567.0	0.03166
series_A	1568.0	0.03145
series_A	1569.0	0.03124
series_A	1570.0	0.03105
series_A	1571.0	0.03085
series_A	1572.0	0.03064
series_A	1573.0	0.03042
series_A	1574.0	0.0302
series_A	1575.0	0.02996
series_A	1576.0	0.02972
series_A	1577.0	0.02947
series_A	1578.0	0.02922
series_A	1579.0	0.02898
series_A	1580.0	0.02874
series_A	1581.0	0.0285
series_A	1582.0	0.02828
series_A	1583.0	0.02808
series_A	1584.0	0.02789
series_A	1585.0	0.02771
series_A	1586.0	0.02755
series_A	1587.0	0.02741
series_A	1588.0	0.02728
series_A	1589.0	0.02715
series_A	1590.0	0.02704
series_A	1591.0	0.02692
series_A	1592.0	0.02681
series_A	1593.0	0.0267
series_A	1594.0	0.02661
series_A	1595.0	0.02652
series_A	1596.0	0.02643
series_A	1597.0	0.02636
series_A	1598.0	0.02629
series_A	1599.0	0.02623
series_A	1600.0	0.02618
series_B	850.0	0.01605
series_B	851.0	0.01421
series_B	852.0	0.01252
series_B	853.0	0.01098
series_B	854.0	0.00959
series_B	855.0	0.00834
series_B	856.0	0.00723
series_B	857.0	0.00628
series_B	858.0	0.00546
series_B	859.0	0.0048
series_B	860.0	0.00428
series_B	861.0	0.00396
series_B	862.0	0.0038
series_B	863.0	0.00379
series_B	864.0	0.0039
series_B	865.0	0.0041
series_B	866.0	0.00438
series_B	867.0	0.00473
series_B	868.0	0.00512
series_B	869.0	0.00556
series_B	870.0	0.00605
series_B	871.0	0.0066
series_B	872.0	0.00722
series_B	873.0	0.00795
series_B	874.0	0.00881
series_B	875.0	0.00985
series_B	876.0	0.01112
series_B	877.0	0.01266
series_B	878.0	0.01453
series_B	879.0	0.01679
series_B	880.0	0.01949
series_B	881.0	0.0227
series_B	882.0	0.0264
series_B	883.0	0.0306
series_B	884.0	0.03532
series_B	885.0	0.04056
series_B	886.0	0.04634
series_B	887.0	0.05265
series_B	888.0	0.05948
series_B	889.0	0.06681
series_B	890.0	0.07464
series_B	891.0	0.08294
series_B	892.0	0.09169
series_B	893.0	0.10086
series_B	894.0	0.11043
series_B	895.0	0.12036
series_B	896.0	0.13061
series_B	897.0	0.14113
series_B	898.0	0.15189
series_B	899.0	0.16282
series_B	900.0	0.17388
series_B	901.0	0.18501
series_B	902.0	0.19615
series_B	903.0	0.20726
series_B	904.0	0.21827
series_B	905.0	0.22916
series_B	906.0	0.23986
series_B	907.0	0.25036
series_B	908.0	0.26061
series_B	909.0	0.2706
series_B	910.0	0.28032
series_B	911.0	0.28978
series_B	912.0	0.29898
series_B	913.0	0.30794
series_B	914.0	0.31669
series_B	915.0	0.32525
series_B	916.0	0.33365
series_B	917.0	0.34192
series_B	918.0	0.35007
series_B	919.0	0.35814
series_B	920.0	0.36615
series_B	921.0	0.37412
series_B	922.0	0.38208
series_B	923.0	0.39004
series_B	924.0	0.39802
series_B	925.0	0.40602
series_B	926.0	0.41407
series_B	927.0	0.42215
series_B	928.0	0.43029
series_B	929.0	0.43848
series_B	930.0	0.44674
series_B	931.0	0.45507
series_B	932.0	0.46348
series_B	933.0	0.47199
series_B	934.0	0.48059
series_B	935.0	0.48929
series_B	936.0	0.49807
series_B	937.0	0.50691
series_B	938.0	0.51581
series_B	939.0	0.52476
series_B	940.0	0.53372
series_B	941.0	0.54268
series_B	942.0	0.55164
series_B	943.0	0.56056
series_B	944.0	0.56943
series_B	945.0	0.57824
series_B	946.0	0.58697
series_B	947.0	0.5956
series_B	948.0	0.60413
series_B	949.0	0.61256
series_B	950.0	0.62091
series_B	951.0	0.62917
series_B	952.0	0.63737
series_B	953.0	0.64551
series_B	954.0	0.6536
series_B	955.0	0.66163
series_B	956.0	0.6696
series_B	957.0	0.67751
series_B	958.0	0.68536
series_B	959.0	0.69314
series_B	960.0	0.70085
series_B	961.0	0.70849
series_B	962.0	0.71604
series_B	963.0	0.7235
series_B	964.0	0.73085
series_B	965.0	0.7381
series_B	966.0	0.74522
series_B	967.0	0.7522
series_B	968.0	0.75905
series_B	969.0	0.76576
series_B	970.0	0.77234
series_B	971.0	0.77878
series_B	972.0	0.7851
series_B	973.0	0.79128
series_B	974.0	0.79732
series_B	975.0	0.80322
series_B	976.0	0.80897
series_B	977.0	0.81459
series_B	978.0	0.82008
series_B	979.0	0.82545
series_B	980.0	0.83071
series_B	981.0	0.83586
series_B	982.0	0.84092
series_B	983.0	0.84589
series_B	984.0	0.85078
series_B	985.0	0.85558
series_B	986.0	0.8603
series_B	987.0	0.86495
series_B	988.0	0.86953
series_B	989.0	0.87406
series_B	990.0	0.87854
series_B	991.0	0.88297
series_B	992.0	0.88736
series_B	993.0	0.8917
series_B	994.0	0.896
series_B	995.0	0.90026
series_B	996.0	0.90449
series_B	997.0	0.90869
series_B	998.0	0.91287
series_B	999.0	0.91703
series_B	1000.0	0.92117
series_B	1001.0	0.9253
series_B	1002.0	0.92941
series_B	1003.0	0.93348
series_B	1004.0	0.93751
series_B	1005.0	0.94148
series_B	1006.0	0.94539
series_B	1007.0	0.94922
series_B	1008.0	0.95296
series_B	1009.0	0.9566
series_B	1010.0	0.96013
series_B	1011.0	0.96352
series_B	1012.0	0.96677
series_B	1013.0	0.96986
series_B	1014.0	0.97279
series_B	1015.0	0.97556
series_B	1016.0	0.97816
series_B	1017.0	0.98058
series_B	1018.0	0.98283
series_B	1019.0	0.9849
series_B	1020.0	0.98678
series_B	1021.0	0.98848
series_B	1022.0	0.98998
series_B	1023.0	0.99128
series_B	1024.0	0.99238
series_B	1025.0	0.99329
series_B	1026.0	0.99399
series_B	1027.0	0.99451
series_B	1028.0	0.99485
series_B	1029.0	0.99501
series_B	1030.0	0.99501
series_B	1031.0	0.99486
series_B	1032.0	0.99456
series_B	1033.0	0.99413
series_B	1034.0	0.99359
series_B	1035.0	0.99296
series_B	1036.0	0.99223
series_B	1037.0	0.99141
series_B	1038.0	0.99052
series_B	1039.0	0.98956
series_B	1040.0	0.98854
series_B	1041.0	0.98745
series_B	1042.0	0.98631
series_B	1043.0	0.98513
series_B	1044.0	0.9839
series_B	1045.0	0.98263
series_B	1046.0	0.98133
series_B	1047.0	0.98
series_B	1048.0	0.97864
series_B	1049.0	0.97725
series_B	1050.0	0.97584
series_B	1051.0	0.97439
series_B	1052.0	0.9729
series_B	1053.0	0.97139
series_B	1054.0	0.96985
series_B	1055.0	0.96827
series_B	1056.0	0.96667
series_B	1057.0	0.96504
series_B	1058.0	0.9634
series_B	1059.0	0.96174
series_B	1060.0	0.96007
series_B	1061.0	0.9584
series_B	1062.0	0.95674
series_B	1063.0	0.95509
series_B	1064.0	0.95345
series_B	1065.0	0.95182
series_B	1066.0	0.95019
series_B	1067.0	0.94856
series_B	1068.0	0.94692
series_B	1069.0	0.94524
series_B	1070.0	0.94352
series_B	1071.0	0.94173
series_B	1072.0	0.93986
series_B	1073.0	0.93792
series_B	1074.0	0.93588
series_B	1075.0	0.93374
series_B	1076.0	0.93149
series_B	1077.0	0.92914
series_B	1078.0	0.92669
series_B	1079.0	0.92414
series_B	1080.0	0.92148
series_B	1081.0	0.91874
series_B	1082.0	0.91591
series_B	1083.0	0.91299
series_B	1084.0	0.90998
series_B	1085.0	0.90689
series_B	1086.0	0.90372
series_B	1087.0	0.90046
series_B	1088.0	0.89713
series_B	1089.0	0.89371
series_B	1090.0	0.89021
series_B	1091.0	0.88664
series_B	1092.0	0.883
series_B	1093.0	0.8793
series_B	1094.0	0.87555
series_B	1095.0	0.87175
series_B	1096.0	0.86792
series_B	1097.0	0.86404
series_B	1098.0	0.86012
series_B	1099.0	0.85616
series_B	1100.0	0.85215
series_B	1101.0	0.84808
series_B	1102.0	0.84394
series_B	1103.0	0.83972
series_B	1104.0	0.83541
series_B	1105.0	0.83101
series_B	1106.0	0.8265
series_B	1107.0	0.8219
series_B	1108.0	0.8172
series_B	1109.0	0.81242
series_B	1110.0	0.80757
series_B	1111.0	0.80268
series_B	1112.0	0.79776
series_B	1113.0	0.79285
series_B	1114.0	0.78797
series_B	1115.0	0.78313
series_B	1116.0	0.77837
series_B	1117.0	0.7737
