region_index	coord_x	coord_y	coord_z	annotation_1
155	8550	625	4440	-0.03767012222994785
156	8125	650	4840	0.01350138890143117
157	8175	1275	5240	0.05932947166405372
158	6375	4325	3665	0.0199946537213466
159	6150	6325	5540	0.004447718718749326
160	8950	2475	4765	0.01804521397159682
161	9125	1525	4990	0.08164113905279141
162	5625	3625	5140	0.03470761624226737
163	5275	6125	4115	-0.01386521689342741
164	11225	2400	3415	0.08794445493019751
165	6700	4950	5240	-0.01374539203174398
166	8475	5050	4190	0.01244644920035951
167	8450	5275	4040	0.03270589628994445
168	9950	6850	4415	0.08706546883916909
169	7475	4375	5565	0.0059858221166925
170	7325	4975	5390	-0.01092714307690591
171	8000	4450	4115	-0.001388673713987357
172	11675	4925	4415	0.1326194298905117
173	12850	5900	3690	0.05543054877721438
174	12175	5875	3640	0.07560658163664735
175	11125	5925	3790	0.05825940657940482
176	5925	2350	2115	-0.114785867029457
177	5475	1600	3940	-0.07902498650628154
178	4175	2925	2665	-0.1170761886522746
179	4450	3400	2140	-0.1279539757475291
180	6525	1225	3365	-0.07311372937354492
181	5075	2025	3090	-0.09490037795054172
182	5750	3675	1440	-0.1487422569725478
183	7400	5425	4015	0.0117397759548163
184	8350	1975	3790	-0.02453603374979618
185	8950	4875	2165	-0.09046935548812873
186	7875	5775	5190	0.001483433537141201
187	10325	4675	4165	0.01810001918052281
188	10975	4500	4190	0.03745500621888231
189	8100	3700	1165	-0.1521603498207328
190	8350	6325	1915	-0.08842525406178318
191	9425	6050	5340	0.05181880367226919
192	5500	3700	5440	0.02229469270279197
193	3375	4975	5415	-0.01107545900718723
194	6875	6850	4665	0.06398303306523917
195	10275	5325	4165	0.05974008764182397
196	6650	4450	4565	0.001298642982341794
197	10675	5725	2915	0.08039664436179812
198	10875	6675	4315	0.08465728592435412
199	5600	4475	1465	-0.1633912052195999
200	8250	1600	2090	-0.131302187827531
201	8175	725	3965	-0.06716626690808529
202	9200	1975	1965	-0.152397875756838
203	9100	1250	3015	-0.05744242857737019
204	9725	1700	2540	-0.09814566984437872
205	9600	1300	3915	-0.00705790795206997
206	6875	5000	4890	-0.004576880872989601
207	6850	6675	5165	-0.0009013811606241595
208	6975	4350	3615	-0.01051580085664714
209	7100	4125	3915	-0.02147575036165881
210	7325	4700	4865	-0.006192525698718944
211	8200	5375	4990	0.01196454192753429
212	12450	5600	5440	0.06534941048452496
